"Origem","Destino","Nat","Tipo","Materia","NomeNovo"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\CO4ED1.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Contestacoes e manifestacoes\Trabalhista\CONTESTACAO Processo 0001454-89.2010.503.0055 ECT vs Nilceia Carmem Assis 2010.doc","01 - Juridico","Contestacoes e manifestacoes","Trabalhista","CONTESTACAO Processo 0001454-89.2010.503.0055 ECT vs Nilceia Carmem Assis 2010.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\3875 (2).doc","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Trabalhista\PARECER TECNICO 3.875 2013 Moacir Coutinho vs ECT Execucao Sentenca PCCS.doc","01 - Juridico","Pareceres e notas tecnicas","Trabalhista","PARECER TECNICO 3.875 2013 Moacir Coutinho vs ECT Execucao Sentenca PCCS.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 010912-4.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Civel\ACAO ORDINARIA 2000.38.00.010912-4 Helfrank Alves vs Caixa e Lapa Incorporacoes SFH Financiamento Habitacao.doc","01 - Juridico","Recursos","Civel","ACAO ORDINARIA 2000.38.00.010912-4 Helfrank Alves vs Caixa e Lapa Incorporacoes SFH Financiamento Habitacao.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Trabalhista\const atendente que e carteiro - adicional 30%.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Contestacoes e manifestacoes\Trabalhista\CONTESTACAO Processo 01012.2009.052.03.00-0 ECT vs Jorge Gracas Barros Silva 2009.doc","01 - Juridico","Contestacoes e manifestacoes","Trabalhista","CONTESTACAO Processo 01012.2009.052.03.00-0 ECT vs Jorge Gracas Barros Silva 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 020764-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Ambiental\MANDADO SEGURANCA 2008.38.00.020764-0 Ercelia Moura vs IBAMA Apreensao Papagaios.doc","01 - Juridico","Recursos","Ambiental","MANDADO SEGURANCA 2008.38.00.020764-0 Ercelia Moura vs IBAMA Apreensao Papagaios.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\A RL e o RI - Marcelo Melo.doc","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Direito Ambiental\Reserva Legal Registro Imoveis Aspetos Praticos Marcelo Augusto Santana Melo.doc","02 - Estudos e concursos","","Direito Ambiental","Reserva Legal Registro Imoveis Aspetos Praticos Marcelo Augusto Santana Melo.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamentos Levindo Lopes - Marcelo Cardoso Chinait.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Civel\EDITAL PRACA LEILAO 26 Vara Civil Belo Horizonte Condominio Edif Volpi vs Marcelo Cardoso 2011.doc","01 - Juridico","Recursos","Civel","EDITAL PRACA LEILAO 26 Vara Civil Belo Horizonte Condominio Edif Volpi vs Marcelo Cardoso 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 020776-4.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Civel\EMBARGOS EXECUCAO 2009.38.00.020776-4 Estado Minas Gerais vs Marilia Gomide SFH Quitacao.doc","01 - Juridico","Recursos","Civel","EMBARGOS EXECUCAO 2009.38.00.020776-4 Estado Minas Gerais vs Marilia Gomide SFH Quitacao.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Atencao.doc","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Comprovantes e recibos\Comprovante Pagamento Deposito Bancario TED DOC.doc","04 - Pessoal e financeiro","","Comprovantes e recibos","Comprovante Pagamento Deposito Bancario TED DOC.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 021052-2A.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Administrativo\MS 2009380021052-2 Cautelar Inominada Renovacao Matricula Dieimy Vieira Lacerda Estacio 2009.doc","01 - Juridico","Recursos","Administrativo","MS 2009380021052-2 Cautelar Inominada Renovacao Matricula Dieimy Vieira Lacerda Estacio 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\3729.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Trabalhista\Parecer Tecnico 3729-2013 ECT Execucao Sentenca Claudemir Donizette Borges 2013.doc","01 - Juridico","Pareceres e notas tecnicas","Trabalhista","Parecer Tecnico 3729-2013 ECT Execucao Sentenca Claudemir Donizette Borges 2013.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Trabalhista\TRT 14a regiao - peticao trabalhista.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Trabalhista\RO 00302.2007.006.14.00-4 Dano Moral Assdio Moral Dr Marketing Odilia Farias Semp Toshiba 2007.doc","01 - Juridico","Recursos","Trabalhista","RO 00302.2007.006.14.00-4 Dano Moral Assdio Moral Dr Marketing Odilia Farias Semp Toshiba 2007.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 020676-2.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Tributario\MS 2009380020676-2 Mandado Seguranca Contribuicao Social Construtora Emcamp 2009.doc","01 - Juridico","Recursos","Tributario","MS 2009380020676-2 Mandado Seguranca Contribuicao Social Construtora Emcamp 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Wiliian Torres Franca 0231.05.046926-2.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Despachos e votos\Penal\Execucao Penal 0231.05.046926-2 Willian Torres Franca Prescricao Roubo 2005.doc","01 - Juridico","Despachos e votos","Penal","Execucao Penal 0231.05.046926-2 Willian Torres Franca Prescricao Roubo 2005.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Incorrecoes Cadastro Postalis.doc","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Outros\Oficio 2011 GMAJ02 Modificacao Registro Postalis Postalprev 2011.doc","04 - Pessoal e financeiro","","Outros","Oficio 2011 GMAJ02 Modificacao Registro Postalis Postalprev 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento digitalizado - 11-05-2014 (7).pdf","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Comprovantes e recibos\Saque Conta Corrente Banco Postal Banco Brasil 15-04-2014.pdf","04 - Pessoal e financeiro","","Comprovantes e recibos","Saque Conta Corrente Banco Postal Banco Brasil 15-04-2014.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\55692-16.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Administrativo\MS 55692-16.2010.4.01.3800 Mandado Seguranca Licitacao Drive Informatica UFOP 2010.doc","01 - Juridico","Recursos","Administrativo","MS 55692-16.2010.4.01.3800 Mandado Seguranca Licitacao Drive Informatica UFOP 2010.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Audiencias em 2012.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\Listas e planilhas\Audiencias 2012 Belo Horizonte Montes Claros Julgamentos Trabalhistas.doc","03 - Administrativo","","Listas e planilhas","Audiencias 2012 Belo Horizonte Montes Claros Julgamentos Trabalhistas.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Folha 04.pdf","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Comprovantes e recibos\Certidao Protesto Titulos Jun-2014 Cartorio Brazopolis.pdf","04 - Pessoal e financeiro","","Comprovantes e recibos","Certidao Protesto Titulos Jun-2014 Cartorio Brazopolis.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Postalis x Antonio Claret Chaves - 27-06-2011.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Contestacoes e manifestacoes\Trabalhista\Contestacao Reclama Trabalhista 00966-2011-040-03-00-0 ECT Antonio Claret Chaves 2011.doc","01 - Juridico","Contestacoes e manifestacoes","Trabalhista","Contestacao Reclama Trabalhista 00966-2011-040-03-00-0 ECT Antonio Claret Chaves 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 011232-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Tributario\Embargos Execucao Sentenca 2008.38.00.011232-8 Excesso Execucao Uniao Federal Robson Luiz Costa 2008.doc","01 - Juridico","Recursos","Tributario","Embargos Execucao Sentenca 2008.38.00.011232-8 Excesso Execucao Uniao Federal Robson Luiz Costa 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 020922-5.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Tributario\Sentenca Acao Ordinaria Tributaria 2005.38.00.020602-4 COFINS Economia Credito Imobiliario Uniao 2005.doc","01 - Juridico","Acordaos e decisoes","Tributario","Sentenca Acao Ordinaria Tributaria 2005.38.00.020602-4 COFINS Economia Credito Imobiliario Uniao 2005.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 021048-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Ambiental\MS 2008.38.00.021048-8 Mandado Seguranca Multa IBAMA Renato Costa Ladeira 2008.doc","01 - Juridico","Recursos","Ambiental","MS 2008.38.00.021048-8 Mandado Seguranca Multa IBAMA Renato Costa Ladeira 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Imissao na posse.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Agravo Regimental Recurso Especial Imovel Arrematado Execucao.doc","01 - Juridico","Acordaos e decisoes","Civel","Agravo Regimental Recurso Especial Imovel Arrematado Execucao.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\DOI.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Formularios\Declaracao Operacoes Imobiliarias DOI Sienoreg Paraná 2011.pdf","03 - Administrativo","","Formularios","Declaracao Operacoes Imobiliarias DOI Sienoreg Paraná 2011.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\040364-3.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Tributario\Sentenca Acao Ordinaria Tributaria 2003.38.00.040364-3 RSM Construcoes Eletrobras Uniao 2003.doc","01 - Juridico","Acordaos e decisoes","Tributario","Sentenca Acao Ordinaria Tributaria 2003.38.00.040364-3 RSM Construcoes Eletrobras Uniao 2003.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Mensagens do protocolo 1349619 - 01.doc","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Faturas e boletos\Protocolo 1349619 taxa fiscalizacao judiciaria selos AVY47018 AVY47020 AVY47019.doc","04 - Pessoal e financeiro","","Faturas e boletos","Protocolo 1349619 taxa fiscalizacao judiciaria selos AVY47018 AVY47020 AVY47019.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 013842-7.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\MANDADO DE SEGURANCA 2009.38.00.013842-7 Eliete Vieira Comissao Exame Ordem Advogados Brasil Minas Gerais 2009.doc","01 - Juridico","Acordaos e decisoes","Civel","MANDADO DE SEGURANCA 2009.38.00.013842-7 Eliete Vieira Comissao Exame Ordem Advogados Brasil Minas Gerais 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Postalis - Daltro Bandeira de Mello.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Contestacoes e manifestacoes\Trabalhista\CONTESTACAO Processo 775-60.2012.503.0139 EBCT vs Daltro Bandeira de Mello Varas do Trabalho Belo Horizonte MG 2012.doc","01 - Juridico","Contestacoes e manifestacoes","Trabalhista","CONTESTACAO Processo 775-60.2012.503.0139 EBCT vs Daltro Bandeira de Mello Varas do Trabalho Belo Horizonte MG 2012.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\PORTADOR - Reale Advogados e Associados.doc","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Comprovantes e recibos\Reale Advogados Devedor Elba Estefania Almeida Manfredini Apto 12401.doc","04 - Pessoal e financeiro","","Comprovantes e recibos","Reale Advogados Devedor Elba Estefania Almeida Manfredini Apto 12401.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 014750-1.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\SENTENCA Processo 2009.38.00.014750-1 Wagner Luzzi Silva Uniao Descontos Indevidos Servidor Publico 2009.doc","01 - Juridico","Acordaos e decisoes","Administrativo","SENTENCA Processo 2009.38.00.014750-1 Wagner Luzzi Silva Uniao Descontos Indevidos Servidor Publico 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 009206-6A.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\SENTENCA Processo 2009.38.00.009206-6 Luiz Eduardo Marques Dumont Uniao Indenizacao Danos Materiais Servidor Publico 2009.doc","01 - Juridico","Acordaos e decisoes","Administrativo","SENTENCA Processo 2009.38.00.009206-6 Luiz Eduardo Marques Dumont Uniao Indenizacao Danos Materiais Servidor Publico 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\FL 113.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\OFICIO 00218 12 Banco Santander Juiz Trabalho Varginha MG 14 Marco 2012.pdf","03 - Administrativo","","Outros","OFICIO 00218 12 Banco Santander Juiz Trabalho Varginha MG 14 Marco 2012.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 008182-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\MANDADO DE SEGURANCA Processo 2009.38.00.008182-0 Willian Cezar Almeida Souza CEF Financiamento Educativo 2009.doc","01 - Juridico","Acordaos e decisoes","Administrativo","MANDADO DE SEGURANCA Processo 2009.38.00.008182-0 Willian Cezar Almeida Souza CEF Financiamento Educativo 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\N J Gouveia e Diamantina.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Administrativo\NOTA JURIDICA ASJUR DR MG 2007 Violacao Espoliacao Postal Correios Empregados.doc","01 - Juridico","Outros processuais","Administrativo","NOTA JURIDICA ASJUR DR MG 2007 Violacao Espoliacao Postal Correios Empregados.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Jose Amaro da Paixao 0508080071386.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Penal\DENUNCIA Autos 0508.08.007138-6 Comarca Piranga MG Inquérito Policial.doc","01 - Juridico","Peticoes","Penal","DENUNCIA Autos 0508.08.007138-6 Comarca Piranga MG Inquérito Policial.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\2875.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Trabalhista\PARECER TECNICO 2.875 2013 GCAL Execução Sentença PCCS 95 Joacir Carlos Robinson EBCT 2013.doc","01 - Juridico","Pareceres e notas tecnicas","Trabalhista","PARECER TECNICO 2.875 2013 GCAL Execução Sentença PCCS 95 Joacir Carlos Robinson EBCT 2013.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\042626-5.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\SENTENCA Processo 2001.38.00.042626-5 Ação Ordinária SFH Reajuste Prestações Jose Sinval Jussara Caixa Economica 2001.doc","01 - Juridico","Acordaos e decisoes","Civel","SENTENCA Processo 2001.38.00.042626-5 Ação Ordinária SFH Reajuste Prestações Jose Sinval Jussara Caixa Economica 2001.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 006666-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Tributario\SENTENCA Processo 2007.38.00.006666-0 Empresa Brasileira Terraplenagem COFINS União Federal 2007.doc","01 - Juridico","Acordaos e decisoes","Tributario","SENTENCA Processo 2007.38.00.006666-0 Empresa Brasileira Terraplenagem COFINS União Federal 2007.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Rua Santa Catarina - precatoria de Itajuba.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Outros processuais\Trabalhista\REQUISICAO PEQUENO VALOR 59 2009 TRT 3 REGIAO Processo 90218-2010-107-03-00-4 Jose Mendonca Francisco Pereira Mendonca 2010.doc","01 - Juridico","Outros processuais","Trabalhista","REQUISICAO PEQUENO VALOR 59 2009 TRT 3 REGIAO Processo 90218-2010-107-03-00-4 Jose Mendonca Francisco Pereira Mendonca 2010.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 022760-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\SENTENCA Processo 2006.38.00.022760-0 Mariciélia Ferreira Souza Rodrigues UFMG Reajuste URV Lei 8.880 1994 2006.doc","01 - Juridico","Acordaos e decisoes","Administrativo","SENTENCA Processo 2006.38.00.022760-0 Mariciélia Ferreira Souza Rodrigues UFMG Reajuste URV Lei 8.880 1994 2006.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Daniele Pereira de Oliveira.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\REQUISICAO PAGAMENTO EXECUÇÃO TRABALHISTA Pequeno Valor Danible Pereira Oliveira EBCT Belo Horizonte MG 2009.pdf","03 - Administrativo","","Outros","REQUISICAO PAGAMENTO EXECUÇÃO TRABALHISTA Pequeno Valor Danible Pereira Oliveira EBCT Belo Horizonte MG 2009.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\45970.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\Sentenca Mandado Seguranca 2010.4.01.3800 Educacao.doc","01 - Juridico","Acordaos e decisoes","Administrativo","Sentenca Mandado Seguranca 2010.4.01.3800 Educacao.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 07-05-2014.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Listas e planilhas\Log Cartorio Protesto Titulos 2014.pdf","03 - Administrativo","","Listas e planilhas","Log Cartorio Protesto Titulos 2014.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 020759-9.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca Embargos Execucao 2006.38.00.020759-9.doc","01 - Juridico","Acordaos e decisoes","Civel","Sentenca Embargos Execucao 2006.38.00.020759-9.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\r 35573.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Eleitoral\Acordao Recurso Especial Eleitoral 355-73.2012.6.12.0025.doc","01 - Juridico","Acordaos e decisoes","Eleitoral","Acordao Recurso Especial Eleitoral 355-73.2012.6.12.0025.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 019822-7.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Ambiental\Sentenca Acao Ordinaria 2009.38.00.019822-7 IBAMA.doc","01 - Juridico","Acordaos e decisoes","Ambiental","Sentenca Acao Ordinaria 2009.38.00.019822-7 IBAMA.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Vilma da Silva Machado.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Trabalhista\Sentenca Processos Trabalhistas Diversos 2343 2315 2312.doc","01 - Juridico","Acordaos e decisoes","Trabalhista","Sentenca Processos Trabalhistas Diversos 2343 2315 2312.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\071034-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca Acao Ordinaria 2003.38.00.071034-8.doc","01 - Juridico","Acordaos e decisoes","Civel","Sentenca Acao Ordinaria 2003.38.00.071034-8.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 007074-2.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\Sentenca Acao Ordinaria 2010.38.00.007074-2.doc","01 - Juridico","Acordaos e decisoes","Administrativo","Sentenca Acao Ordinaria 2010.38.00.007074-2.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 10-08-2016 - protocolos 13595 13596 e 13597.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Listas e planilhas\Log Cartorio Protesto Titulos 2016.pdf","03 - Administrativo","","Listas e planilhas","Log Cartorio Protesto Titulos 2016.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Parte da Fernanda.doc","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Direito Administrativo\Pesquisa Corrupcao Bruno Wilhelm Speck.doc","02 - Estudos e concursos","","Direito Administrativo","Pesquisa Corrupcao Bruno Wilhelm Speck.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 016873-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\Sentenca Mandado Seguranca 2008.38.00.016873-8.doc","01 - Juridico","Acordaos e decisoes","Administrativo","Sentenca Mandado Seguranca 2008.38.00.016873-8.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 12.pdf","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Portugues\Material Aula Verbo Alemao.pdf","02 - Estudos e concursos","","Portugues","Material Aula Verbo Alemao.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\1048-89.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca Acao Reintegracao Manutencao Posse 1048-89.2011.4.01.3800.doc","01 - Juridico","Acordaos e decisoes","Civel","Sentenca Acao Reintegracao Manutencao Posse 1048-89.2011.4.01.3800.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Trabalho Florivaldo Luisa.doc","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Direito Administrativo\Trabalho Academico Direito Administrativo UFMG 2011.doc","02 - Estudos e concursos","","Direito Administrativo","Trabalho Academico Direito Administrativo UFMG 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\051706-5.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca Acao Ordinaria 2004.38.00.051706-5 SFH.doc","01 - Juridico","Acordaos e decisoes","Civel","Sentenca Acao Ordinaria 2004.38.00.051706-5 SFH.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\022984-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Tributario\Sentenca Mandado Seguranca 2005.38.00.022984-0 Creditamento IPI.doc","01 - Juridico","Acordaos e decisoes","Tributario","Sentenca Mandado Seguranca 2005.38.00.022984-0 Creditamento IPI.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 004921-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca Acao Ordinaria 2008.38.00.004921-8 SFH.doc","01 - Juridico","Acordaos e decisoes","Civel","Sentenca Acao Ordinaria 2008.38.00.004921-8 SFH.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 15-12-2014.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Listas e planilhas\Log Cartorio Protesto Titulos 2014 (2).pdf","03 - Administrativo","","Listas e planilhas","Log Cartorio Protesto Titulos 2014 (2).pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\shazamshop.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\Peticion Processo 50990-36.2010.4.01.3400 ECT Shazam.doc","01 - Juridico","Peticoes","Administrativo","Peticion Processo 50990-36.2010.4.01.3400 ECT Shazam.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 009992-9.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca Acao Ordinaria 2009.38.00.009992-9 SFH.doc","01 - Juridico","Acordaos e decisoes","Civel","Sentenca Acao Ordinaria 2009.38.00.009992-9 SFH.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\3766.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Parecer Tecnico Execucao Sentenca ECT PCCS 2013.doc","01 - Juridico","Peticoes","Trabalhista","Parecer Tecnico Execucao Sentenca ECT PCCS 2013.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Barragem Santa Lucia 2.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\Listas e planilhas\Edital Praca Cumprimento Sentenca Imovel Belo Horizonte.doc","03 - Administrativo","","Listas e planilhas","Edital Praca Cumprimento Sentenca Imovel Belo Horizonte.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\dig001006.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Listas e planilhas\Planilha Transporte Logistica Via Express 2013.pdf","03 - Administrativo","","Listas e planilhas","Planilha Transporte Logistica Via Express 2013.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 12-05-2014.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Listas e planilhas\Log Cartorio Protesto Titulos 2014 (3).pdf","03 - Administrativo","","Listas e planilhas","Log Cartorio Protesto Titulos 2014 (3).pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Jurisdicoes consulares - pc.int 07-07-2015.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\Oficios e memorandos\Lista jurisdicoes consulares.doc","03 - Administrativo","","Oficios e memorandos","Lista jurisdicoes consulares.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 017758-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca 2007.38.00.017758-6 Poupanca Laudelino Antonio de Padua Caixa Economica Federal 2007.doc","01 - Juridico","Acordaos e decisoes","Civel","Sentenca 2007.38.00.017758-6 Poupanca Laudelino Antonio de Padua Caixa Economica Federal 2007.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\059202-5.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Tributario\Sentenca 2003.38.00.059202-5 Contribuicoes Sociais Officebrasil INSS 2003.doc","01 - Juridico","Acordaos e decisoes","Tributario","Sentenca 2003.38.00.059202-5 Contribuicoes Sociais Officebrasil INSS 2003.doc"
