tipo_registro,youtube_link,data_sessao,classe_processo,numero_processo,origem,eleicao,tribunal,tema,punchline,votacao,resultado,pedido_vista,relator,partes,advogados,analise_do_conteudo_juridico,raciocinio_juridico,fundamentacao_normativa,precedentes_citados,resoluções_citadas,composicao
Julgamento 3,http://www.youtube.com/watch?v=buEzVb380cw&t=2210,4/24/2025,AgRg-AR,0600021-44,Cupira/PE,2024,TRE-PE,Inadmissibilidade de ação rescisória contra decisões de registro de candidatura,A rescisória não serve para reabrir registro de candidatura: estabilidade e celeridade privada do pleito prevalecem.,Unânime,"Desprovido, Não conhecido",,Min. Isabel Gallotti,Célio Romano Chimenes Fonseca,,"Questão sobre cabimento de ação rescisória em processos de registro de candidatura: discute-se se a via rescisória é adequada para desconstituir decisões que indeferiram registros por inelegibilidade (rejeição de contas). O debate envolve a natureza da decisão de registro (tutela pontual para a eleição), a necessidade de celeridade e estabilidade do pleito e a proteção contra instabilidade política decorrente de reabertura de decisões após a eleição/diplomação.","Tese vencedora: a relatora, Min. Isabel Gallotti, adotou interpretação restritiva quanto ao cabimento da ação rescisória em processos de registro de candidatura, argumentando que nessas ações não há declaração de inelegibilidade com eficácia de coisa julgada material apta a ser desconstituída pela rescisória, mas sim reconhecimento de impedimento para aquela eleição específica. Admitir rescisória importaria em grave instabilidade política e administrativa, permitindo reabertura de decisões após a fase eleitoral, o que contraria princípios da celeridade e segurança jurídica eleitoral. Foi acolhida proposta de aprimoramento da redação da Súmula 33 para explicitar a vedação. Não houve divergência registrada; o colegiado negou provimento ao agravo e manteve o não conhecimento da ação rescisória por unanimidade. Ministrs vencedores: todos os presentes; ministros vencidos: nenhum.","Código Eleitoral (Art. 22, I, 'j'), Lei Complementar nº 64/1990 (Art. 1º, I, 'g'), Súmula TSE nº 41, CPC (Art. 966, V)","Jurisprudência do TSE citada historicamente (votos de Min. Henrique Neves, Min. Marcelo Ribeiro, Min. Arnaldo Versiani), voto vogal do Min. Nunes Marques, precedente do Min. Antônio Carlos Ferreira sobre inadequação da via rescisória em registro de candidatura",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 1,https://youtu.be/Y_0nPMEsQA4?t=545,4/29/2025,AgRg-AREspe,0600085-08,Taubaté/SP,2024,TRE-SP,Impulsionamento pago de propaganda negativa em redes sociais,Impulsionar críticas nas urnas digitais é ilícito — multa mantida.,Unânime,Desprovido,,Min. André Ramos Tavares,"Márcia Elisa da Silva, Coligação Taubaté que a gente quer",,"Procede-se ao exame de agravo regimental em agravo em recurso especial eleitoral relativo a impulsionamento pago de conteúdo negativo nas redes sociais. O caso versa sobre contratação de impulsionamento para veicular críticas direcionadas ao adversário com intuito de incutir 'não voto', proibido pelo art. 57-C, § 3º da Lei nº 9.504/1997. O TRE-SP havia reconhecido a ilicitude e reduzido a multa aplicada para R$ 5.000,00; o agravo buscava afastar a condenação e a multa, sob argumento de liberdade de expressão. O relator entendeu que a liberdade de expressão não legitima o uso de recursos pagos para amplificar crítica com objetivo de prejudicar candidato adversário e negou provimento, aplicando entendimento consolidado e a Súmula 30 do TSE para negar seguimento ao recurso especial.","Tese vencedora: o impulso pago de conteúdo negativo configura propaganda eleitoral vedada quando o objetivo é prejudicar ou incutir a ideia de não voto, sendo admissível apenas o impulsionamento que promova ou beneficie candidato ou agremiação, conforme art. 57-C, § 3º da Lei 9.504/1997. O relator, Min. André Ramos Tavares, fundamentou-se na distinção entre liberdade de expressão (admita-se criticar) e o impulsionamento remunerado dessa crítica (vedado), concluindo que a peça publicitária tinha caráter exclusivamente negativo sem beneficiar a agravante. Não foi apresentada tese divergente no trecho registrado; o Min. Floriano de Azevedo Marques reforçou a distinção entre crítica e impulsionamento, e o Min. Ricardo Vilas Boas Cueva acompanhou integralmente o relator. Aplicou-se adicionalmente a Súmula 30 para negar seguimento ao recurso especial. Conclusão do colegiado: manutenção da decisão regional, desprovimento do agravo regimental, multa de R$ 5.000,00 mantida. Votação unânime — ministros vencedores: Min. André Ramos Tavares (relator) e demais ministros presentes (Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Ricardo Vilas Boas Cueva). Vencidos: nenhum.","Lei nº 9.504/1997, Art. 57-C, § 3º, Súmula nº 30 do TSE",Menção à jurisprudência consolidada do TSE (menção genérica; sem indicação de precedentes específicos),,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. André Ramos Tavares, Min. Floriano de Azevedo Marques, Min. Ricardo Vilas Boas Cueva"
Julgamento 1,http://www.youtube.com/watch?v=P-L7SeDXERI&t=1572,5/6/2025,Lista Tríplice,0600029-21,Florianópolis/SC,,TRE-SC,,Lista tríplice aprovada: indicados considerados idôneos e sem impedimentos.,Unânime,Aprovada,,Min. André Mendonça,"Pedro Paulo Faria de Carvalho Braga, Juliano Carporal Menegotto, Luiza César Portela",,"Análise dos requisitos objetivos e subjetivos (idoneidade moral) dos indicados para compor o TRE-SC na classe de jurista (juiz substituto). A discussão centrou-se na possível configuração de nepotismo em razão de parentesco de um dos indicados com magistrado do TJ-SC (pai falecido) e na existência de queixa-crime por crime contra a honra em relação a outro indicado. Foram examinadas certidões e decisões judiciais para aferir trânsito em julgado e comprovação de ausência de impedimentos, bem como a aplicação das normas que regem os requisitos para nomeação a cargo de natureza jurídica no Tribunal Regional Eleitoral.","Tese vencedora (Relator, Min. André Mendonça): afastamento de nepotismo quanto ao candidato Pedro Paulo, porquanto o óbito do pai (Desembargador) ocorreu antes da formalização da lista, o que impede a configuração de influência indevida ou vínculo nepotista, conforme precedentes da Corte. Quanto ao candidato Juliano, a queixa-crime por delito contra a honra havia sido rejeitada com trânsito em julgado e foram apresentadas certidões negativas, indicando preservação da idoneidade moral. Conclusão do relator: todos os indicados cumprem os requisitos objetivos e subjetivos para compor o TRE-SC. Não há registro de tese divergente no relatório. Decisão colegiada: aprovação unânime da lista tríplice. Ministros que integraram a decisão vencedora (unânime): Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares. Não houve ministros vencidos indicados no texto.",Resolução TSE nº 23.517/2017,Jurisprudência do TSE no sentido de que não configura nepotismo a indicação de parente de magistrado já falecido ou aposentado (analogia),,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 2,http://www.youtube.com/watch?v=P-L7SeDXERI&t=1949,5/6/2025,AgRg-REspe,0600095-22,Tucuruí/PA,2024,TRE-PA,Agravo Regimental sobre alcance de liminar que suspendeu efeitos de acórdão e inelegibilidade,Liminar não suspende inelegibilidade sem pedido expresso — registro indeferido.,Por maioria,Provido,,Min. André Ramos Tavares,"Coligação ""A Mudança Certa"", Paulo Ronald Ramos da Silva, Alexandre França Siqueira, Coligação ""Bora Trabalhar""",Dr. João Luiz Brasil Batista Rolim de Castro,"Controvérsia sobre o alcance de liminar concedida em Tutela Cautelar Antecedente (concedida pelo Min. Benedito Gonçalves em 2023) que suspendeu os efeitos de acórdão condenatório (AIJE de 2020 por abuso de poder e captação ilícita). A questão central foi se a liminar suspendeu apenas a cassação/afastamento do cargo ou se também alcançou a inelegibilidade (sanção autônoma). O TRE-PA havia deferido o registro do candidato com base em interpretação de que a liminar suspendera todos os efeitos. O Colegiado analisou requisitos da tutela, princípio da congruência e exigência de pedido expresso para suspensão de inelegibilidade, culminando na conclusão de que, não havendo pedido expresso e diante da ausência de periculum in mora à época, a liminar não atingiu a inelegibilidade, devendo o registro ser indeferido, com determinação de imediato afastamento do cargo e convocação de novas eleições em Tucuruí/PA.","Tese vencedora (Min. Isabel Gallotti, divergência): a inelegibilidade imposta em AIJE é sanção autônoma distinta da cassação do diploma; nos autos da Tutela Cautelar Antecedente o pedido foi limitado à recondução ao cargo, sem pedido expresso de suspensão da inelegibilidade, nos termos do Art. 26-C da LC 64/90 e do princípio da congruência. Ademais, não se demonstrou periculum in mora em março/2023, faltando 18 meses para a eleição, o que afastaria a necessidade da medida ampla. Conclusão: a liminar não suspendeu a inelegibilidade, portanto o registro deve ser indeferido. Acompanhou: Min. André Mendonça, Min. Antônio Carlos Ferreira e Min. Floriano de Azevedo Marques (vencedores). Tese vencida (Relator Min. André Ramos Tavares e Min. Nunes Marques): sustentavam que a liminar conferiu efeito suspensivo judicial amplo (ope judicis) sobre todos os efeitos do acórdão, incluindo inelegibilidade, e que fatiar efeitos após a eleição comprometeria a segurança jurídica. Resultado final: provimento dos agravos e dos recursos especiais por maioria (4x2), com indeferimento do registro e determinação de afastamento imediato e novas eleições. Ministros vencedores: Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques. Ministros vencidos: Min. André Ramos Tavares, Min. Nunes Marques.","Lei Complementar nº 64/1990: Art. 1º, I, ""d"" e ""j"", Art. 26-C; Código de Processo Civil: Art. 300, Art. 492; Código Eleitoral: Art. 224, §3º, Art. 257, §2º","Precedente do Min. Mauro Campbell (AgR em RO) - efeito ope legis alcança apenas cassação, não inelegibilidade; Precedente do Min. Benedito Gonçalves - mesma lógica aplicada ao Recurso Especial; Precedente do Min. Carlos Horbach (2021) - posição divergente quando houve pedido expresso de suspensão da inelegibilidade",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 3,http://www.youtube.com/watch?v=P-L7SeDXERI&t=5522,5/6/2025,AgRg-REspe,0600196-70,Paulino Neves/MA,2024,TRE-MA,Agravamento regimental no Recurso Especial sobre impugnação por demissão do serviço público,"Decisão unânime: suspensão da demissão pela Justiça Comum preserva o registro, inelegibilidade não demonstrada.",Unânime,Não conhecido,,Min. Floriano de Azevedo Marques,"Denise Cristina Gomes Pinheiro, Raimundo de Oliveira Filho (Agravado, Candidato a Prefeito), Roberto Silva (Interessado)",Dr. Antônio Corrêa Noleto Júnior,"Impugnação do registro de candidatura fundada em demissão do serviço público (Portaria 626/2012), alegando-se causa de inelegibilidade por conduta anterior. A defesa sustentou a nulidade da demissão e violação do Art. 14, §9º da CF. Houve decisão judicial da Justiça Comum suspendendo os efeitos da portaria de demissão; o TRE-MA, entretanto, manteve o deferimento do registro. O Relator considerou que, por força da Súmula 41 do TSE, a Justiça Eleitoral não pode afastar medida cautelar proferida pela Justiça Comum que suspendeu os efeitos do ato administrativo. Ademais, concluiu que as infrações administrativas apontadas (inassiduidade) não apresentam, no caso concreto, a gravidade excepcional (alta reprobabilidade) exigida para configurar inelegibilidade direta pelo art. 14, §9º da CF, devendo prevalecer a manutenção do registro.","Tese vencedora: o colegiado, por unanimidade, entendeu que o agravo regimental não deveria ser conhecido por duas razões complementares. Preliminarmente, houve questão de unirrecorribilidade/preclusão em face da interposição de dois agravos contra a mesma decisão (o segundo não conhecido por preclusão/unirrecorribilidade). No mérito, o Relator destacou que existe decisão da Justiça Comum que suspendeu os efeitos da portaria de demissão; pela Súmula 41, a Justiça Eleitoral não tem competência para afastar essa suspensão. Além disso, as condutas administrativas apontadas não se mostraram, no caso concreto, dotadas da gravidade necessária para ensejar inelegibilidade pelo art. 14, §9º da CF (hipótese excepcional, vinculada a alta reprobabilidade de atos graves), de modo que o deferimento do registro deve ser mantido. Também houve crítica à insuficiência da fundamentação recursal, com aplicação das Súmulas 26 e 27 para negar conhecimento. Votaram com o Relator (vencedores): Min. Floriano de Azevedo Marques, Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira e Min. André Ramos Tavares. Não houve voto vencido (decisão unânime).","Constituição Federal, Art. 14, §9º; Súmula 26 do TSE; Súmula 27 do TSE; Súmula 41 do TSE; Súmula 72 do TSE","Precedente do STF proferido pelo Min. Luís Roberto Barroso (sobre impugnação específica), precedentes do TSE citados pelo Min. Antônio Carlos Ferreira (distinções sobre aplicação do Art. 14, §9º em casos de alta reprobabilidade vs. inassiduidade funcional)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 1,http://www.youtube.com/watch?v=9HGA-b82Z68&t=1322,5/8/2025,PetCiv,0600243-12,Cuiabá/MT,,TRE-MT,Vedação à reeleição para mesmo cargo diretivo no TRE-MT,Autonomia não autoriza reeleição de mesmo cargo diretivo: eleição anulada.,Unânime,Parcialmente acolhido,,Min. Isabel Gallotti,"Desembargadora Serly Marcondes Alves, Tribunal Regional Eleitoral de Mato Grosso, Desembargadora Maria Aparecida Ribeiro",,"Petição de providências que questiona a eleição para cargos diretivos do TRE-MT realizada em 29/04/2025, tendo como ponto central a vedação à reeleição para o mesmo cargo diretivo em biênio consecutivo. A requerente já havia exercido o cargo de Vice-Presidente/Corregedora no biênio 2023-2025 e, após recondução ao Tribunal, foi novamente eleita para o mesmo cargo diretivo. O pedido sustenta violação à LOMAN e às resoluções do TSE que impedem reeleição ao mesmo cargo diretivo. O TRE-MT alegou circunstâncias fáticas que teriam impedido escolha alternativa (número reduzido de desembargadores elegíveis), argumento rejeitado pelo TSE. O caso levou à declaração de nulidade da eleição e determinação de novas eleições, observando-se a inelegibilidade da Des. Serly Marcondes Alves para o cargo de Vice-Presidente/Corregedora, permanecendo apta para concorrer à Presidência.","Tese vencedora: a relatora distinguiu recondução como membro do TRE (permitida pela CF/88 para um novo biênio) da ocupação do mesmo cargo diretivo por reeleição, vedações expressas na LOMAN (art. 102) e na Res.-TSE nº 23.493/2016. Aplicando essa distinção ao caso concreto, concluiu-se que, embora a desembargadora pudesse ser reconduzida como membro, ela não poderia ocupar, por reeleição, o mesmo cargo diretivo (Vice-Presidente/Corregedora) no biênio subsequente. Tese divergente (suscitada pelo TRE-MT): a autonomia do tribunal e a inexistência de alternativa de escolha justificariam a manutenção da eleição/recondução; essa tese foi rejeitada pelo TSE, que entendeu que a autonomia não é soberana frente à vedação legal. Conclusão do colegiado: declaração de nulidade da eleição de 29/04/2025 e realização imediata de novas eleições, com observância da inelegibilidade da Des. Serly Marcondes Alves para a Vice-Presidência/Corregedoria (mantendo-se apta à Presidência). Resultado por unanimidade: Min. Isabel Gallotti (relatora) vencedora; Min. Nunes Marques e Min. Floriano acompanharam a relatora, tendo feito ressalvas regimentais/observações, mas aderiram à vedação. Não houve ministros vencidos mencionados no relatório; decisão unânime.","CF/88, art. 121, § 2º; Lei Complementar nº 35/1979 (LOMAN), art. 102; Res.-TSE nº 23.493/2016 (arts. 1º e parágrafo único)","STF: ADI nº 2.993 (Rel. Min. Carlos Velloso), Rcl nº 4.587 (Rel. Min. Sepúlveda Pertence), Rep. nº 1.143 (Rel. Min. Rafael Mayer, 1983); TSE: PA nº 511 (Rel. Min. Gilmar Mendes), Acórdão de 2009 (Rel. Min. Felix Fischer), Rcl nº 6.972 (Rel. Min. Nancy Andrighi)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 2,http://www.youtube.com/watch?v=9HGA-b82Z68&t=3607,5/8/2025,AgRg-REspe,0600537-54,Itapecerica da Serra/SP,2024,TRE-SP,Agravo Regimental no REspe sobre indeferimento de registro por Lei da Ficha Limpa (peculato),Condenação colegiada impede registro eleitoral mesmo sem trânsito em julgado.,Unânime,Desprovido,Min. André Mendonça,Min. André Mendonça,"Antonio Pereira da Silva (Agravante - candidato a vereador), Irmãos Chaves de Castro (Agravados), Rafael Alves Silva",,"Trata-se de agravo regimental contra decisão que manteve o indeferimento do pedido de registro de candidatura com fundamento na Lei Complementar nº 64/1990 (Lei da Ficha Limpa). O agravante, candidato a vereador, foi condenado por órgão colegiado pelo crime de peculato, fato que gerou a inelegibilidade prevista na LC 64/90. A defesa sustentou existência de recurso pendente no STJ e invocou a presunção de inocência. O relator verificou que o acórdão regional confirma a condenação colegiada em 16/05/2024 e aplicou a jurisprudência do TSE que reconhece a incidência automática da inelegibilidade em razão da condenação colegiada, independentemente do trânsito em julgado, além de apontar vícios processuais da defesa por alegações genéricas.","Tese vencedora: a inelegibilidade prevista na LC 64/1990 incide automaticamente em razão de condenação por órgão colegiado (peculato), independentemente do trânsito em julgado. O relator assentou que o acórdão regional comprovou a condenação colegiada em 16/05/2024, aplicando a jurisprudência consolidada do TSE (notadamente a Súmula 30) e vedando o reexame de fatos e provas (Súmula 24). A defesa alegou pendência de recurso no STJ e violação à presunção de inocência; contudo, o Tribunal entendeu que recursos sem efeito suspensivo não afastam a inelegibilidade (Súmula 30) e que a argumentação da defesa foi genérica, atraindo a Súmula 26. Conclusão do colegiado: negar provimento ao agravo regimental e manter o indeferimento do registro. Votação: unânime — vencedores: Min. André Mendonça (relator, tese adotada) e demais ministros presentes que acompanharam; vencidos: nenhum.","Lei Complementar nº 64/1990, Art. 1º, I, 'e', 1, Súmula 24 do TSE, Súmula 30 do TSE, Súmula 26 do TSE","Súmula 30 (TSE) — inelegibilidade por condenação colegiada independentemente de trânsito em julgado, Súmula 24 (TSE) — vedação ao reexame de fatos e provas, Súmula 26 (TSE) — necessidade de impugnação específica",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 3,http://www.youtube.com/watch?v=9HGA-b82Z68&t=3968,5/8/2025,AREspe,0600379-89,São Mateus/ES,2020,TRE-ES,Competência criminal e teoria do 'bypass' em arquivamento parcial (Ag-REspe 0600379-89),Arquivamento técnico não configura 'bypass'; competência deslocada à Justiça Federal.,Unânime,Desprovido,Min. Floriano de Azevedo Marques,Min. Antônio Carlos Ferreira,"Caio Faria Donatelli, Rogério de Castro, Daniel Santana Barbosa",Dr. Guilherme Gualberto Torres,"Procedimento decorrente da Operação Minucius que debateu se o arquivamento parcial feito pelo Ministério Público Eleitoral quanto a crimes eleitorais configura 'bypass' (manobra para escolher juízo federal). O MPE arquivou por falta de justa causa os crimes eleitorais e declinou competência dos crimes remanescentes para a Justiça Federal. A defesa alegou que o arquivamento teria sido utilizado para afastar a competência da Justiça Eleitoral (forum shopping). A análise centrou-se nas diligências investigatórias realizadas, na existência ou não de indícios mínimos de crime eleitoral e na aplicação da teoria do bypass à fase inquisitorial.","Tese vencedora: não houve 'bypass' processual. Aplicando critérios jurisprudenciais do STF (ausência de reconhecimento deliberado do caráter eleitoral das condutas pelo órgão acusatório; omissão sobre indícios relevantes ou falta de diligências mínimas), o colegiado concluiu que o MPE realizou diligências suficientes e não subsistiam indícios mínimos de crime eleitoral. Assim, o arquivamento parcial foi técnico e fundamentado, não caracterizando manobra para escolher a jurisdição; cessa, portanto, a competência da Justiça Eleitoral para os crimes comuns remanescentes, sendo correta a remessa à Justiça Federal. Tese divergente: alegação dos agravantes de que o arquivamento teria objetivo de afastar a competência eleitoral (forum shopping/bypass) — rejeitada. Conclusão do colegiado: manutenção do arquivamento parcial e do deslocamento dos autos à Justiça Federal. Ministros vencedores: Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Ramos Tavares (decisão unânime). Ministros vencidos: nenhum (unânime).","Constituição Federal (art. 109, IV; art. 121), Código Eleitoral (art. 35, II), CPP (art. 78, IV)","Inq. nº 4.435 (STF), Rcl nº 51.429 (STF, Rel. Min. Gilmar Mendes), Rcl nº 49.739 (STF)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 1,http://www.youtube.com/watch?v=dEY4WgS-RMQ&t=1199,5/13/2025,AgRg-REspe,0600387-09,Piracicaba/SP,2024,TRE-SP,Agravo Regimental sobre inelegibilidade (alínea k - LC 64/90) e legitimidade recursal,Ausência de legitimidade recursal barrou o agravo e manteve o registro do candidato.,Unânime,Não conhecido,Min. Nunes Marques,Min. Nunes Marques,"Fabrício José Raetz de Oliveira Polezi, Gesiel Alves Maria",Dr. Isabeli Paz de Oliveira Lima,"Impugnação ao registro de candidatura (RCand) ao cargo de vereador, cuja controvérsia central é a alegada inelegibilidade prevista na alínea k do inciso I do art. 1º da LC 64/1990 (renúncia para evitar processo de cassação). O TRE-SP havia mantido o indeferimento do registro, mas o Relator, em decisão monocrática, concedeu provimento ao recurso para deferir a candidatura, entendendo que a renúncia não era apta a ensejar o processo de perda de mandato. Agravo regimental interposto por terceiro (Fabrício Polezi) teve seu conhecimento recusado por ausência de legitimidade recursal, aplicando-se a Súmula 11 do TSE. Registro da presença da advogada do agravante na sessão. Consequência prática: manutenção da decisão monocrática que deferiu o registro de Gesiel Alves Maria.","Tese vencedora: o agravo regimental não foi conhecido por falta de legitimidade recursal, nos termos da Súmula 11 do TSE, uma vez que o agravante não impugnou o pedido de registro na origem e a matéria de fundo (inelegibilidade da alínea k) é infraconstitucional. Argumentos: (i) premissa fática de ausência de impugnação originária pelo agravante; (ii) aplicação direta da Súmula 11 para excluir legitimidade ativa recursal de terceiro/assistente que não impugnou na origem; (iii) consequência processual de não conhecimento do recurso. Tese divergente: não explicitada no relatório. Conclusão colegiada: não conhecimento do agravo regimental e manutenção da decisão monocrática que deferiu o registro de Gesiel Alves Maria. Ministros vencedores: Min. Nunes Marques (Relator) e a Min. Presidente que trouxe voto-vista (nome não informado) — decisão unânime. Vencidos: nenhum explicitado.","Lei Complementar nº 64/1990, art. 1º, I, alínea k, Súmula TSE nº 11",TSE — jurisprudência consolidada sobre a Súmula 11: ilegitimidade de quem não impugnou na origem para recorrer em matéria infraconstitucional,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 2,https://youtu.be/dEY4WgS-RMQ?t=1590,5/13/2025,AgRg-REspe,0600249-65,Tabira/PE,2020,TRE-PE,Abuso de poder político: contratações temporárias e desvio de servidores para militância,Diferenciação de responsabilidade: insuficiência de prova afasta inelegibilidade do chefe; coordenadores responsabilizados.,Unânime,Desprovido,Min. André Ramos Tavares,Min. André Ramos Tavares,"Helenoaldo de Santana, Sebastião Dias Filho, Coligação ""Por Uma Tabira Melhor"", Flávio Ferreira Marques, Coligação ""Por Uma Tabira Melhor""",,"Agravo regimental em recursos especiais eleitorais relativos a Ações de Investigação Judicial Eleitoral que apuram abuso de poder político e conduta vedada em Tabira/PE. As provas objeto do recurso tratam de contratação de servidores temporários em ano eleitoral e do uso de servidores públicos para atividades de militância política coordenada (grupos de WhatsApp). A discussão central foi se a contratação de 18 temporários e a existência de grupos com servidores configuram, por si sós, abuso de poder apto a ensejar cassação/inelegibilidade, e se houve anuência/coordenação por parte do chefe do executivo. O Relator manteve decisão monocrática em parte e deu provimento a recursos quanto à insuficiência probatória contra alguns agentes (afastamento de inelegibilidade), ao passo que manteve a condenação e sanções para coordenadores da militância comprovada, além da multa por embargos protelatórios.","Tese vencedora: a responsabilização por abuso de poder exige prova robusta de anuência e de gravidade do ato. No caso da contratação de 18 servidores temporários, o colegiado entendeu que tal acréscimo isolado não demonstrou gravidade suficiente para cassação ou inelegibilidade, afastando-se a inelegibilidade de Flávio Ferreira Marques e Sebastião Dias Filho (provimento dos recursos desses candidatos). Tese aplicada à desinfecção de responsabilidade: houve distinção entre a responsabilidade do chefe do executivo, cuja anuência nos grupos não foi comprovada, e a dos coordenadores da militância (Helenoaldo e demais), cuja atividade foi demonstrada como cobrada, coordenada e não espontânea, mantendo-se a inelegibilidade e as sanções. Também se aplicou a Súmula 26 para afastar recursos que apenas reiteraram argumentos anteriores, não impugnando especificamente fundamentos do acórdão regional. Conclusão do colegiado: provimento parcial dos recursos para afastar inelegibilidade de determinados recorrentes e manutenção das condenações e multas para os coordenadores comprovados. Ministros vencedores citados: Min. André Ramos Tavares (relator) e Min. Cármen Lúcia (voto-vista que acompanhou integralmente o relator). Ministros vencidos: não explicitados no relatório.",Súmula TSE nº 26,"Jurisprudência do TSE exigindo prova robusta e inconteste para configuração de abuso de poder político (análise qualitativa e quantitativa de atos), decisões anteriores do Relator mantendo decisões monocráticas",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 3,https://youtu.be/dEY4WgS-RMQ?t=1590,5/13/2025,AgRg-REspe,0600147-43,Tabira/PE,2020,TRE-PE,Abuso de poder político e militância de servidores públicos em ano eleitoral,Prova robusta distingue responsabilização: absolvição para quem não teve anuência comprovada; punição para coordenadores.,Unânime,Desprovido,Min. André Ramos Tavares,Min. André Ramos Tavares,"Helenoaldo de Santana, Sebastião Dias Filho, Coligação ""Por Uma Tabira Melhor"", Flávio Ferreira Marques, Coligação ""Por Uma Tabira Melhor""",,"Julgamento conjunto de agravos regimentais em recursos especiais eleitorais relativos às mesmas AIJEs que apuram abuso de poder político e conduta vedada em Tabira/PE. O exame concentrou-se na prova do desvio de função de servidores para militância coordenada e na análise quantitativa/qualitativa da contratação temporária em ano eleitoral. O acórdão regional havia mantido condenações para coordenadores da militância; o tribunal superior revisou parcialmente as decisões, afastando inelegibilidade de determinados recorrentes por insuficiência probatória e mantendo sanções para aqueles cuja participação coordenada foi comprovada.","Tese vencedora: é necessária prova robusta e específica para imputar abuso de poder político e inelegibilidade; atos isolados ou acréscimos numéricos modestos (ex.: contratação de 18 temporários) não são suficientes, sem demonstração de efetiva vantagem ilícita ou coordenação do chefe do executivo. Aplicou-se distinção racional entre responsabilidade do chefe do executivo (inelegibilidade afastada por falta de prova de anuência) e dos coordenadores da militância (inelegibilidade mantida havendo prova de atuação organizada e cobrada). A Súmula 26 foi invocada para afastar recursos que não impugnaram pontualmente a decisão regional, resultando em não conhecimento/indeferimento desses recursos secundários. Conclusão do colegiado: provimento parcial para afastar inelegibilidade de alguns recorrentes e manutenção das penalidades para os responsáveis pela coordenação da militância; Min. André Ramos Tavares e Min. Cármen Lúcia citados como defensores dessa solução. Ministros vencidos não foram mencionados no relatório.",Súmula TSE nº 26,"Jurisprudência do TSE exigindo prova robusta e inconteste para configuração de abuso de poder político (análise qualitativa e quantitativa de atos), decisões anteriores do Relator mantendo decisões monocráticas",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
