"Rel","Nivel","Cat","Arq","NSub","Full"
"05 - Jurídico e trabalho\TSE\LICENÇA CAPACITAÇÃO","3","05 - Jurídico e trabalho","8","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\LICENÇA CAPACITAÇÃO"
"05 - Jurídico e trabalho\TSE\NOTION","3","05 - Jurídico e trabalho","18","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\NOTION"
"05 - Jurídico e trabalho\TSE\NOVO CÓDIGO ELEITORAL","3","05 - Jurídico e trabalho","15","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\NOVO CÓDIGO ELEITORAL"
"05 - Jurídico e trabalho\TSE\Planilha gerencial SEGJUR","3","05 - Jurídico e trabalho","10","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Planilha gerencial SEGJUR"
"05 - Jurídico e trabalho\TSE\Planilhas XLS","3","05 - Jurídico e trabalho","8","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Planilhas XLS"
"05 - Jurídico e trabalho\TSE\POSSE","3","05 - Jurídico e trabalho","38","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\POSSE"
"05 - Jurídico e trabalho\TSE\Provimentos e vacâncias","3","05 - Jurídico e trabalho","6","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Provimentos e vacâncias"
"05 - Jurídico e trabalho\TSE\REFORMA DA PREVIDÊNCIA","3","05 - Jurídico e trabalho","2","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\REFORMA DA PREVIDÊNCIA"
"05 - Jurídico e trabalho\TSE\RESOLUÇÕES (Covid-19)","3","05 - Jurídico e trabalho","8","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\RESOLUÇÕES (Covid-19)"
"05 - Jurídico e trabalho\TSE\Reuniões","3","05 - Jurídico e trabalho","2","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Reuniões"
"05 - Jurídico e trabalho\TSE\SEDEG","3","05 - Jurídico e trabalho","34","1","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\SEDEG"
"05 - Jurídico e trabalho\TSE\SESSÕES PLENÁRIAS","3","05 - Jurídico e trabalho","41","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\SESSÕES PLENÁRIAS"
"05 - Jurídico e trabalho\TSE\TEMAS SELECIONADOS","3","05 - Jurídico e trabalho","82","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\TEMAS SELECIONADOS"
"05 - Jurídico e trabalho\TSE\VOTO IMPRESSO","3","05 - Jurídico e trabalho","11","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\VOTO IMPRESSO"
"05 - Jurídico e trabalho\TSE\Área de Trabalho","3","05 - Jurídico e trabalho","5","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Área de Trabalho"
"05 - Jurídico e trabalho\TSE\AGEL\CONCURSO","4","05 - Jurídico e trabalho","2","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\CONCURSO"
"05 - Jurídico e trabalho\TSE\AGEL\Despachos e Informações","4","05 - Jurídico e trabalho","38","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\Despachos e Informações"
"05 - Jurídico e trabalho\TSE\AGEL\GT's","4","05 - Jurídico e trabalho","1","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\GT's"
"05 - Jurídico e trabalho\TSE\AGEL\MOE","4","05 - Jurídico e trabalho","1","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\MOE"
"05 - Jurídico e trabalho\TSE\AGEL\PRESOS PROVISÓRIOS","4","05 - Jurídico e trabalho","10","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\PRESOS PROVISÓRIOS"
"05 - Jurídico e trabalho\TSE\AGEL\REGIME HÍBRIDO","4","05 - Jurídico e trabalho","5","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\REGIME HÍBRIDO"
"05 - Jurídico e trabalho\TSE\AGEL\RELATÓRIO DE GESTÃO 2022","4","05 - Jurídico e trabalho","4","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\RELATÓRIO DE GESTÃO 2022"
"05 - Jurídico e trabalho\TSE\AGEL\RELATÓRIO DE GESTÃO 2023","4","05 - Jurídico e trabalho","20","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\RELATÓRIO DE GESTÃO 2023"
"05 - Jurídico e trabalho\TSE\AGEL\TERMO DE REFERÊNCIA (TR)","4","05 - Jurídico e trabalho","18","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\TERMO DE REFERÊNCIA (TR)"
"05 - Jurídico e trabalho\TSE\AGEL\TOTALIZAÇÃO","4","05 - Jurídico e trabalho","1","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\TOTALIZAÇÃO"
"05 - Jurídico e trabalho\TSE\Certificados\Grupo 1 - Válido até 30.11.2024","4","05 - Jurídico e trabalho","2","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Certificados\Grupo 1 - Válido até 30.11.2024"
"05 - Jurídico e trabalho\TSE\Certificados\Grupo 2 - Em ser","4","05 - Jurídico e trabalho","0","1","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Certificados\Grupo 2 - Em ser"
"05 - Jurídico e trabalho\TSE\Certificados\Grupo 2 - Em ser\INCLUSOS","5","05 - Jurídico e trabalho","13","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Certificados\Grupo 2 - Em ser\INCLUSOS"
"05 - Jurídico e trabalho\TSE\CURSOS\Apresentações de alto impacto","4","05 - Jurídico e trabalho","13","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\CURSOS\Apresentações de alto impacto"
"05 - Jurídico e trabalho\TSE\CURSOS\Democracia e desinformação","4","05 - Jurídico e trabalho","7","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\CURSOS\Democracia e desinformação"
"05 - Jurídico e trabalho\TSE\CURSOS\Ilícitos eleitorais","4","05 - Jurídico e trabalho","5","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\CURSOS\Ilícitos eleitorais"
"05 - Jurídico e trabalho\TSE\CURSOS\Improbidade administrativa","4","05 - Jurídico e trabalho","14","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\CURSOS\Improbidade administrativa"
"05 - Jurídico e trabalho\TSE\CURSOS\SEI Enap","4","05 - Jurídico e trabalho","4","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\CURSOS\SEI Enap"
"05 - Jurídico e trabalho\TSE\CURSOS\Tutelas provisórias","4","05 - Jurídico e trabalho","1","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\CURSOS\Tutelas provisórias"
"05 - Jurídico e trabalho\TSE\CURSOS\VI Congresso de Direito Eleitoral","4","05 - Jurídico e trabalho","1","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\CURSOS\VI Congresso de Direito Eleitoral"
"05 - Jurídico e trabalho\TSE\Imagens\Capturas de tela","4","05 - Jurídico e trabalho","16","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Imagens\Capturas de tela"
"05 - Jurídico e trabalho\TSE\SEDEG\processual","4","05 - Jurídico e trabalho","13","0","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\SEDEG\processual"
"06 - Estudos, concursos e leitura\1_CONCURSOS","2","06 - Estudos, concursos e leitura","2","25","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS"
"06 - Estudos, concursos e leitura\AULAS DO YOUTUBE","2","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\AULAS DO YOUTUBE"
"06 - Estudos, concursos e leitura\ENFAM","2","06 - Estudos, concursos e leitura","4","4","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ENFAM"
"06 - Estudos, concursos e leitura\EsPCEx","2","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\EsPCEx"
"06 - Estudos, concursos e leitura\ITALIANO","2","06 - Estudos, concursos e leitura","6","3","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ITALIANO"
"06 - Estudos, concursos e leitura\MAPAS DA LULU","2","06 - Estudos, concursos e leitura","22","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\MAPAS DA LULU"
"06 - Estudos, concursos e leitura\My Kindle Content","2","06 - Estudos, concursos e leitura","2","15","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content"
"06 - Estudos, concursos e leitura\TESE","2","06 - Estudos, concursos e leitura","27","12","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE"
"06 - Estudos, concursos e leitura\1_CONCURSOS\AFT","3","06 - Estudos, concursos e leitura","30","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\AFT"
"06 - Estudos, concursos e leitura\1_CONCURSOS\AGU","3","06 - Estudos, concursos e leitura","12","2","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\AGU"
"06 - Estudos, concursos e leitura\1_CONCURSOS\ARQUIVOS","3","06 - Estudos, concursos e leitura","16","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\ARQUIVOS"
"06 - Estudos, concursos e leitura\1_CONCURSOS\BNDES","3","06 - Estudos, concursos e leitura","41","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\BNDES"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD","3","06 - Estudos, concursos e leitura","72","14","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD"
"06 - Estudos, concursos e leitura\1_CONCURSOS\DOCxs de concurso","3","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\DOCxs de concurso"
"06 - Estudos, concursos e leitura\1_CONCURSOS\ENAC","3","06 - Estudos, concursos e leitura","8","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\ENAC"
"06 - Estudos, concursos e leitura\1_CONCURSOS\ENAM","3","06 - Estudos, concursos e leitura","8","2","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\ENAM"
"06 - Estudos, concursos e leitura\1_CONCURSOS\LEITURAS no TABLET","3","06 - Estudos, concursos e leitura","24","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\LEITURAS no TABLET"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPDFT","3","06 - Estudos, concursos e leitura","0","2","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPDFT"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's","3","06 - Estudos, concursos e leitura","1","12","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF","3","06 - Estudos, concursos e leitura","29","24","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPMG","3","06 - Estudos, concursos e leitura","8","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPMG"
"06 - Estudos, concursos e leitura\1_CONCURSOS\NOTARIAL","3","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\NOTARIAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGDF","3","06 - Estudos, concursos e leitura","48","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGDF"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGE-GO","3","06 - Estudos, concursos e leitura","13","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGE-GO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP","3","06 - Estudos, concursos e leitura","10","9","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","3","06 - Estudos, concursos e leitura","34","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS"
"06 - Estudos, concursos e leitura\1_CONCURSOS\SENADO","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\SENADO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\STJ (Carol)","3","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\STJ (Carol)"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TCDF","3","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TCDF"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TJDFT","3","06 - Estudos, concursos e leitura","6","4","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TJDFT"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1","3","06 - Estudos, concursos e leitura","17","2","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF5","3","06 - Estudos, concursos e leitura","12","2","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF5"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6","3","06 - Estudos, concursos e leitura","37","9","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6"
"06 - Estudos, concursos e leitura\1_CONCURSOS\AGU\Artigos da banca","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\AGU\Artigos da banca"
"06 - Estudos, concursos e leitura\1_CONCURSOS\AGU\Revisão","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\AGU\Revisão"
"06 - Estudos, concursos e leitura\1_CONCURSOS\BNDES\Recurso","4","06 - Estudos, concursos e leitura","15","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\BNDES\Recurso"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\AGRAVO DE INSTRUMENTO","4","06 - Estudos, concursos e leitura","30","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\AGRAVO DE INSTRUMENTO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\APELAÇÃO","4","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\APELAÇÃO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Aulas André Alencar","4","06 - Estudos, concursos e leitura","178","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\Aulas André Alencar"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\DISCURSIVA","4","06 - Estudos, concursos e leitura","11","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\DISCURSIVA"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\EMBARGOS DE DECLARAÇÃO","4","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\EMBARGOS DE DECLARAÇÃO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\EXAMES e POSSE","4","06 - Estudos, concursos e leitura","33","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\EXAMES e POSSE"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\INSCRIÇÃO","4","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\INSCRIÇÃO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\INTERVENÇÃO","4","06 - Estudos, concursos e leitura","27","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\INTERVENÇÃO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MANDADO DE SEGURANÇA","4","06 - Estudos, concursos e leitura","32","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MANDADO DE SEGURANÇA"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MATERIAIS DE REVISÃO","4","06 - Estudos, concursos e leitura","64","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MATERIAIS DE REVISÃO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MEDIDA CAUTELAR","4","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MEDIDA CAUTELAR"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\NOMEAÇÃO","4","06 - Estudos, concursos e leitura","17","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\NOMEAÇÃO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\PORTUGUÊS","4","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\PORTUGUÊS"
"06 - Estudos, concursos e leitura\1_CONCURSOS\CD\TÍTULOS","4","06 - Estudos, concursos e leitura","35","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\TÍTULOS"
"06 - Estudos, concursos e leitura\1_CONCURSOS\ENAM\ENAM 1","4","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\ENAM\ENAM 1"
"06 - Estudos, concursos e leitura\1_CONCURSOS\ENAM\ENAM 2","4","06 - Estudos, concursos e leitura","10","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\ENAM\ENAM 2"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPDFT\2021","4","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPDFT\2021"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPDFT\2025","4","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPDFT\2025"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 1","4","06 - Estudos, concursos e leitura","14","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 1"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 10","4","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 10"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 11","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 11"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 2","4","06 - Estudos, concursos e leitura","11","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 2"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 3","4","06 - Estudos, concursos e leitura","10","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 3"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 4","4","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 4"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 5","4","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 5"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 7","4","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 7"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 8","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 8"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 9","4","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SEMANA 9"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SIMULADOS","4","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\SIMULADOS"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\VIOLÊNCIA DOMÉSTICA","4","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPE's\VIOLÊNCIA DOMÉSTICA"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\0. RECURSOS","4","06 - Estudos, concursos e leitura","22","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\0. RECURSOS"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\1. AULAS EM PDFs","4","06 - Estudos, concursos e leitura","26","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\1. AULAS EM PDFs"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\ADMINISTRATIVO","4","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\ADMINISTRATIVO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\AMBIENTAL","4","06 - Estudos, concursos e leitura","8","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\AMBIENTAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\BANCA","4","06 - Estudos, concursos e leitura","1","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\BANCA"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\CIVIL","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\CIVIL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\CONSTITUCIONAL","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\CONSTITUCIONAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\CONSUMIDOR","4","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\CONSUMIDOR"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\CRIANÇA E ADOLESCENTE","4","06 - Estudos, concursos e leitura","8","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\CRIANÇA E ADOLESCENTE"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\EDITAL","4","06 - Estudos, concursos e leitura","20","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\EDITAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\ELEITORAL","4","06 - Estudos, concursos e leitura","10","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\ELEITORAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\EMPRESARIAL","4","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\EMPRESARIAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\ENUNCIADOS CCR comentados","4","06 - Estudos, concursos e leitura","14","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\ENUNCIADOS CCR comentados"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\FINANCEIRO","4","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\FINANCEIRO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\INDÍGENA","4","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\INDÍGENA"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\INTERNACIONAL","4","06 - Estudos, concursos e leitura","9","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\INTERNACIONAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\MILITAR","4","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\MILITAR"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\NORMAS INTERNAS","4","06 - Estudos, concursos e leitura","33","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\NORMAS INTERNAS"
