relpath	size	sha1	paginas	len_norm	sha1_norm	ano_zip	data_pasta	data_nome	n_nome	data_texto	n_texto	id_pasta	n_atas_sup	n_atas_reg	n_atas_incertas	atas	flags
BEs 1933\NOVEMBRO\09\99872\00000029.pdf	2075100	34a2babbba672749a460835c379ad0ca417622ce	23	104183	afb7ca28fbf8d870431efd7bfcdf1297b92735c1	1933	1933-11-09			1933-11-09	148	99872	0	0	0		
BEs 1933\NOVEMBRO\16\99873\00000030.pdf	926647	a49e403fd0d39c38cce57d4e8cc59e6d22c285e2	9	50360	67f95548c2b609a2c80459e71cf33db32df7eaea	1933	1933-11-16			1933-11-16	149	99873	2	2	0	superior:ordinaria:88:1933-11-07:2;superior:ordinaria::1933-11-07:2;regional::106:1933-06-16:6;regional:::1933-06-16:6	
BEs 1933\NOVEMBRO\18\99874\00000031.pdf	1646658	12b961adc5dbd7831a1d689b1afd826db3a53599	15	86175	5d91120b2517323fde61f4f1446b743c1524dbed	1933	1933-11-18			1933-11-18	150	99874	1	0	0	superior:ordinaria:89:1933-11-10:2	
BEs 1933\NOVEMBRO\22\99875\00000032.pdf	1480450	0cb68bc6540a32b968db715426f8d8e5fabb1e48	17	77730	e124fa20eddb565b0edba256ce1e29c1baa4bdd9	1933	1933-11-22			1933-11-22		99875	7	0	0	superior:ordinaria::1933-11-24:2;superior:ordinaria:90:1933-11-14:2;superior::1:1933-11-10:3;superior:extraordinaria:29:1933-10-23:11;superior:extraordinaria::1933-10-23:11;superior:extraordinaria:31:1933-11-09:12;superior:extraordinaria::1933-11-09:12	
BEs 1933\NOVEMBRO\23\99876\00000033.pdf	823779	b4ac7e5c0fc0995b91dbb9593a4bb49fad939caf	9	42952	5ecaa52e9296ab736ab8ad32e9bb004ac8ba88a1	1933	1933-11-23			1933-11-23	152	99876	1	2	0	superior:ordinaria:91:1933-11-17:2;regional:::1933-06-20:8;regional:::1933-06-23:9	
BEs 1933\NOVEMBRO\25\99877\00000034.pdf	1467510	1741300ce4baba7003f53026b1a8c010af350540	16	74019	1d9a1ccb38f8d3b44c95bb3be8648a7b7cc57b51	1933	1933-11-25			1933-11-25	153	99877	3	2	0	superior:ordinaria::1933-11-28:2;superior:ordinaria:92::2;superior:ordinaria:::11;regional::109:1933-06-27:13;regional:::1933-06-27:13	
BEs 1933\NOVEMBRO\29\99878\00000035.pdf	710181	7bfe5fa2a476b61847f0e467c30b36147641dfdc	9	34570	62f0db040927de7f0d40499e3e5ea521a9c3f5bf	1933	1933-11-29			1933-11-29	154	99878	1	0	0	superior:ordinaria::1933-12-01:2	
BEs 1933\OUTUBRO\04\99861\00000018.pdf	1398666	90d2b1e1230a577a99b26fcc3b7581afa331db48	17	73261	7b06eba478c4aeb48f445353733db2efe321a1c8	1933	1933-10-04			1933-10-04	137	99861	2	2	0	superior:ordinaria::1933-10-06:2;superior:ordinaria:77:1933-09-29:2;regional:::1933-03-24:6;regional::78:1933-03-28:7	
BEs 1933\OUTUBRO\07\99862\00000019.pdf	930860	a70c84218214e7595183c3ce4e9990041f685f99	9	48638	b01f78cb275085ff5a31f1b8446f287255db2c40	1933	1933-10-07			1933-10-07	138	99862	3	0	0	superior:ordinaria::1933-10-10:2;superior:::1933-03-31:8;superior::80:1933-04-04:9	
BEs 1933\OUTUBRO\11\99863\00000020.pdf	2495006	486b069f1a1f9b44b192bbde1d6b8f6bd1215b1d	25	134177	775fc2a6693f9b31d9a8e6f8468ce12a26c5ce2f	1933	1933-10-11			1933-10-11	139	99863	2	10	0	superior:ordinaria::1933-10-03:2;superior:ordinaria::1933-10-06:5;regional::81:1933-04-07:12;regional:::1933-04-11:13;regional:::1933-04-15:13;regional::84:1933-04-18:14;regional::85:1933-04-20:14;regional:extraordinaria::1933-04-24:14;regional::87:1933-04-25:15;regional:extraordinaria:83:1933-04-27:15;regional::89:1933-04-28:16;regional:extraordinaria:90:1933-04-28:16	
BEs 1933\OUTUBRO\14\99864\00000021.pdf	1599312	d1cf61564207fd19d7fc34c35b7a1b96b788965d	16	87115	db13c7fdab96f84ade043ee69abc012916dc78ed	1933	1933-10-14			1933-10-14	140	99864	4	0	0	superior:ordinaria::1933-10-17:2;superior:extraordinaria:7:1933-10-07:2;superior:ordinaria:80:1933-10-10:5;superior:extraordinaria:::6	
BEs 1933\OUTUBRO\18\99865\00000022.pdf	2610361	70fee0e22e656e60d411879efdc7568705dd3115	23	145094	1be14ff8f012d7e585f9e0fb831d5ac051777244	1933	1933-10-18			1933-10-18	141	99865	1	0	0	superior:ordinaria:81::2	
BEs 1933\OUTUBRO\21\99866\00000023.pdf	1621353	852476e8c16028f44f584698eb254c6c9b826710	17	86694	b187420a71b26c37b827928a4e21e1a96d0bbf2f	1933	1933-10-21			1933-10-21	142	99866	2	4	0	superior:ordinaria::1933-10-24:2;superior:ordinaria:82:1933-10-17:2;regional:extraordinaria::1933-05-01:16;regional:::1933-05-02:16;regional:extraordinaria::1933-05-04:16;regional:::1933-05-12:17	
BEs 1933\OUTUBRO\25\99867\00000024.pdf	644603	2a188c9f5f218e513aa47732a39a8e4df3433b5b	9	27319	31deacf7bc90d83e99a358a90ff5c4b1e0b1c45c	1933	1933-10-25			1933-10-25	143	99867	3	2	0	superior:ordinaria::1933-10-27:2;superior:ordinaria:63:1933-10-20:2;superior:ordinaria::1933-10-20:2;regional:::1933-05-13:7;regional:::1933-05-15:8	
BEs 1933\OUTUBRO\28\99868\00000025.pdf	678456	33d2e5072a552fc65a5e3ebee2f4474bbaf40dca	9	27386	7f478a01cd1a4800fd6051fa304ee87157ff9a03	1933	1933-10-28			1933-10-28	144	99868	3	0	0	superior:ordinaria:::2;superior:ordinaria:84:1933-10-24:2;superior:ordinaria::1933-10-24:2	
BEs 1933\SETEMBRO\02\99530\00000009.pdf	932090	3a9ec3a42e0d2fb0d6e48e49d4359d99cdbb2f83	9	47580	033040b93d80fcdc8fa31b625a8b4dc62c92a2f2	1933	1933-09-02			1933-09-02	128	99530	2	0	0	superior:ordinaria::1933-09-05:2;superior:ordinaria:08:1933-08-29:2	
BEs 1933\SETEMBRO\02\99530\00000014 (igual).pdf	936022	a76c96e618545b35d125fa8a13a5a1899c992f23	9	47502	1e8d70900a65d67bd91d2369865ae6b9723c608f	1933	1933-09-02			1933-09-02	128	99530	2	0	0	superior:ordinaria::1933-09-05:2;superior:ordinaria:68:1933-08-29:2	
BEs 1933\SETEMBRO\06\99531\00000010.pdf	729470	bf90f999eafc03073cee430df5e73858a0a587aa	9	35947	0e4bbefd1e56c8774d3acf73ef09c2faa0a3e730	1933	1933-09-06			1933-09-06	129	99531	3	0	0	superior:ordinaria::1933-09-08:2;superior:ordinaria:69:1933-09-01:2;superior:ordinaria::1933-09-01:2	
BEs 1933\SETEMBRO\06\99531\00000015 (igual).pdf	736567	09ad73dde0c44f227571304d7c3ef829e8e1a873	9	35895	131d8514de8345196da8c78968f6ef197b5bbc3b	1933	1933-09-06			1933-09-06	129	99531	3	0	0	superior:ordinaria::1933-09-08:2;superior:ordinaria:69:1933-09-01:2;superior:ordinaria::1933-09-01:2	
BEs 1933\SETEMBRO\09\99533\00000011.pdf	4040124	8551a9f56887bd2128a7e5b2f09f25e8bbb43fb5	33	225931	31c1d0f9dae11ef4033b9374f67de37e39ceb14c	1933	1933-09-09			1933-09-09	130	99533	2	0	0	superior:ordinaria::1933-09-12:2;superior::::29	
BEs 1933\SETEMBRO\09\99533\00000016 (igual).pdf	4092753	692066f6ad17ead779566e04b544b426da619d86	33	225972	573b2e2006554ff9d4073b3055477acdfbbae5e2	1933	1933-09-09			1933-09-09	130	99533	2	0	0	superior:ordinaria:::2;superior::::30	
BEs 1933\SETEMBRO\13\99535\00000012.pdf	1609826	737b0eea0c32ce7ee8335022e7edfb97dbd67ae9	16	87513	f232e609b52b292e9f81cc2e89efcabf914146b1	1933	1933-09-13			1933-09-13	131	99535	2	4	0	superior:ordinaria:70:1933-09-05:2;superior:ordinaria::1933-09-05:2;regional:::1933-01-24:11;regional::62:1933-01-27:12;regional::63:1933-01-31:12;regional::64:1933-02-03:12	
BEs 1933\SETEMBRO\13\99535\00000017 (igual).pdf	1635675	0bd22f6c8ec86419105fba65c58e35e8609fa5f0	16	87815	97cebd13d3e15bb26745c8811b60a7e41649cb82	1933	1933-09-13			1933-09-13	131	99535	2	4	0	superior:ordinaria:70:1933-09-05:2;superior:ordinaria::1933-09-05:2;regional::61:1933-01-24:11;regional::62:1933-01-27:12;regional::63:1933-01-31:12;regional::64:1933-02-03:12	
BEs 1933\SETEMBRO\16\99856\00000013.pdf	1565935	099480908a15b7faeea5061d0642b1aaf9f4bef4	17	77601	99f2dc1d4ba6fe6b60883ad027c6929b503f56e3	1933	1933-09-16			1933-09-16	132	99856	1	0	0	superior:ordinaria::1933-09-19:2	
BEs 1933\SETEMBRO\20\99857\00000014.pdf	1457796	f4896a8b61a739209d9acbf8383746673ae2338e	16	76828	8afc7866aa75ebaecf6ad6a1984eb3bd945668b8	1933	1933-09-20			1933-09-20	133	99857	4	4	0	superior:extraordinaria::1933-09-21:2;superior:ordinaria::1933-09-22:2;superior:ordinaria::1933-09-08:2;superior:ordinaria::1933-09-12:3;regional:::1933-02-07:9;regional:::1933-02-10:9;regional::67:1933-02-14:10;regional::68:1933-02-17:10	
BEs 1933\SETEMBRO\23\99858\00000015.pdf	922942	49a92d3a8ccdd5f25b11873506a73b8c37c7d135	9	46967	91312372d95ea0710a32f73bc1f84a8026a0be7f	1933	1933-09-23			1933-09-23	134	99858	4	1	0	superior:ordinaria::1933-09-26:2;superior:ordinaria:73:1933-09-15:2;superior:ordinaria:74:1933-09-19:3;superior:extraordinaria:5:1933-09-21:6;regional:::1933-02-21:7	
BEs 1933\SETEMBRO\27\99859\00000016.pdf	1479211	128f5bf761e29350fc572e43b4e045b45a01e02e	17	80971	107e162b4910f86d1e6b3eac51e37b3851cfc766	1933	1933-09-27			1933-09-27	135	99859	3	6	0	superior:ordinaria::1933-09-29:2;superior:ordinaria:75:1933-09-22:4;superior:ordinaria::1933-09-22:4;regional:::1933-02-24:7;regional:::1933-03-03:7;regional:::1933-03-07:7;regional:::1933-03-10:8;regional:::1933-03-14:8;regional::75:1933-03-17:9	
BEs 1933\SETEMBRO\30\99860\00000017.pdf	746703	3fbb68ac94488c944f0f5bf14311955651b42ab5	8	39419	b6e891287fbc6226b9303caf9d84cebec26392d3	1933	1933-09-30			1933-09-30	136	99860	1	2	0	superior:ordinaria:76:1933-09-26:2;regional::76:1933-03-21:6;regional:::1933-03-21:6	
BEs 1934\00000002 (suplemento n. 101).pdf	31507113	9098081d3fa3f97301948c94e2dee551dbbfcb79	351	1719572	8f5014fd0f2302c20228720c6d1b567ded82e73f	1934							0	0	0		sem_data
BEs 1934\ABRIL\04\99408\00000029.pdf	1103346	0c1b7a26d74642af0de6d37b790d2282b8b37074	13	58873	a23ec5b8aa139fa61a1c30cf6b681cfa3fbb9bcc	1934	1934-04-04				29	99408	0	0	0		
BEs 1934\ABRIL\07\99409\00000030.pdf	1441296	4724be309720501f71a43c880c074eb1e3ab163a	16	79823	1ddc98c5391cf7c0dc46c0e07e259f65d23a4062	1934	1934-04-07			1934-04-07	30	99409	4	3	0	superior:ordinaria::1934-03-16:3;superior:ordinaria::1934-03-20:3;superior:ordinaria::1934-03-23:3;superior:ordinaria::1934-03-27:3;regional::177:1934-02-23:6;regional:::1934-02-27:7;regional:::1934-03-02:7	
BEs 1934\ABRIL\11\99410\00000031.pdf	2171113	8f0967904476f1f8dfbbf9ca8b9c120ea31da6f7	21	124480	1724b3cfbb25758567707746606bc1a1e8b6e7e8	1934	1934-04-11			1934-04-11	31	99410	2	6	0	superior:ordinaria:25:1934-03-31:2;superior:ordinaria::1934-03-31:2;regional::181:1934-03-09:10;regional::182:1934-03-13:10;regional::183:1934-03-16:11;regional::184:1934-03-20:12;regional::185:1934-03-23:12;regional::186:1934-03-27:12	
BEs 1934\ABRIL\14\99411\00000032.pdf	1638239	c668dcf54b14ba79006fb2c94ad383e66a44ccbb	20	89737	2397b6d3059b00dbf60fb761deb13df9f850d5e9	1934	1934-04-14			1934-04-14		99411	0	0	0		
BEs 1934\ABRIL\18\99412\00000033.pdf	2075793	4bdb0e0d14e18f2e2f8ac13df7816a883152fded	21	118249	717f043cf67aa0294be87474bf47e03ee7372127	1934	1934-04-18			1934-04-18	33	99412	2	3	0	superior:ordinaria:26:1934-04-03:2;superior:ordinaria::1934-04-06:2;regional::187:1934-03-31:10;regional::188:1934-04-03:11;regional:::1934-04-06:11	
BEs 1934\ABRIL\20\99479\00000034.pdf	770490	957863558f58c2352ce39d9e4300252610d9daf6	9	40754	73cd56e35a38adbabf1c5af1db7483c1d236ec92	1934	1934-04-20			1934-04-20	34	99479	1	0	0	superior:ordinaria:28:1934-04-10:2	
BEs 1934\ABRIL\25\99480\00000035.pdf	2310935	79aa867e04d855a6b57a36500629d93bf8636aff	25	129982	087a108b59954bb3ce2163736a29ae99a64ac2b9	1934	1934-04-25			1934-04-25	35	99480	0	0	0		
BEs 1934\ABRIL\28\99481\00000036.pdf	1561907	54efe111bf00690544a9a1f45eebd11dc94a26fc	17	87086	c23439e5404a8eef50a0f96dab4bda2976ffaf39	1934	1934-04-28				36	99481	2	0	0	superior:ordinaria::1934-04-13:2;superior:ordinaria:30:1934-04-17:3	
BEs 1934\AGOSTO\01\99596\00000001.pdf	5469826	e67eb66b9c9793bd64923e53199a262be676a82d	61	272446	8dde5dd9018f28ae9d27396c4a362203efd06679	1934	1934-08-01			1934-08-01	66	99596	0	3	0	regional:::1934-07-10:4;regional::217:1934-07-13:4;regional::18:1934-07-17:5	
BEs 1934\AGOSTO\03\99597\00000002.pdf	6229708	5bc2667b40c20bfb12d456b0ce852b5f428282b2	65	315261	d543e0a39fb9e2472e4effe9cea8f6379f371743	1934	1934-08-03			1934-08-03	67	99597	0	0	0		
BEs 1934\AGOSTO\06\99598\00000003.pdf	3896054	ed933773fb1df18cbcee772f6fab5fca66e2cb49	40	190400	118d7a873efd007819b1af0dc6b7992f981844f9	1934	1934-08-06			1934-08-06	68	99598	0	0	0		
BEs 1934\AGOSTO\08\99601\00000004.pdf	3111822	af32a99576437cddb4c9de83644fd23a47bcdf8f	32	153876	b6c468034aeb0ed9cc527f1a0d2d394e3b1913fb	1934	1934-08-08			1934-08-04		99601	0	0	0		data_divergente
BEs 1934\AGOSTO\10\99603\00000005.pdf	5454497	3750dee287b8d282afb59e3d704fab930a93dfa2	64	268428	a41150262730f4087abfcb0b0f98d8f5334ddd11	1934	1934-08-10			1934-07-26		99603	0	0	0		data_divergente
BEs 1934\AGOSTO\13\99604\00000006.pdf	6216300	e2b9156bf285eeb57f59eb0a6ce1b530f70369c8	65	324163	26424579a9ebc18e0b64b99cc09f99ed74f48b37	1934	1934-08-13			1934-08-13	71	99604	3	0	0	superior:ordinaria:::2;superior:extraordinaria::1934-07-27:2;superior:ordinaria:57:1934-07-31:3	
BEs 1934\AGOSTO\14\99608\00000007.pdf	1551159	03fabf9edaabdf97fa950746adc15f8e0d5d7e45	22	65021	f97073b7b1450fc4a71ef948b09f00cbeb3dc519	1934	1934-08-14					99608	0	0	0		
BEs 1934\AGOSTO\15\99616\00000008.pdf	8619094	384237e24c1349c8422b03d90ec732bbe8acd7c3	81	446931	7cfd4653db605f1291cb153332b4e6e6090191d7	1934	1934-08-15			1934-07-28		99616	1	0	0	superior:ordinaria::1934-08-07:2	data_divergente
BEs 1934\AGOSTO\17\99622\00000010.pdf	4296747	d704dae0d539a93dc5608dfc52aff391e907dd82	41	215649	932981c90572a5aca1f9c9bb8a77488cd23c1b92	1934	1934-08-17			1934-08-17	75	99622	0	0	0		
BEs 1934\AGOSTO\18\99624\00000011.pdf	5505860	5fca526066350f1bf57d92d4ccb99fc5548d8ac4	56	278478	d53c6267da5fff5ce029cde86fb2f7ca051e54ab	1934	1934-08-18			1934-08-18	76	99624	0	0	0		
BEs 1934\AGOSTO\1934_boletim_eleitoral_a3_n74.pdf	80710446	7bd223f25b6706bcfa0818fc2ed01c3f06514536	80	428906	794f6b83ba71a243462db84f39818fe381d4e26e	1934	1934-08		74	1934-08-16	74		0	0	0		
BEs 1934\AGOSTO\19\99626\00000012.pdf	4520263	ead896cf2cd8c173da97decc74519133651d5120	54	227362	9ccd80dae292d4482e00dce29f0ea9e43fd996ca	1934	1934-08-19			1934-08-19	77	99626	0	0	0		
BEs 1934\AGOSTO\20\99633\00000013.pdf	6808833	0ffea7208ed99c11992ac46956470265cff09cc9	62	353137	51c8b4501b85da525536f894bc9fdd5350a88209	1934	1934-08-20			1934-08-20	78	99633	0	0	0		
BEs 1934\AGOSTO\21\99634\00000014.pdf	3573241	977cbc01f5632773c17876b44d9767bc713767d8	33	184116	920791c4589412db90facca82c61cac4a8d8fa01	1934	1934-08-21			1934-08-20		99634	0	0	0		data_divergente
BEs 1934\AGOSTO\22\99636\00000015.pdf	1694350	47ecac82b9a87e75645977c3949139a57789ef52	16	86602	b255e9cd1ab6378f3e6509f8aa03351579013410	1934	1934-08-22			1934-08-22	80	99636	0	0	0		
BEs 1934\AGOSTO\23\99638\00000016.pdf	10775815	d711aa7e517acbd057dd3cf8374ec488f29d12be	94	568885	cc87b28a6b95a8b8918fe6a76008b08c1e1b6770	1934	1934-08-23			1934-08-23		99638	0	0	0		
BEs 1934\AGOSTO\24\99643\00000001.pdf	8364702	9dc4b6b4c1eaaffdc0ceac4c5aa164fd10b82513	73	444669	951f37f50e573e2eef530808207f8aa621d4fe05	1934	1934-08-24			1934-08-24	82	99643	0	0	0		
BEs 1934\AGOSTO\25\99644\00000002.pdf	5058919	ebe4bf962b96fe2fd2dd7ab65685afba1482a7a0	47	270989	ecbfb7878f30b9615c72da1e499fc84e104fb3e3	1934	1934-08-25			1934-05-22		99644	0	0	0		data_divergente
BEs 1934\AGOSTO\27\99645\00000003.pdf	10022368	b860f8171692d3b723c5627f4985b93b43d9e6c2	89	535206	9a878c4074522fea4757fa836ab4c74c99d1b83f	1934	1934-08-27			1934-08-27	84	99645	0	0	0		
BEs 1934\AGOSTO\28\99649\00000004.pdf	9558850	9da980e727f704209c295854371a0aaf39f30563	81	510316	90e3b51d0909162ae502b9f1dd8c74a409cd75a5	1934	1934-08-28			1934-08-28	85	99649	0	0	0		
BEs 1934\AGOSTO\29\99652\00000005.pdf	2830916	5f743727314de8a3d0769522ece2f479525d7245	25	140232	cdf2efbc50a886cf60ffc677c0708a236fbbfc16	1934	1934-08-29			1934-07-22		99652	0	0	0		data_divergente
BEs 1934\AGOSTO\30\99655\00000006.pdf	15342399	d87a75b6d1bf4faed8184bd642321a2abcdc5e6c	129	818468	ec7ebbb872b317983294e57fc814c78cbb8d8497	1934	1934-08-30			1934-08-30	87	99655	0	0	0		
BEs 1934\AGOSTO\31\99657\00000007.pdf	65615824	d0da99de32cc412eecfebf397595c22acbcacd10	528	3417134	4a06fdcafe5879d30173628b6b51149ca4cefcaa	1934	1934-08-31			1934-08-31		99657	1	0	0	superior:ordinaria:::2	
BEs 1934\DEZEMBRO\01\99682\00000001.pdf	6633963	4b770497ad51b80d0d5be96ba9b6eb38309a214e	95	281696	bd3972e3b64de94029bfd4f7ffdaf34777ec86e4	1934	1934-12-01			1934-12-01	123	99682	0	0	0		
BEs 1934\DEZEMBRO\05\99684\00000002.pdf	2745120	3087b8fd0139e1631d6a000e8445f1024c1f62da	39	116438	bf5303e855c8818eb85eada6aec97c59914d59b4	1934	1934-12-05			1934-12-05	124	99684	0	0	0		
BEs 1934\DEZEMBRO\08\99685\00000003.pdf	5968342	cacc353327fa3610c513f474042712f6d64b4689	81	247414	5be43f0d056471175f008aaae2bacb4ed1d76919	1934	1934-12-08			1934-12-08	125	99685	0	0	0		
BEs 1934\DEZEMBRO\12\99687\00000004.pdf	2190053	a8143160e4eed575f9dd34ade40970b69dcddb4e	33	99132	f07d2bb632538ebeea578f16984738548344c2b8	1934	1934-12-12				126	99687	0	0	0		
BEs 1934\DEZEMBRO\13\99688\00000005.pdf	2332810	a992b389d92399ebcabeb485784e0880e60312ed	32	95832	42280389287b76551e780a557ad6acc6bf864039	1934	1934-12-13			1934-12-13	127	99688	0	0	0		
BEs 1934\DEZEMBRO\15\99689\00000006.pdf	3425583	4bd26da61ebfec613fdffa4866e0287f75d53c9a	49	147297	a5e601b893975686f3099a3a8927a1c60e59edef	1934	1934-12-15				128	99689	0	0	0		
BEs 1934\DEZEMBRO\19\99690\00000007.pdf	7470259	f005b200d94f590fdb6144c25afaae03ee51edbf	110	320540	4682a727a5619b09baeba82dbf7ed887631a725e	1934	1934-12-19			1934-12-19	129	99690	0	0	0		
BEs 1934\DEZEMBRO\26\99692\00000009.pdf	4053640	ea68e74c6a0d72cfb823e35df9a1212e80687452	49	193251	7a0605b49b6b2f22e2af0b1524b6a1697ea1eed9	1934	1934-12-26			1934-12-26		99692	0	0	0		
BEs 1934\DEZEMBRO\29\99693\00000010.pdf	4687606	fda2d09a682c56f8b751c2f3b73ae59f49509836	64	193623	ef34bd12648eae405a093bbeba5bc370694f9f89	1934	1934-12-29			1934-12-29	132	99693	0	0	0		
BEs 1934\DEZEMBRO\31\99694\00000011.pdf	1115669	ba2594ec97e9f9b31880db132167c2709c9e124e	15	49801	b3b76aa1ecd3cfdc5fa4ec9cd5c0fc24b2b68c1a	1934	1934-12-31			1934-12-31	133	99694	0	0	0		
BEs 1934\FEVEREIRO\03\99374\00000011.pdf	1352348	7b0c31adab2852ff537b8d6c3b9369169eef34f3	16	72350	810d1a17ae303d144a2614432d3e89372d3233d0	1934	1934-02-03			1934-02-03	11	99374	2	2	0	superior:ordinaria:7:1934-01-23:2;superior:ordinaria::1934-01-23:2;regional::143:1933-10-20:5;regional:::1933-10-20:5	
BEs 1934\FEVEREIRO\07\99375\00000012.pdf	1544775	0b30ae3326387e45dce127dbd661561e80997382	17	79849	afa5b827fdba518cfed6a29de72f4aebf8985b0b	1934	1934-02-07			1934-02-07	12	99375	0	2	0	regional::144:1933-10-24:12;regional:::1933-10-24:12	
BEs 1934\FEVEREIRO\10\99376\00000013.pdf	1496947	a5a8e85dea9d69bd6349721a5e9b2fb934f11e4f	16	78316	03d6c8d94389281bd72519b250d00bf0d4fdc651	1934	1934-02-10			1934-02-10	13	99376	0	2	0	regional:::1933-10-27:7;regional:::1933-10-31:7	
BEs 1934\FEVEREIRO\14\99377\00000014.pdf	806872	2fb8d0e007d423a020a2c0424a116b7a96f19257	9	42873	f87751dd86b19b70dd26f00670073f7731e45eb7	1934	1934-02-14			1934-02-14	14	99377	2	1	0	superior:ordinaria:9:1934-01-30:2;superior:ordinaria::1934-02-02:3;regional:::1933-11-03:7	
BEs 1934\FEVEREIRO\17\99378\00000015.pdf	908438	e7310abcb74ed35972f28775d54ee655b4afc678	9	46142	585ca6606e40cea65ed18900a131010e6b631d05	1934	1934-02-17			1934-02-17	15	99378	2	0	0	superior:ordinaria:11:1934-02-06:5;superior:ordinaria::1934-02-06:5	
BEs 1934\FEVEREIRO\21\99379\00000016.pdf	1508459	37f3ca03dcf8378d0a85426f474bfd1a5757924d	17	82723	8fc45553931cf0ed14b54c931e968da0c7b65891	1934	1934-02-21			1934-02-21	16	99379	1	4	0	superior:ordinaria:12:1934-02-09:2;regional:::1933-11-10:10;regional::150:1933-11-14:10;regional:::1933-11-17:10;regional::152:1933-11-21:11	
BEs 1934\FEVEREIRO\24\99396\00000017.pdf	2329399	2a9dd2235f5ca409ae106befdc4ce92aff7c3e13	24	131812	7ccc5f106dd08df6d2e03f98f88bc353c2a77b8a	1934	1934-02-24			1934-02-24	17	99396	3	3	0	superior:ordinaria:13:1934-02-16:2;superior:ordinaria::1934-02-16:2;superior:ordinaria:12:1934-02-09:4;regional:::1933-11-24:13;regional:::1933-11-28:13;regional:::1933-12-01:13	
BEs 1934\FEVEREIRO\28\99397\00000018.pdf	2279825	bada11fee9df93b2605aa0a928b391bb28a7dd24	23	130271	bfe3d2ab5c6d8e2cb47aaf19936619b11af8228f	1934	1934-02-28			1934-02-28	18	99397	1	8	0	superior:ordinaria:14:1934-02-20:2;regional:::1933-12-05:12;regional:::1933-12-08:12;regional::158:1933-12-12:13;regional::159:1933-12-15:13;regional:::1933-12-19:13;regional::161:1933-12-22:14;regional::162:1933-12-26:14;regional::163:1933-12-29:14	
BEs 1934\JANEIRO\03\99364\00000001.pdf	954544	a453f7b8d0df944db0fe8c1343cb74151c866c38	9	49452	65097c850b6f1aff29713e46c3a2d700c21a3015	1934	1934-01-03			1934-01-03	1	99364	1	0	0	superior:ordinaria:103:1933-12-29:2	
BEs 1934\JANEIRO\06\99365\00000002.pdf	573828	83c084cad5476e43ac63fd593d23351522560112	8	28563	c95b0165164afd07cd83d4908a4973e4d0104821	1934	1934-01-06			1934-01-06	2	99365	0	0	0		
BEs 1934\JANEIRO\10\99366\00000003.pdf	1609578	46de33fcf2e1621e877b3a03befa6813f434ca19	17	87723	e44294e879fe8d1a64c44fa599a220ec26f5483e	1934	1934-01-10			1934-01-10	3	99366	1	5	0	superior:ordinaria::1934-01-02:2;regional:::1933-09-11:13;regional:::1933-09-12:13;regional:extraordinaria::1933-09-14:13;regional::134:1933-09-15:14;regional::135:1933-09-19:14	
BEs 1934\JANEIRO\13\99367\00000004.pdf	1477512	e7370f8840032d3a2cf629dd40a395be4ca1432f	16	83244	0adede79ec35d4c8cb441455911a58641fc112bc	1934	1934-01-13			1934-01-13	4	99367	2	0	0	superior:ordinaria:2:1934-01-05:2;superior:ordinaria::1934-01-05:2	
BEs 1934\JANEIRO\17\99368\00000005.pdf	1379757	d0afa6f38d6f1e3c0f3c975d1a194000be264413	17	55796	5d83900092da27a814ca213d779b061030936dd1	1934	1934-01-17			1934-01-17	5	99368	1	0	0	superior:ordinaria::1934-01-09:2	
BEs 1934\JANEIRO\20\99369\00000006.pdf	986655	ffa38021a1e7559958e4c776b0845794882a6f60	17	42250	1b018f4050d252a60c552fc763761ced80a9783d	1934	1934-01-20			1934-01-20	6	99369	1	0	0	superior:ordinaria::1934-01-12:2	
BEs 1934\JANEIRO\24\99370\00000007.pdf	1659100	847c2277c3c78067a78b6b0da22ecd98a9753452	17	81372	db7ee3d504581d05bf7e5f1e63acec9e5795b071	1934	1934-01-24			1934-01-24	7	99370	0	3	0	regional:::1933-09-22:9;regional:::1933-09-26:9;regional:::1933-09-29:9	
BEs 1934\JANEIRO\25\99371\00000008.pdf	659075	c86699fd13828f44308ed9ebe2e3e14bd44b70ef	9	34228	958923850c1a70836ae4ba3e2a0050c1eb598dce	1934	1934-01-25			1934-01-25	8	99371	1	0	0	superior:ordinaria::1934-01-02:2	
BEs 1934\JANEIRO\27\99372\00000009.pdf	782944	cafe78bc3bd05bc6be8d093eff548f3a47d3e9a8	9	41351	d2768612f3286779590411f5f689e970e81d9475	1934	1934-01-27			1934-01-27	9	99372	0	0	0		
BEs 1934\JANEIRO\31\99373\00000010.pdf	1671921	182b540c473da5ea9c70e20650fbd1e27da463e4	18	92729	43128739036ce6312756da1c678dfb089222a289	1934	1934-01-31			1934-01-31	10	99373	2	0	0	superior:ordinaria::1934-01-16:2;superior:ordinaria:6:1934-01-19:3	
BEs 1934\JULHO\1934_boletim_eleitoral_a3_n58.pdf	22759890	7f9ec485fd45ce7322ae010cf12b9d4ed6e30bb7	32	160469	53f9ac15ed1150e9408db2a7ed0745e021edc843	1934	1934-07		58	1934-07-07	58		0	1	0	regional::207::5	
