row_number,numero_processo,tema,before_ramo,after_ramo,before_subramo,after_subramo,method,reason,llm_error
452,1026738-76.2019.4.01.0000,"Impenhorabilidade de quantia depositada em caderneta de poupança limitada a 40 salários-mínimos e possibilidade de penhora mediante prova de má-fé, abuso de direito ou fraude",Direito Processual Civil,Direito Processual Civil,"Direito Bancário, Tutela Provisória e Execução","Tutela Provisória e Execução, Tutela Provisória",api,scope_all,
454,1003965-83.2019.4.01.3800,"Incidência de contribuição previdenciária sobre gratificações eventuais e indenizatórias versus natureza salarial habitual, com repercussões sobre compensação e prescrição quinquen",Direito Previdenciário,Direito Previdenciário,"Direito Administrativo Trabalhista, Direito Tributário Previdenciário","Previdenciário Substantivo, Contribuições Previdenciárias",api,scope_all,
455,1005692-50.2018.4.01.3400,"Possibilidade e limites da compensação de indébito de contribuições previdenciárias entre tributos da mesma espécie e destinação constitucional, conforme Lei 11.457/2007",Direito Tributário,Direito Tributário,"Direito Tributário Substantivo, Processo Tributário","Direito Tributário Substantivo, Tributação sobre rendimentos",api,scope_all,
456,0012512-20.2009.4.01.3400,Pedido de isenção do IPI na aquisição de veículo por pessoa com deficiência física e interpretação do artigo 1º da Lei 8.989/1995 quanto aos requisitos e aplicação do benefício,Direito Tributário,Direito Tributário,"Benefícios fiscais e imunidades, Tributação indireta","Imunidade e isenção tributária, Tributação sobre a renda",api,scope_all,
457,1014781-61.2018.4.01.3800,Natureza tributária de vendas de veículos usados equiparada à consignação e não caracterização como prestação de serviços para fins de IRPJ e CSLL,Direito Tributário,Direito Tributário,"Crédito e base de cálculo, Tributação direta","Tributação sobre rendimentos, Imunidade e isenção tributária",api,scope_all,
458,0066039-57.2013.4.01.0000,"Contestação do bloqueio via Bacenjud de valores depositados em conta comum por suposta natureza remuneratória, exigindo prova inequívoca da impenhorabilidade dos rendimentos para a",Direito Processual Civil,Direito Processual Civil,"Constrição de ativos, Execução","Constrição de ativos, Execução e Cumprimento de Sentença",api,scope_all,
459,0024823-24.2010.4.01.0000,Recusa pela Fazenda Pública de imóvel oferecido em garantia de execução fiscal quando há dificuldade de alienação e ausência de observância do art. 11 da Lei 6.830/1980,Direito Público,Direito Público,"Direito Administrativo Sancionador, Processo Tributário","Processo Administrativo Fiscal, Execução Fiscal e Precatórios",api,scope_all,
460,0015945-66.2017.4.01.0000,Possibilidade de penhora de créditos de administradora de cartões sobre faturamento empresarial com preservação da continuidade da atividade,Direito Processual Civil,Direito Processual Civil,"Direito Empresarial, Processo de Execução","Execução Civil, Direito Empresarial",api,scope_all,
461,1040118-69.2019.4.01.0000,"Remoção a pedido de servidor por motivo de saúde e controvérsia sobre exigência de laudo pericial oficial nos termos do art. 36, III, da Lei 8.112/1990",Direito Administrativo,Direito Administrativo,"Direitos e Deveres do Servidor, Serviço Público","Serviço Público, Direitos e Deveres do Servidor",api,scope_all,
462,1015828-53.2020.4.01.0000,Incidência da Lei 13.463/2017 sobre cancelamento de depósitos bancários e exclusão quando há ordem judicial que suspende ou susta liberação,Direito Processual Civil,Direito Processual Civil,"Direito Financeiro, Processo de Execução","Execução e Cumprimento de Sentença, Execução Contra a Fazenda Pública",api,scope_all,
463,0002594-06.2016.4.01.3801,Aplicação da regra definitiva do art. 29 da Lei 8.213/1991 quando mais favorável ao segurado em comparação com a transição do art. 3º da Lei 9.876/1999,Direito Previdenciário,Direito Previdenciário,"Direito Administrativo Previdenciário, Direito Processual Civil Previdenciário","Direito Previdenciário Substantivo, Benefício previdenciário",api,scope_all,
464,0063872-52.2013.4.01.3400,"Remoção em concurso de servidor público federal na Polícia Rodoviária: critério regional que afasta servidor melhor classificado e viola ordem classificatória prevista no art. 37, ",Direito Administrativo,Direito Administrativo,"Controle de Atos Administrativos, Servidores Públicos","Servidores Públicos, Controle de Atos Administrativos",api,scope_all,
465,1003467-48.2018.4.01.9999,Reconhecimento de união estável pós-separação e concessão de pensão por morte ao companheiro rural com presunção de dependência econômica desde o óbito,Direito Previdenciário,Direito Previdenciário,"Direito de Família, Previdência Social","Pensão por morte, Regime Geral de Previdência Social",api,scope_all,
466,0005674-22.2014.4.01.4100,"Servidor público chefe de projeto de assentamento que aceita e recebe vantagens indevidas para regularização de lotes, caracterizando corrupção ativa e passiva com agravante de ato",Direito Penal,Direito Penal,"Direito Penal Comum, Direito Penal Especial","Crimes contra a Administração Pública, Direito Penal Substantivo",api,scope_all,
467,0002524-60.2014.4.01.3800,Dosimetria da pena em apelação por contrabando de cigarros: vedação de reaproveitamento de mesmas condenações transitadas em julgado para desabonar personalidade por configurar bis,Direito Penal,Direito Penal,"Direito Penal Substantivo, Processo Penal","Direito Penal Substantivo, Direito Processual Penal",api,scope_all,
468,0006020-34.2012.4.01.3100,Tráfico internacional de pessoas envolvendo menores com presunção de vulnerabilidade e discussão sobre aplicação conjunta da Lei 13.344/2016 e dispositivos do Código Penal,Direito Penal,Direito Penal,"Direito Penal Especial, Direito Processual Penal","Criminal, Direitos e garantias fundamentais",api,scope_all,
469,0000969-77.2019.4.01.3300,Peculato por subtração de correspondências públicas e discussão sobre inaplicabilidade do princípio da insignificância diante do potencial de dano à administração e destinatários,Direito Penal,Direito Penal,"Criminal, Processo Penal","Criminal, Crimes contra a Administração Pública",api,scope_all,
470,0004551-14.2013.4.01.4200,"Condenação por dano a unidade de conservação e armazenamento irregular de substância tóxica, discutida a autonomia e não aplicação da consunção entre os arts. 40 e 56 da Lei 9.605/",Direito Penal,Direito Penal,"Direito Ambiental, Direito Penal Especial","Direito Penal Ambiental, Direito Penal Substantivo",api,scope_all,
471,0002404-09.2017.4.01.3801,"Ausência de dolo no crime de estelionato contra o INSS diante de provas insuficientes, com reconhecimento da vulnerabilidade da agente e aplicação do in dubio pro reo para excluir",Direito Penal,Direito Penal,"Direito Penal Comum, Processo Penal","Direito Penal Substantivo, Direitos e Garantias Individuais",api,scope_all,
472,0002882-40.2019.4.01.3803,"Aplicação de medida cautelar diversa da prisão para suspender posse e porte de arma de fogo quando há risco de coação de testemunhas e agentes públicos, exigindo comprovação de nec",Direito Penal,Direito Penal,"Direito Penal Substantivo, Processo Penal","Direito Penal Substantivo, Direito Processual Penal",api,scope_all,
473,0000850-45.2012.4.01.3500,Impugnação em concurso público por exame médico pré-admissional baseada em previsão de inaptidão futura versus avaliação da aptidão atual do candidato,Direito Administrativo,Direito Administrativo,"Direito Administrativo Contratual, Direito Administrativo Disciplinar","Serviço Público, Serviço Público e Regime Jurídico",api,scope_all,
474,0005136-96.2008.4.01.3600,Aplicação do artigo 2º da Lei 11.705/2008 sobre proibição de venda de bebidas alcoólicas nas margens de rodovia em áreas rurais versus inaplicabilidade em áreas urbanas,Direito Administrativo,Direito Administrativo,"Poder de Polícia, Regulação de Trânsito e Segurança Viária","Poder de Polícia, Serviços Públicos",api,scope_all,
475,1003648-40.2018.4.01.3600,Cobrança de encargos moratórios em contrato de administração de cartões e controvérsia sobre comprovação de inadimplemento e abusividade,Direito Civil,Direito Civil,"Consumidor, Contratos","Direito do Consumidor, Contratos",api,scope_all,
476,1027419-65.2018.4.01.3400,"Direito de matrícula de dependente de militar temporário reformado por invalidez em colégio militar sem exigência de concurso, por equiparação normativa e interpretação do regulame",Direito Administrativo,Direito Administrativo,"Direito Educacional, Direito Militar","Servidores Públicos, Serviço Público",api,scope_all,
477,1000072-89.2017.4.01.3821,"Impugnação de prova objetiva em concurso público e limites da eficácia da sentença que atribui pontuação a candidato, discutindo se decisão pode alcançar terceiros não demandados",Direito Processual Civil,Direito Processual Civil,"Direito Administrativo, Processo Civil","Processo Civil, Competência Jurisdicional",api,scope_all,
478,0021376-69.2013.4.01.3800,Negativa de cobertura por plano de saúde diante de indicação do médico assistente e discussão sobre obrigação de autorizar tratamento recomendado pelo profissional,Direito Civil,Direito Civil,"Direito Contratual, Direito do Consumidor","Direito da Saúde, Direito do Consumidor",api,scope_all,
479,1033692-75.2018.4.01.0000,"Inconstitucionalidade da reserva ou destaque de parcelas das verbas do Fundef para pagamento de honorários advocatícios contratuais, impossibilidade de dedução dos recursos destina",Direito Público,Direito Constitucional,"Direito Administrativo, Direito Tributário","Direito Constitucional Administrativo, Direito Administrativo",api,scope_all,
480,1038158-78.2019.4.01.0000,Cumprimento de sentença coletiva contra a Fazenda Pública por associação de servidores: renitência do ente público e autorização de medidas executórias imediatas para satisfação do,Processual Civil,Direito Processual Civil,"Cumprimento de Sentença, Execução Contra a Fazenda Pública","Cumprimento de Sentença, Execução Contra a Fazenda Pública",api,scope_all,
482,0003786-53.2016.4.01.3807,Impossibilidade de expedição de CND/CPD-EN diante de recolhimento previdenciário a menor por divergência entre GFIP e guias de pagamento,Direito Previdenciário,Direito Previdenciário,"Direito Tributário Previdenciário, Processo Administrativo Previdenciário","Contribuições Previdenciárias, Previdenciário Administrativo",api,scope_all,
484,0032475-47.2014.4.01.3300,Ilegitimidade da União para cobrar imposto de renda sobre remunerações de magistrada estadual quando o Estado não reteve na fonte,Direito Tributrio,Direito Tributário,"Direito Administrativo, Tributrio Federal","Tributação Federal, Contencioso Administrativo e Judicial Tributário",api,scope_all,
485,1002131-96.2019.4.01.0000,Presunção de fraude à execução pela inscrição em dívida ativa e afastamento da impenhorabilidade de bem de família diante de alienação fraudulenta,Direito Tributário,Direito Tributário,"Direito Civil Patrimonial, Execução fiscal","Execução fiscal, Contencioso Administrativo e Judicial Tributário",api,scope_all,
486,0064619-17.2013.4.01.0000,Inclusão de corresponsável por dissolução irregular presumida na execução fiscal e início da prescrição quinquenal a partir do ato indicativo inequívoco,Direito Tributário,Direito Tributário,"Direito Tributário Processual, Execução fiscal","Execução fiscal, Processual Tributário",api,scope_all,
487,0050600-11.2010.4.01.0000,"Apreciação de ação cautelar ajuizada após execução fiscal para suspender exigibilidade tributária mediante fiança bancária, sendo controvertida a equiparação desta ao depósito inte",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Direito Tributário Processual",api,scope_all,
488,0023102-56.2018.4.01.0000,"Tipificação concomitante da entrada clandestina de estrangeiros e da participação em organização criminosa, com discussão sobre valoração de confissão na dosimetria penal",Direito Penal,Direito Penal,"Criminal, Processual Penal","Direito Penal Substantivo, Direito Penal Empresarial",api,scope_all,
490,1002531-57.2017.4.01.3500,"Incidência do teto constitucional do art. 37, XI, sobre o somatório de proventos de aposentadoria e pensão por morte quando o óbito ocorreu após a Emenda Constitucional 19/1998",Direito Público,Direito Público,"Direito Administrativo, Direito Constitucional","Servidores Públicos, Direito Constitucional Administrativo",api,scope_all,
492,0011793-60.2013.4.01.3800,"Direito administrativo disciplinar e previdenciário: acúmulo e gozo de férias de servidor público federal por necessidade do serviço e pagamento do terço constitucional, controvérs",Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direito Previdenciário","Servidores Públicos, Direito Previdenciário Administrativo",api,scope_all,
493,0000266-34.2005.4.01.3302,Reversão administrativa de demissão decorrente de PAD reconhece procedência tácita e autoriza pagamento retroativo de vencimentos,Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direito Previdenciário e Remuneração","Processo Administrativo Disciplinar, Servidores Públicos",api,scope_all,
494,1000407-06.2018.4.01.3100,Licença para acompanhar cônjuge de servidor público estatutário: reconhecimento como direito subjetivo e caráter vinculado da concessão mediante cumprimento dos requisitos legais,Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Serviço Público","Servidores Públicos, Direito Administrativo Disciplinar",api,scope_all,
495,0004330-93.2018.4.01.9199,"Auxílio‑reclusão para dependente de segurado desempregado que mantenha qualidade de segurado, com termo inicial na data do recolhimento do menor impúbere e duração vinculada ao per",Direito Previdenciário,Direito Previdenciário,"Benefícios Previdenciários, Proteção Social Especial","Benefício previdenciário, Segurado e Qualidade de Segurado",api,scope_all,
496,1001870-14.2018.4.01.3801,"Auxílio‑transporte de servidor público: natureza indenizatória e possibilidade de pagamento mediante declaração substitutiva de bilhetes de passagem, com responsabilização por decl",Direito Administrativo,Direito Administrativo,"Direito Financeiro, Servidores Públicos","Servidores Públicos, Responsabilidade Civil Administrativa",api,scope_all,
497,1016881-69.2020.4.01.0000,"Substituição da prisão preventiva por prisão domiciliar durante pandemia, discutindo vedação de alteração do local de cumprimento e adequação das medidas cautelares alternativas",Direito Penal,Direito Penal,"Direitos Humanos Penais, Processo Penal","Direito Penal Substantivo, Direito Processual Penal",api,scope_all,
498,1020534-79.2020.4.01.0000,"Crime de moeda falsa com emprego de menores e alegada participação em organização criminosa, discutindo necessidade de prisão preventiva pela reiteração delitiva e risco à ordem pú",Direito Penal,Direito Penal,"Criminal Econômico, Processo Penal","Direito Penal Substantivo, Processual Penal",api,scope_all,
499,1027059-77.2020.4.01.0000,Redução a termo do interrogatório do réu por falha técnica de gravação e controvérsia sobre nulidade processual e demonstração de prejuízo para a validade do ato,Direito Penal,Direito Penal,"Garantias Constitucionais, Processo Penal","Processual Penal, Direitos e Garantias Constitucionais",api,scope_all,
500,0000485-77.1997.4.01.3900,"Reabilitação criminal: reconhecimento do cumprimento do requisito de reparação do dano quando comprovada a impossibilidade de ressarcimento, com decisão judicial fundamentada e efe",Direito Penal,Direito Penal,"Execução Penal, Processo Penal","Direito Penal Material, Direito Penitenciário",api,scope_all,
501,1004445-61.2019.4.01.3800,Validação de autodeclaração de candidato pardo em processo seletivo universitário com afastamento de banca mediante prova documental e fotográfica do fenótipo,Direito Administrativo,Direito Administrativo,"Direito Educacional, Direito Público","Direito Administrativo Sancionador, Controle de Atos Administrativos",api,scope_all,
502,0028431-10.2013.4.01.3400,Possibilidade de expedição de registro Renavam para veículo importado quando depósito judicial suspende exigibilidade do IPI e Denatran indefere por limitações do sistema,Direito Administrativo,Direito Administrativo,"Tributário, Trânsito","Serviços Públicos, Direito Administrativo Contratual",api,scope_all,
503,1001517-02.2017.4.01.3900,Cumulação de bolsas públicas no ensino superior e inaplicabilidade da devolução quando comprovadas natureza alimentar dos valores e boa-fé do beneficiário,Direito Administrativo,Direito Administrativo,"Direito Administrativo Sancionador, Direito Público","Direito Administrativo Sancionador, Serviços Públicos",api,scope_all,
504,0046408-58.2012.4.01.3300,Controle regulatório da ANVISA sobre proibição de aditivos em derivados do tabaco e sua constitucionalidade em face da Convenção‑Quadro,Direito Constitucional,Direito Constitucional,"Direito Administrativo, Direito Regulatório","Direito Constitucional Administrativo, Direito Regulatório",api,scope_all,
505,0052541-25.2012.4.01.0000,Ação rescisória contra sentença rescindenda proferida em embargos à execução fiscal questionando nulidade da certidão de dívida ativa e inaplicabilidade da rescisão por controvérsi,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Civil","Execução fiscal, Contencioso Administrativo e Judicial Tributário",api,scope_all,
506,0021936-91.2015.4.01.0000,Incidência da contribuição previdenciária patronal sobre valores pagos nos primeiros quinze dias de afastamento por doença ou acidente e natureza indenizatória desses pagamentos,Direito Previdenciário,Direito Previdenciário,"Direito Processual Civil, Seguridade Social","Contribuições Previdenciárias, Benefício previdenciário",api,scope_all,
507,1021672-81.2020.4.01.0000,Efeitos da coisa julgada coletiva sobre ações individuais e necessidade de pedido de suspensão tempestivo para alcançar autores dessas ações,Direito Processual Civil,Direito Processual Civil,"Processo Civil, Processo Coletivo","Processo Coletivo, Processo Civil",api,scope_all,
508,0032575-36.2013.4.01.3300,Crime contra a ordem tributária: sonegação de Imposto de Renda por omissão voluntária com dolo genérico na conduta de não recolhimento,Direito Penal,Direito Penal,"Direito Penal Tributário, Processo Penal","Direito Penal Tributário, Direito Penal Substantivo",api,scope_all,
509,0003773-58.2010.4.01.3809,Furto qualificado por arrombamento em agência dos Correios e validade probatória da confissão extrajudicial corroborada por outras provas para fundamentar condenação e redução de p,Direito Penal,Direito Penal,"Criminal, Processo Penal","Direito Penal Comum, Processual Penal",api,scope_all,
512,1000157-38.2017.4.01.3704,Inscrição de ente municipal em cadastro de inadimplentes versus responsabilidade individual do gestor por irregularidades em prestação de contas de transferências federais do Progr,Direito Administrativo,Direito Administrativo,"Controle Externo e Responsabilidade Fiscal, Direito Financeiro","Controle Externo e Responsabilidade Fiscal, Responsabilidade Administrativa",api,scope_all,
513,1000591-57.2018.4.01.3812,Validade de entrevistas para aferição fenotípica em seleção por cotas raciais quando ausente previsão editalícia e consequências de cancelamento de matrícula,Direito Administrativo,Direito Administrativo,"Direito Constitucional, Direito Público","Serviços Públicos, Controle da Administração Pública",api,scope_all,
515,0030131-19.2012.4.01.3800,"Possibilidade de cancelamento da inscrição no CPF e expedição de novo número quando comprovado uso indevido por terceiros, fraude ou furto",Direito Administrativo,Direito Administrativo,"Direito Processual Administrativo, Direito Tributário","Direito Administrativo, Serviço Público",api,scope_all,
516,0007593-74.2007.4.01.3200,Imputação de autoria em infração ambiental por queimada na Amazônia: necessidade de prova do nexo causal além da presunção de legitimidade do ato administrativo,Direito Administrativo,Direito Ambiental,"Direito Ambiental, Processo Penal","Direito Ambiental Penal, Direito ambiental administrativo",api,scope_all,
517,1006008-97.2017.4.01.3400,Ilegitimidade de exigência de registro no Conselho Regional de Educação Física para professores de dança em atividades de instrução corporal,Direito Administrativo,Direito Administrativo,"Atos Administrativos e Controle Jurisdicional, Servidor Público e Regulação Profissional","Servidores Públicos, Regime Jurídico Administrativo",api,scope_all,
518,0010696-53.2007.4.01.3600,"Incidência de IRPJ e CSLL sobre juros de depósitos judiciais e sobre valores de repetição de indébito, e cabimento de embargos de terceiro por donatários não intimados",Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Contencioso Administrativo e Judicial Tributário",api,scope_all,
519,0030451-91.2001.4.01.3400,Ação cautelar sobre parcelamento administrativo de débitos tributários e controvérsia quanto à necessidade de renúncia expressa para preservação do interesse processual e julgament,Direito Administrativo,Direito Administrativo,"Direito Tributário, Processo Civil","Direito Tributário, Processo Administrativo",api,scope_all,
520,0016480-19.2009.4.01.3801,Obrigatoriedade da Taxa de Controle e Fiscalização Ambiental por estabelecimento e definição do critério quantitativo pela receita bruta da pessoa jurídica,Direito Tributário,Direito Tributário,"Execução fiscal, Tributação Municipal","Tributação, Processo de Execução Fiscal",api,scope_all,
521,1004664-91.2020.4.01.0000,Validade de multas aplicadas pela ANTT no transporte rodoviário interestadual de passageiros em razão de infrações tipificadas em resoluções quando apoiadas em lei que confere comp,Direito Administrativo,Direito Administrativo,"Direito Processual Administrativo, Direito Regulatório","Direito Regulatório, Poder de Polícia",api,scope_all,
523,0058653-73.2013.4.01.0000,Redirecionamento da execução fiscal por dissolução irregular da pessoa jurídica com presunção pela certidão do oficial de justiça e início da prescrição a partir do ato indicador d,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",api,scope_all,
524,0011657-93.2009.4.01.3900,Aplicação de redução tarifária de 80% prevista no ACE 27 sobre imposto de importação de derivados de petróleo frente à norma interna,Direito Tributário,Direito Tributário,"Direito Aduaneiro, Direito Constitucional Tributário","Tributação Aduaneira, Direito Constitucional Tributário",api,scope_all,
525,0016998-82.2017.4.01.0000,Prevenção do juízo prolator de sentença coletiva impede deslocamento da execução individual para o foro de domicílio do exequente quando coincidem os foros,Processual Civil,Direito Processual Civil,"Direito Processual Coletivo, Processo Civil","Direito Processual Coletivo, Competência Jurisdicional",api,scope_all,
526,1001584-22.2020.4.01.0000,"Admissibilidade de habeas data contra autarquia federal e aplicação do art. 109, §2º da CF para permitir ajuizamento no domicílio do autor visando proteção do direito de acesso à i",Direito Constitucional,Direito Constitucional,"Direitos Fundamentais, Processo Constitucional","Direitos e garantias fundamentais, Processo Constitucional",api,scope_all,
529,0044658-56.2014.4.01.0000,Execução imediata de penalidade disciplinar imposta a servidor público sem trânsito em julgado administrativo e controvérsia sobre necessidade de esgotamento de recurso administrat,Direito Administrativo,Direito Administrativo,"Processo Disciplinar Administrativo, Servidores Públicos","Processo Administrativo Disciplinar, Servidores Públicos",api,scope_all,
530,1017236-79.2020.4.01.0000,"Competência do Juizado Especial Federal para processar e julgar ação sobre auxílio emergencial assistencial temporário previsto na Lei 13.982/2020, envolvendo cancelamento de ato a",Direito Público,Direito Previdenciário,"Direito Administrativo, Direito Previdenciário","Direito Previdenciário e Assistencial, Processo do Juizado Especial Federal",api,scope_all,
531,0000953-81.2015.4.01.4200,Contrabando de carne importada e comercialização de produto proibido com repercussões aduaneiras e de saúde pública que afastam a insignificância,Direito Penal,Direito Penal,"Direito Penal Comum, Direito Penal Econômico","Direito Penal Aduaneiro, Direito Penal Ambiental",api,scope_all,
532,1027871-22.2020.4.01.0000,"Transferência emergencial de custodiado para o Sistema Penitenciário Federal: requisitos legais, observância dos arts. 5 e 7 da Lei 11.671/2008, cumprimento do art. 3 do Decreto 6.",Direito Penal,Direito Penal,"Direitos Fundamentais, Execução Penal","Direito Penitenciário, Direitos e Garantias Individuais",api,scope_all,
533,0007331-39.2013.4.01.3807,"Aplicabilidade do princípio da insignificância em estelionato contra entidade pública e controvérsia sobre tipicidade do art. 171, §3º do CP",Direito Penal,Direito Penal,"Criminal Econômico, Processo Penal","Direito Penal Tributário, Criminalidade Organizada",api,scope_all,
534,0011892-75.2014.4.01.4000,Comprovação de titulação por ata de defesa para concessão de gratificação por retribuição acadêmica quando regulamento institucional admite documento conclusivo,Direito Administrativo,Direito Administrativo,"Direito Administrativo Contratual, Direito Administrativo Disciplinar","Serviço Público, Contratos Administrativos",api,scope_all,
536,0005914-28.2006.4.01.3700,Divulgação administrativa de nomes em atos processuais e limites da responsabilidade civil estatal por violação de direitos da personalidade,Direito Público,Direito Público,"Direito Administrativo, Direito Penal Processual","Direito Administrativo, Responsabilidade Civil Estatal",api,scope_all,
538,0001729-68.2017.4.01.3826,"Condenação da Fazenda Pública ao pagamento de honorários advocatícios em execução fiscal extinta por prescrição intercorrente, diante de contratação prévia de advogado e inaplicabi",Direito Público,Direito Público,"Direito Processual Civil, Direito Tributário","Execução Fiscal e de Sentença, Honorários Advocatícios",api,scope_all,
539,1018772-04.2020.4.01.9999,"Competência administrativa para extinguir execuções fiscais de pequeno valor e vedação ao Judiciário de extinguir de ofício por suposto desinteresse do credor, com orientação sobre",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",api,scope_all,
540,0002634-36.2017.4.01.3806,Exigência de inscrição e pagamento de anuidades à Ordem dos Músicos do Brasil para músicos que atuam em shows e eventos comemorativos municipais e sua compatibilidade com a liberda,Direito Constitucional,Direito Constitucional,"Direito Administrativo, Direitos Fundamentais","Direitos e garantias fundamentais, Mandado de Segurança",api,scope_all,
541,1002340-38.2019.4.01.3307,"Exclusão do Simples Nacional por débitos sem exigibilidade suspensa e indeferimento de reinclusão diante da ausência de regularização, à luz do Tema 363 (RE 627543) do STF",Direito Tributário,Direito Tributário,"Processo Tributário, Tributação empresarial","Contencioso Administrativo e Judicial Tributário, Tributação de pessoas jurídicas",api,scope_all,
542,0036962-95.2016.4.01.0000,Apuração de fraude à execução por venda de bem após redirecionamento contra sócio e requisitos para inclusão do gestor como codevedor,Direito Tributário,Direito Tributário,"Execução fiscal, Responsabilidade Tributária","Execução fiscal, Contencioso Administrativo e Judicial Tributário",api,scope_all,
543,1017231-33.2020.4.01.9999,Prescrição intercorrente na execução fiscal decorrente da ciência pela Fazenda Pública sobre ausência de bens penhoráveis e inércia da exequente quanto à localização do devedor,Direito Tributário,Direito Tributário,"Execução fiscal, Processual Civil","Execução Fiscal e Precatórios, Processo de Execução Fiscal",api,scope_all,
544,0011246-74.2014.4.01.3900,Exigência de inscrição na OAB para exercício da defensoría pública e controvérsia sobre sua necessidade diante de regime e estatutos próprios da carreira,Direito Público,Direito Público,"Direito Administrativo, Direito Constitucional","Direito Administrativo, Servidores Públicos",api,scope_all,
545,1022108-50.2019.4.01.9999,"Compatibilidade entre aposentadoria rural por idade e pensão vitalícia de seringueiro prevista na Lei 7.986/1999, discutindo impossibilidade de acumulação e critério de cessação do",Direito Previdenciário,Direito Previdenciário,"Benefícios Previdenciários, Seguridade Social","Benefício previdenciário, Previdência Social",api,scope_all,
546,1022166-19.2020.4.01.9999,Aplicação do art. 20 da Lei 8.742/1993 ao Benefício de Prestação Continuada e interpretação da presunção de miserabilidade após Lei 13.146/2015,Direito Previdenciário,Direito Previdenciário,"Assistência Social, Direitos Humanos","Benefícios Assistenciais, Direito Previdenciário e Assistencial",api,scope_all,
547,1002699-68.2017.4.01.3400,Possibilidade de transposição de servidor e policial militar do ex-Território de Rondônia para quadro em extinção alcançando aposentados e pensionistas sem pagamento retroativo,Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direito Previdenciário","Direito Administrativo Disciplinar, Direito Administrativo Previdenciário",api,scope_all,
548,0049733-95.2013.4.01.3400,Instauração de processo administrativo disciplinar a partir de denúncia anônima e limites legais da motivação e da investigação preliminar pela Administração,Direito Administrativo,Direito Administrativo,"Processo Administrativo Disciplinar, Responsabilidade Administrativa","Processo Administrativo Disciplinar, Improbidade Administrativa",api,scope_all,
549,1032454-50.2020.4.01.0000,"Crime de roubo com discussão sobre manutenção de prisão preventiva e aplicação de medidas cautelares do CPP, incluindo monitoramento eletrônico, apesar de regime inicial semiaberto",Direito Penal,Direito Penal,"Execução Penal, Processo Penal","Processual Penal, Direito Penal Substantivo",api,scope_all,
551,1023191-91.2020.4.01.0000,"Habeas corpus impetrado por leigo e impossibilidade de sustentação oral sem advogado, afetando capacidade postulatória e eficácia do art. 654 do CPP",Direito Processual Penal,Direito Processual Penal,"Direito Constitucional, Processo Penal","Processo Penal, Direito Constitucional Penal",api,scope_all,
552,0010416-75.2008.4.01.3300,Responsabilidade civil do Estado por exposição deliberada de servidor a risco decorrente de alteração de atribuições sem providências de segurança adequadas,Direito Público,Direito Administrativo,"Direito Administrativo, Direito Civil","Responsabilidade Civil do Estado, Servidores Públicos",api,scope_all,
553,0019799-68.2008.4.01.3400,Exclusão de candidato em concurso para delegado da Polícia Federal por omissão de informações relevantes na investigação social sobre vida pregressa e ocorrências policiais,Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direito Administrativo Sancionador","Processo Administrativo Sancionador, Processo Administrativo Disciplinar",api,scope_all,
554,1001826-32.2017.4.01.3800,Autorização para bolsistas de pós‑graduação receberem complementação financeira e exercerem atividade remunerada de magistério conforme Portaria Conjunta CAPES/CNPq 1/2010,Direito Administrativo,Direito Administrativo,"Direito Educacional, Servidores e Regime de Bolsas","Servidores e Regime de Bolsas, Direito Educacional",api,scope_all,
555,0040223-37.2004.4.01.3800,Validade de autuação por autarquia estadual no exercício delegado do poder de polícia administrativo pelo Inmetro e controvérsia sobre observância do contraditório e limites legais,Direito Administrativo,Direito Administrativo,"Direito Público, Direito Regulatório","Poder de Polícia, Controle de Atos Administrativos",api,scope_all,
556,1002391-50.2017.4.01.3200,Legalidade da majoração por decreto das alíquotas de PIS e Cofins incidentes sobre receitas financeiras e limites legais aplicáveis,Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Tributação Federal, Direito Tributário Material",api,scope_all,
557,1003478-43.2019.4.01.3500,Exigência de registro em conselho regional de química para cervejaria registrada no MAPA versus validade do registro no MAPA como suficiente para atuação e responsabilidade técnica,Direito Administrativo,Direito Administrativo,"Direito Administrativo Sancionador, Direito Regulatório","Serviços Públicos, Regulação Administrativa",api,scope_all,
558,0002359-78.2016.4.01.3400,"Inconstitucionalidade da taxa de limpeza pública do Distrito Federal por configurar prestação de serviço inespecífico, indivisível e imensurável, e consequências para a execução fi",Direito Tributário,Direito Tributário,"Execução fiscal, Tributação municipal e distrital","Tributação municipal e distrital, Execução fiscal",api,scope_all,
