row_number,numero_processo,tema,before_ramo,after_ramo,before_subramo,after_subramo,method,reason,llm_error
1410,1034981-38.2021.4.01.0000,Competência absoluta da vara de execuções para processar execução fundada em título extrajudicial frente à conexão com ação anulatória,Processual Civil,Direito Processual Civil,"Conflito de Competência, Processo de Execução","Conflito de Competência, Processo de Execução",baseline,,
1412,0006682-44.2016.4.01.0000,"Alteração de pedido em ação rescisória incidental após o prazo bienal e sua incidência na decadência do direito rescisório, afetando legitimidade das partes e possibilidade de subs",Processual Civil,Direito Processual Civil,"Direito Processual Civil Recursal, Processo Civil","Direito Processual Civil Recursal, Processo Civil",baseline,,
1413,1041423-54.2020.4.01.0000,Inércia da parte recorrente na juntada de peças obrigatórias do agravo de instrumento e incapacidade de conhecimento do recurso em razão de acesso eletrônico inviabilizado,Processual,Direito Processual,"Processo Civil, Processo Eletrônico","Processo Civil, Processo Eletrônico",baseline,,
1414,1035887-33.2018.4.01.0000,Incidência das normas do CPC/2015 e arbitramento de honorários advocatícios na fase de cumprimento de sentença em mandado de segurança,Processual Civil,Direito Processual Civil,"Execução e Cumprimento de Sentença, Processo de Conhecimento","Execução e Cumprimento de Sentença, Processo de Conhecimento",baseline,,
1426,0001176-69.2017.4.01.3810,Exequibilidade de cédula de crédito bancário em execução por título extrajudicial e exigência de demonstrativo conforme Lei 10.931/2004,Civil,Direito Civil,"Direito Contratual, Processual Civil","Direito Contratual, Processual Civil",baseline,,
1428,0002395-38.2007.4.01.3400,Incidência da multa moratória sobre diferença inadimplida em execução de crédito tributário na vigência da Lei 11.488/2007 e vedação ao confisco,Direito Tributário,Direito Tributário,"Direito Administrativo Tributário, Processo Tributário","Direito Administrativo Tributário, Processual Tributário",baseline,,
1433,1038385-97.2021.4.01.0000,Determinação do valor da causa nos Juizados Especiais Federais pela soma de parcelas vencidas e vincendas para aferição do teto de competência,Processual,Direito Processual,"Processo Civil, Processo nos Juizados Especiais Federais","Processo Civil, Processo nos Juizados Especiais Federais",baseline,,
1456,1030889-85.2019.4.01.0000,"Competência para processamento e julgamento de recursos originários de Juizados Especiais Federais versus atribuição de revisão às Turmas Recursais, com análise dos limites constit",Processual,Direito Processual,"Processo Administrativo Judicial, Processo Civil","Processo Administrativo Judicial, Processo Civil",baseline,,
1475,0017649-02.2016.4.01.9199,"Ilegitimidade passiva de sócios por débitos tributários de atos não cooperativos e incidência de PIS/Cofins sobre operações com terceiros, à luz do RE 599362 STF",Direito Tributário,Direito Tributário,"Processo Tributário, Tributação direta","Processual Tributário, Tributação direta",baseline,,
1479,1000941-98.2019.4.01.0000,Conexão entre ação anulatória e execução fiscal versus competência absoluta de vara especializada e impossibilidade de reunião por conexão,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
1500,1021757-33.2021.4.01.0000,"Pedido de substituição de penhora de bem imóvel por bens móveis de baixa liquidez e desprestígio à eficácia da execução, preservação do resultado útil para o credor",Processual Civil,Direito Processual Civil,"Execução, Processo de Conhecimento","Execução, Processo de Conhecimento",baseline,,
1524,0043810-57.2010.4.01.3800,Incidência de IRPJ e CSLL sobre multa moratória (taxa Selic) em repetição de indébito e distinção entre natureza jurídica do depósito judicial e obrigação de restituição,Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
1554,1028170-62.2021.4.01.0000,Incompatibilidade da tutela de urgência antecedente prevista nos arts. 303 a 310 do CPC/2015 com o sistema dos Juizados Especiais Federais e a vedação de aditamento que comprometa ,Processual Civil,Direito Processual Civil,"Juizados Especiais Federais, Tutela de Urgência e Medidas Cautelares","Juizados Especiais Federais, Tutela de Urgência e Medidas Cautelares",baseline,,
1555,1025564-95.2020.4.01.0000,Natureza conservativa da tutela cautelar de protesto interruptivo e impossibilidade de atribuição de competência pelo seu processamento judicial,Processual Civil,Direito Processual Civil,"Competência Jurisdicional, Tutela de Urgência e Medidas Cautelares","Competência Jurisdicional, Tutela de Urgência e Medidas Cautelares",baseline,,
1566,1023418-37.2018.4.01.3400,Incidência da contribuição para o Salário‑Educação sobre remuneração de trabalhador avulso não incluído na base de cálculo legal prevista no art. 12 da Lei 8.212/1991 combinado com,Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
1586,1009181-08.2021.4.01.0000,"Possibilidade de substituição de seguro garantia por crédito judicial ou precatório pertencente à devedora para garantia de execução fiscal, diante do artigo 9º, II, §3º, da Lei 6.",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1599,1010832-17.2022.4.01.9999,Execução fiscal e prescrição intercorrente decorrente da aplicação automática do art. 40 da Lei 6.830/1980 diante da ausência de localização do devedor e de bens penhoráveis,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1601,1002262-20.2019.4.01.3800,Impugnação da exclusão do PIS e da Cofins das próprias bases de cálculo diante de precedentes vinculantes do STF e do STJ sobre cálculo por dentro,Direito Tributário,Direito Tributário,"Processo Tributário, Tributação Federal","Processual Tributário, Tributação Federal",baseline,,
1602,1040608-57.2020.4.01.0000,Efeito do parágrafo único do art. 516 do CPC sobre relativização da competência e escolha do foro pelo exequente em execuções individuais,Processual Civil,Direito Processual Civil,"Competência, Execução","Competência, Execução",baseline,,
1618,0054293-27.2015.4.01.0000,Legitimidade passiva de corresponsável indicado na CDA e vedação da exceção de pré‑executividade após decisão preclusa não impugnada,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1620,0001674-28.2008.4.01.3311,"Inclusão de corresponsável e redirecionamento da execução fiscal por dissolução irregular da pessoa jurídica, e discussão sobre incidência de IRPJ e CSLL sobre juros Selic na repet",Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
1623,1035270-05.2020.4.01.0000,Competência da vara cível para processar e julgar ação de busca e apreensão convertida em execução de título extrajudicial sobre alienação fiduciária,Civil,Direito Civil,"Direito Processual Civil, Responsabilidade Civil","Direito Processual Civil, Responsabilidade Civil",baseline,,
1641,1015686-39.2017.4.01.3400,"Nulidade da sentença em ação de concessão de aposentadoria rural por idade em face da ausência de intervenção do Ministério Público em causa que envolve incapaz, determinando retor",Direito Civil,Direito Civil,"Direito Previdenciario, Processo Civil","Direito Previdenciário, Processo Civil",baseline,,
1676,1001120-27.2022.4.01.0000,"Processo penal: validade da audiência virtual e ausência de nulidade quando defesa não fornece endereços eletrônicos de testemunhas, caracterizando desistência tácita",Processual Penal,Direito Processual Penal,"Direito Processual Civil, Processo Civil","Direito Processual Civil, Processo Civil",baseline,,
1703,1015927-91.2018.4.01.0000,Impossibilidade de ajuizamento de ação rescisória contra acórdão de turma recursal dos Juizados Especiais por vedação legal expressa prevista na legislação aplicável,Processual Civil,Direito Processual Civil,"Ação Rescisória, Processo nos Juizados Especiais","Ação Rescisória, Processo nos Juizados Especiais",baseline,,
1704,1011626-62.2022.4.01.0000,"Ações idênticas quanto a pedido e causa de pedir com partes distintas não autorizam redistribuição por prevenção ou conexão, cabendo apenas reunião pelo juízo para julgamento conju",Processual Civil,Direito Processual Civil,"Processo de Conhecimento, Tutela Jurisdicional","Processo de Conhecimento, Tutela Jurisdicional",baseline,,
1716,0009578-21.2012.4.01.4100,"Ilegitimidade passiva da Caixa Econômica Federal em execução fiscal de IPTU quando detém apenas direito real de garantia hipotecária, não a propriedade do imóvel",Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
1718,1025517-87.2021.4.01.0000,Cobrança de anuidades da OAB e controvérsia sobre declinação de competência e conversão de ação ordinária em execução fiscal pelo juízo,Processual Civil,Direito Processual Civil,"Execução fiscal, Processo de Conhecimento","Execução fiscal, Processo de Conhecimento",baseline,,
1719,0039313-64.2018.4.01.3300,Prescrição intercorrente no processo penal executivo: interrupção retroativa pela petição do exequente que enseja providência útil e pela penhora realizada,Processual Penal,Direito Processual Penal,"Execução Penal, Processo Penal","Execução Penal, Processo Penal",baseline,,
1754,0004489-92.2017.4.01.3307,Nulidade de arrematação em execução fiscal por vício intrínseco insanável decorrente de formalização de assinaturas e parcelamento posterior,Processual Civil,Direito Processual Civil,"Processo de Execução, Tutela Jurisdicional","Processo de Execução, Tutela Jurisdicional",baseline,,
1773,1089875-55.2021.4.01.3300,Legitimidade passiva da União para repetição de indébito de IRPF e responsabilidade da Petros como mera arrecadadora pela retenção,Direito Tributário,Direito Tributário,"Processo Tributário, Tributação Federal","Processual Tributário, Tributação Federal",baseline,,
1774,1010486-80.2019.4.01.3400,"Fixação de honorários advocatícios em ações com a Fazenda Pública, discutindo obrigatoriedade de aplicação dos percentuais dos §§2º e 3º do art. 85 do CPC/2015 quando os valores sã",Processual Civil,Direito Processual Civil,"Honorários Advocatícios, Tutela Jurisdicional","Honorários Advocatícios, Tutela Jurisdicional",baseline,,
1777,0038061-37.2015.4.01.0000,Execução fiscal de crédito tributário discutindo não ocorrência de prescrição quinquenal intercorrente quando a ação foi proposta dentro do prazo e a demora na citação decorre de f,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1796,1018823-10.2018.4.01.0000,Competência entre Juízo Federal e Juizado Especial Federal para ações de indenização por danos morais quanto à fixação e retificação do valor da causa evitando pré-julgamento,Processual Civil,Direito Processual Civil,"Processo de Conhecimento, Tutela Jurisdicional","Processo de Conhecimento, Tutela Jurisdicional",baseline,,
1797,1020650-17.2022.4.01.0000,Competência para execução individual de título judicial proveniente de ação coletiva e controvérsia sobre prevalência da prevenção do juízo prolator sobre regra de competência pelo,Processual Civil,Direito Processual Civil,"Processo Civil, Processo Coletivo","Processo Civil, Processo Coletivo",baseline,,
1808,1027555-43.2019.4.01.0000,"Consolidação de débitos em parcelamento tributário (Refis/Lei 11.941/2009) e limitação do bloqueio de ativos financeiros de hospital vinculado ao SUS, com aplicação do art. 3º, §2º",Direito Tributário,Direito Tributário,"Direito Administrativo, Processo Tributário","Direito Administrativo, Processual Tributário",baseline,,
1815,0013686-56.2017.4.01.3700,"Distinção entre embargos à execução e exceção de pré-executividade quanto aos requisitos, efeitos processuais e inaplicabilidade da fungibilidade entre as medidas diante de erro gr",Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
1816,1002931-58.2019.4.01.3902,"Direito à compensação de tributos indevidos após prescrição quinquenal sem gerar ato patrimonial pretérito, com modulação de efeitos segundo RE 574.706 e Súmula 271",Direito Tributário,Direito Tributário,"Direito Tributário Federal, Processo Tributário","Direito Tributário Federal, Processual Tributário",baseline,,
1846,1008162-67.2021.4.01.3200,Ajuizamento de execução fiscal pela Fazenda sem comprovação de prejuízo não configura litigância de má‑fé e afasta aplicação da multa do art. 80 do CPC/2015,Processual Civil,Direito Processual Civil,"Execução fiscal, Processo Civil","Execução fiscal, Processo Civil",baseline,,
1847,0005515-57.2009.4.01.3000,Incidência do art. 730 do CPC/1973 em embargos à execução contra sociedade de economia mista e prazo quinquenal para redirecionamento da execução fiscal,Processual Civil,Direito Processual Civil,"Execução fiscal, Processo de Execução","Execução fiscal, Processo de Execução",baseline,,
1859,1038911-64.2021.4.01.0000,Competência da Justiça Federal para ação civil pública por improbidade quando há interesse jurídico formalmente reconhecido de ente federal relativo a verbas repassadas ao Municípi,Processual Civil,Direito Processual Civil,"Direito Processual Civil, Processo Civil","Direito Processual Civil, Processo Civil",baseline,,
1863,1024560-52.2022.4.01.0000,Possibilidade de decretação de prisão preventiva pelo juiz de ofício após a Lei 13.964/2019 e limites à atuação judicial sem pedido do Ministério Público,Processual Penal,Direito Processual Penal,"Garantias Constitucionais, Processo Penal","Garantias Constitucionais, Processo Penal",baseline,,
1915,1033818-23.2021.4.01.0000,Competência dos Tribunais Regionais Federais para processar e julgar revisão criminal de sentença penal estrangeira ante ausência de previsão constitucional,Direito Processual Penal,Direito Processual Penal,Processo Penal,"Processo Penal, Direito Processual Penal",fallback,problematic_structure,openai_disabled
1925,0001604-40.2005.4.01.3303,Execução fiscal: reconhecimento da procedência pela Fazenda Nacional e afastamento da sucumbência e condenação em honorários advocatícios,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1926,1014668-50.2021.4.01.3300,Execução fiscal contra Conselho Regional de Psicologia baseada em Certidão de Dívida Ativa regularmente inscrita e debate sobre necessidade de notificação administrativa prévia,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1927,0044804-50.2017.4.01.3700,Embargos à execução fiscal por pessoa física e exigência de garantia quando hipossuficiência não comprovada apesar de assistência da Defensoria Pública,Processual Civil,Direito Processual Civil,"Execução e Cumprimento de Sentença, Execução fiscal","Execução e Cumprimento de Sentença, Execução fiscal",baseline,,
1928,0037106-93.2012.4.01.3400,"Possibilidade de quitação de débitos inscritos em dívida ativa por compensação com prejuízo fiscal e base de cálculo negativa da CSLL, nos termos da Lei 11.941/2009",Direito Tributário,Direito Tributário,"Direito Tributário Substantivo, Processo Tributário","Direito Tributário Substantivo, Processual Tributário",baseline,,
1957,1023730-86.2022.4.01.0000,Competência do Juizado Especial Federal para processar e julgar execução de título extrajudicial de valor inferior a sessenta salários mínimos proposta por empresa pública na ausên,Processual Civil,Direito Processual Civil,"Competência Jurisdicional, Processo de Execução","Competência Jurisdicional, Processo de Execução",baseline,,
1958,1001420-91.2019.4.01.0000,"Competência para execução fiscal ajuizada antes da Lei 13.043/2014 definida pelo domicílio fiscal do executado, mantendo-se na Justiça Estadual em conflito entre juízos",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1970,0005973-18.2008.4.01.4000,"Adesão a programa de parcelamento como confissão irrevogável do crédito tributário e prejuízo às alegações sobre certeza, liquidez e decadência de parcelas exequendas",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
1988,0016364-53.2003.4.01.3500,Condenação da Fazenda Pública em honorários advocatícios pela extinção da execução fiscal após contratação de advogado pelo executado,Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
1992,1020218-32.2021.4.01.0000,Possibilidade de processamento dos embargos de terceiro apesar do parágrafo único do art. 130 do CPP e controvérsia sobre sobrestamento até o trânsito em julgado,Processual Penal,Direito Processual Penal,"Direito Processual Penal, Processo Penal","Direito Processual Penal, Processo Penal",baseline,,
2013,1013966-76.2022.4.01.0000,Conexão entre execução fiscal e ação anulatória para reunião de processos quando execução foi ajuizada antes da anulatória visando evitar decisões conflitantes sobre cobrança tribu,Direito Processual,Direito Processual,"Processo Tributário, Processual Civil","Processual Tributário, Processual Civil",baseline,,
2014,1032943-19.2022.4.01.0000,Necessidade de novo prazo para resposta à acusação quando houve defesa preliminar em procedimento disciplinar de autoridade com prerrogativa de foro,Processual Penal,Direito Processual Penal,"Direito Administrativo Disciplinar, Processo Penal","Direito Administrativo Disciplinar, Processo Penal",baseline,,
2026,1037438-09.2022.4.01.0000,Competência do juízo de origem para cumprimento de sentença em embargos à execução decorrentes de desapropriação por interesse social,Processual Civil,Direito Processual Civil,"Cumprimento de Sentença, Execução Contra a Fazenda Pública","Cumprimento de Sentença, Execução Contra a Fazenda Pública",baseline,,
2044,1084719-77.2021.4.01.3400,"Incidência do PIS/Cofins sobre receitas financeiras, incluindo juros de depósitos judiciais e repercussão na base de cálculo",Direito Tributário,Direito Tributário,"Processo Tributário, Tributação Federal","Processual Tributário, Tributação Federal",baseline,,
2047,0020540-44.2013.4.01.3300,"Inexigibilidade do PIS/Cofins-Importação quando a base de cálculo inclui ICMS e as próprias contribuições, em face da declaração de inconstitucionalidade do art. 7º, I, da Lei 10.8",Direito Tributário,Direito Tributário,"Processo Tributário, Tributação Federal","Processual Tributário, Tributação Federal",baseline,,
2062,1013490-82.2020.4.01.3500,Efeito da suspensão nacional do STJ sobre pedidos de tutela provisória: necessidade de comprovação da probabilidade do direito e do perigo da demora à luz do art. 300 do CPC/2015,Processual Civil,Direito Processual Civil,"Tutela Provisória, Tutela de Urgência e Medidas Cautelares","Tutela Provisória, Tutela de Urgência e Medidas Cautelares",baseline,,
2064,0002884-69.2012.4.01.3701,Emenda ou decote da Certidão de Dívida Ativa quando a revisão se limita a correções e cálculos aritméticos sem substituir o título executivo,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
2068,1058467-80.2020.4.01.3300,Ilegitimidade ativa da União para cobrar Imposto de Renda de remuneração estadual e competência do Estado para execução fiscal correspondente,Direito Tributário,Direito Tributário,"Processo Tributário, Tributário Material","Processual Tributário, Tributário Material",baseline,,
2072,1014251-30.2017.4.01.3400,Possibilidade de inclusão de débitos judicializados no Programa Especial de Regularização Tributária com aplicação integral de descontos legais e efeitos do depósito integral na ex,Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
2097,1035609-03.2021.4.01.9999,Suspensão e arquivamento provisório de execução fiscal perante a Lei 6.830/1980 em lugar de extinção por abandono sem intimação pessoal,Processual Civil,Direito Processual Civil,"Processo de Conhecimento, Processo de Execução Fiscal","Processo de Conhecimento, Processo de Execução Fiscal",baseline,,
2127,0005705-53.2015.4.01.3600,Ajuizamento de ação anulatória contra decisão administrativa denegatória de restituição tributária e incidência do prazo prescricional bienal,Direito Tributário,Direito Tributário,"Direito Tributário Substantivo, Processo Tributário","Direito Tributário Substantivo, Processual Tributário",baseline,,
2128,1001853-51.2017.4.01.3400,Aplicabilidade da denúncia espontânea e sua incapacidade de afastar multa decorrente de obrigação acessória autônoma no processo tributário,Direito Tributário,Direito Tributário,"Processo Tributário, Tributação direta","Processual Tributário, Tributação direta",baseline,,
2157,1002708-74.2019.4.01.0000,Natureza jurídica do encargo de 20% previsto no Decreto‑lei 1.025/1969 e controvérsia sobre sua qualificação como honorários advocatícios de sucumbência nos termos do art. 85 §19 d,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
2158,1037990-76.2019.4.01.0000,Execução fiscal: legalidade da penhora via BacenJud versus risco de responsabilização por abuso de autoridade e controle de excesso,Processual Civil,Direito Processual Civil,"Execução Civil, Processo de Execução Fiscal","Execução Civil, Processo de Execução Fiscal",baseline,,
2173,1009664-77.2022.4.01.3500,Resolução da arrematação por inadimplemento e convocação do segundo colocado no leilão judicial para garantir satisfação do crédito e execução do débito remanescente,Processual Civil,Direito Processual Civil,"Cumprimento de Sentença, Execução Civil","Cumprimento de Sentença, Execução Civil",baseline,,
2222,1009822-49.2020.4.01.4100,"Preclusão consumativa e impossibilidade de juntada tardia de documentos essenciais em embargos de terceiro, exigindo apresentação probatória na petição inicial",Processual Civil,Direito Processual Civil,"Processo Civil, Tutela Jurisdicional","Processo Civil, Tutela Jurisdicional",baseline,,
2239,1034878-94.2022.4.01.0000,"Possibilidade de flexibilização do prazo máximo de suspensão processual de um ano em ação de desapropriação indireta quando há ação prejudicial, com fundamentação judicial e anális",Processual Civil,Direito Processual Civil,"Execução Civil, Processo de Conhecimento","Execução Civil, Processo de Conhecimento",baseline,,
2261,1026138-31.2019.4.01.3500,"Incidência de IR, CSLL, PIS e Cofins sobre indenização por rescisão imotivada de contrato de representação comercial e sua caracterização tributária",Direito Tributário,Direito Tributário,"Processo Tributário, Tributário Substantivo","Processual Tributário, Tributário Substantivo",baseline,,
2279,1038795-24.2022.4.01.0000,"Necessidade de ordem judicial expressa para indicação, avaliação e expedição de mandado de penhora no cumprimento de sentença",Processual Civil,Direito Processual Civil,"Cumprimento de Sentença, Execução","Cumprimento de Sentença, Execução",baseline,,
2316,0002570-92.2012.4.01.3000,Impossibilidade de redirecionamento da execução fiscal ao espólio quando o devedor falece antes da citação e constituição do crédito tributário,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
2328,1019132-89.2022.4.01.0000,Correção preliminar do valor da causa e impossibilidade de alteração de ofício após sentença que determina competência jurisdicional dos Juizados Especiais Federais,Processual Civil,Direito Processual Civil,"Competência Jurisdicional, Processo de Conhecimento","Competência Jurisdicional, Processo de Conhecimento",baseline,,
2329,0002186-35.2017.4.01.0000,Competência da Turma Recursal dos Juizados Especiais Federais para processar e julgar pedido de rescisão e definição sobre inadmissibilidade da ação rescisória,Processual,Direito Processual,"Processo Civil, Processo nos Juizados Especiais","Processo Civil, Processo nos Juizados Especiais",baseline,,
2335,1030024-23.2023.4.01.0000,Habeas corpus sobre homologação de prisão em flagrante convertida em preventiva por novo título que justifica segregação cautelar em crimes de uso de documento falso e estelionato ,Processual Penal,Direito Processual Penal,"Direito Penal, Processo Penal","Direito Penal, Processo Penal",baseline,,
2358,0039868-68.2010.4.01.0000,Aplicabilidade do prazo em dobro da Lei 1.060/1950 a advogados de entidades privadas de assistência judiciária e controvérsia sobre seu alcance temporal e subjetivo,Processual Civil,Direito Processual Civil,"Direito Processual Civil, Processo Civil","Direito Processual Civil, Processo Civil",baseline,,
2362,0034343-89.2016.4.01.3300,Extinção de execução fiscal por exceção de pré-executividade e condenação da Fazenda Pública ao pagamento de honorários advocatícios nos termos do Tema 421 do STJ,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
2371,1015582-47.2017.4.01.3400,Perda de objeto processual por alteração legislativa que extingue a medida provisória e afasta aplicação do princípio da causalidade na condenação em honorários sucumbenciais,Processual Civil,Direito Processual Civil,"Honorários Advocatícios, Processo de Conhecimento","Honorários Advocatícios, Processo de Conhecimento",baseline,,
2382,0077215-13.2016.4.01.3400,Efeitos da desistência processual: extinção sem resolução do mérito e imposição das verbas sucumbenciais à parte desistente,Processual Civil,Direito Processual Civil,"Execução, Processo de Conhecimento","Execução, Processo de Conhecimento",baseline,,
2391,1028170-91.2023.4.01.0000,Competência para atos e medidas urgentes em execuções fiscais ajuizadas antes da Lei 13.043/2014 e vedação de redistribuição em virtude do art. 75 da Lei 13.043/2014,Direito Processual Civil,Direito Processual Civil,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
2443,1036578-42.2021.4.01.0000,Competência jurisdicional para ações que exigem perícia técnica complexa e laudo das condições ambientais para reconhecimento de tempo de serviço especial,Processual Civil,Direito Processual Civil,"Competência, Juizados Especiais Federais","Competência, Juizados Especiais Federais",baseline,,
2456,1009059-24.2023.4.01.0000,Penhora de ativos financeiros anterior ao parcelamento tributário e manutenção da constrição salvo substituição por garantia idônea mediante prova irrefutável da menor onerosidade ,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
2465,0017327-55.2012.4.01.3400,Responsabilidade pelo pagamento de honorários advocatícios quando o cancelamento administrativo da Certidão de Dívida Ativa ocorre por iniciativa da Fazenda após apresentação de de,Direito Processual,Direito Processual,"Processo Tributário, Processual Civil","Processual Tributário, Processual Civil",baseline,,
2471,1015153-22.2022.4.01.0000,Competência do Juizado Especial Federal para autorizar perícia grafotécnica simples em ação cujo valor não excede sessenta salários mínimos,Processual Civil,Direito Processual Civil,"Juizados Especiais Federais, Processo de Conhecimento","Juizados Especiais Federais, Processo de Conhecimento",baseline,,
2483,0014162-47.2014.4.01.3200,"Incidência da Contribuição Previdenciária sobre a Receita Bruta (CPRB) em vendas de mercadorias e prestação de serviços destinadas à Zona Franca de Manaus, discutindo equiparação a",Direito Tributário,Direito Tributário,"Processo Tributário, Tributação Federal","Processual Tributário, Tributação Federal",baseline,,
2495,1019164-94.2022.4.01.0000,Recurso cabível contra decisão que determina emenda ou complementação da petição inicial e controvérsia sobre urgência e inutilidade da apelação nos termos do art. 1.015 do CPC/201,Processual Civil,Direito Processual Civil,"Processo de Conhecimento, Recursos","Processo de Conhecimento, Recursos",baseline,,
2498,0016048-35.2006.4.01.3500,"Reconhecimento, pela exequente, da prescrição intercorrente em execução fiscal e impacto sobre a condenação em honorários advocatícios",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
2502,1032155-68.2023.4.01.0000,Foro competente para execução individual de sentença coletiva: prevalência do juízo prolator e opção alternativa pelo domicílio do exequente,Processual Civil,Direito Processual Civil,"Direito do Consumidor, Processo Civil Material","Direito do Consumidor, Processo Civil Material",baseline,,
2504,1028815-19.2023.4.01.0000,Irretroatividade da Lei 13.043/2014 e impedimento de declínio ex officio da competência federal em execução sempre tramitada na vara federal,Processual Civil,Direito Processual Civil,"Execução fiscal, Processo de Conhecimento","Execução fiscal, Processo de Conhecimento",baseline,,
2527,1001828-67.2019.4.01.3303,Responsabilidade tributária do contribuinte frente a débito de imposto de renda quando comprovada retenção na fonte pelo pagador,Direito Tributário,Direito Tributário,"Processo Tributário, Tributação Federal","Processual Tributário, Tributação Federal",baseline,,
2528,0007235-87.2018.4.01.3600,"Nulidade da Certidão de Dívida Ativa por cobrança de anuidades definida por conselho profissional sem previsão legal, discutindo delegação administrativa e invalidade do título exe",Direito Tributário,Direito Tributário,"Direito Constitucional Tributário, Processo Tributário","Direito Constitucional Tributário, Processual Tributário",baseline,,
2551,1003463-11.2018.4.01.3500,Validade da intimação eletrônica pelo sistema PJe para contagem de prazo recursal e eficácia diante da ausência de publicação no Diário Oficial,Processual Civil,Direito Processual Civil,"Processo Civil, Processo Eletrônico","Processo Civil, Processo Eletrônico",baseline,,
2570,1001338-34.2017.4.01.3200,Validade da revogação antecipada de alíquota zero instituída por prazo determinado na Lei 11.196/2005 e proteções legais aplicáveis,Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
2608,1028179-53.2023.4.01.0000,Competência estadual para execuções fiscais ajuizadas antes da Lei 13.043/2014 e controvérsia sobre redistribuição à Justiça Federal após revogação parcial do art. 15 da Lei 5.010/,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
2609,1008104-61.2021.4.01.0000,"Ilegitimidade passiva ad causam em mandado de segurança e vedação de substituição de ofício do polo passivo pelo juiz, com extinção da ação",Processual Civil,Direito Processual Civil,"Mandado de Segurança, Processo Constitucional","Mandado de Segurança, Processo Constitucional",baseline,,
2623,0005332-52.2006.4.01.3304,Validade de lançamento de ofício por depósitos e extratos bancários após LC 105/2001 e autorização legal de quebra de sigilo para fins fiscais,Direito Tributário,Direito Tributário,"Direito Financeiro, Processo Tributário","Direito Financeiro, Processual Tributário",baseline,,
2667,1008398-16.2021.4.01.0000,Validade da citação realizada por oficial de justiça e presunção de veracidade da certidão diante da necessidade de prova robusta para sua elisão e efeitos processuais,Processual Penal,Direito Processual Penal,"Direito Processual Penal, Processo Penal","Direito Processual Penal, Processo Penal",baseline,,
2674,1023249-89.2023.4.01.0000,Admissibilidade de assistente técnico contábil nomeado pela contadoria judicial para verificação de cálculos e subsídio probatório ao convencimento do magistrado,Processual Civil,Direito Processual Civil,"Cumprimento de Sentença, Execução Civil","Cumprimento de Sentença, Execução Civil",baseline,,
2703,1034279-58.2022.4.01.0000,Validade e irretroatividade da arrematação judicial de imóvel em execução fiscal e controvérsia sobre efeitos do inadimplemento de parcelas da transação posterior,Processual Civil,Direito Processual Civil,"Cumprimento de Sentença, Execução Civil","Cumprimento de Sentença, Execução Civil",baseline,,
