Tema,Julgado em,Tese Firmada,Processo,Questão submetida a julgamento,Anotações NUGEPNAC 1,Informações Complementares,Repercussão Geral,Órgão Julgador,Situação do Tema,Ramo do direito,Subramos,Relator Atual,Tribunal de Origem,Trânsito em Julgado,Ref_Sum,Súmula Originada do Tema,Súmula Originária do PUIL,Data de Afetação,Delimitação do Julgado,Estado de Deduplicação,Número de Registro,RRC,Entendimento Anterior,Observação de Afetação,Audiência Pública,Data de Admissão,Data de teração da Tese Firmada,Data de Desafetação,Embargo de Divergência,Embargos de Declaração,Observação de Admissão,Observação de Desafetação,Observação de Recusa,Relator que Afetou o Processo,Referência,Processo STF,Vista MPF
128,03/06/2009,Os honorários advocatícios não são devidos à Defensoria Pública quando ela atua contra a pessoa jurídica de direito público à qual pertença.,REsp 1108013/RJ,"Discute-se a possibilidade de condenar a municipalidade em honorários advocatícios quando a parte, representada por defensor público, restar vencedora na demanda. O julgado recorrido afastou a condenação por reconhecer a existência de confusão entre credor e devedor.","RRC de Origem (art. 543-C, §1º, do CPC/73). Ver TEMA 433. Interpretação extensiva da Súmula 421/STJ. Vide Controvérsia 56/STJ - Aplicação, revisão ou distinção dos Temas nº 128, 129 e 433/STJ.",,Tema 134/STF - Direito a honorários advocatícios quando a Defensoria Pública Estadual representa vencedor em demanda ajuizada contra o Estado ao qual é vinculada.,Corte Especial,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Honorários Advocatícios, DIREITO PROCESSUAL CIVIL E DO TRABALHO",ELIANA CALMON,TJRJ,,,,,,,Único,200802779506,Sim,,,,,,,,,,,,ELIANA CALMON,,,
129,03/06/2009,Reconhecese à Defensoria Pública o direito ao recebimento dos honorários advocatícios se a atuação se dá em face de ente federativo diverso do qual é parte integrante.,REsp 1108013/RJ,"Discute-se a possibilidade de condenar a municipalidade em honorários advocatícios quando a parte, representada por defensor público, restar vencedora na demanda. O julgado recorrido afastou a condenação por reconhecer a existência de confusão entre credor e devedor.","RRC de Origem (art. 543-C, §1º, do CPC/73).
1. São devidos honorários advocatícios à Defensoria Pública quando sua atuação se dá em face de ente federativo diverso do qual é parte integrante.
2. Hipótese: Defensoria Pública do Estado do Rio de Janeiro litigando contra o Município de São João de Meriti.
Vide Controvérsia 56/STJ - Aplicação, revisão ou distinção dos Temas nº 128, 129 e 433/STJ.",,Tema 1064/STF - Condenação de ente público ao pagamento de honorários advocatícios sucumbenciais em favor de defensoria pública vinculada a ente diverso.,Corte Especial,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Honorários Advocatícios, DIREITO PROCESSUAL CIVIL E DO TRABALHO",ELIANA CALMON,TJRJ,,,,,,,Único,200802779506,Sim,,,,,,,,,,,,ELIANA CALMON,,,
130,,"O Supremo Tribunal Federal deferiu medida cautelar na ADI nº 2.1893 para suspender as normas contidas na Lei Estadual nº 12.398/98, que dispõe sobre as contribuições dos inativos e pensionistas para o fundo de previdência dos servidores públicos do Estado do Paraná, sem, no entanto, atribuirlhe efeito retroativo. A cautela assim deferida não impede o prosseguimento dos processos visando justamente afastar a aplicação da lei ou do ato normativo suspenso em decisão provida de eficácia erga omnes, tampouco o ajuizamento de novas ações que tenham por fundamento a restituição dos valores cobrados em virtude da norma excluída do mundo jurídico, ainda que em caráter precário.",REsp 1111099/PR,Possibilidade de prosseguimento de ações ajuizadas para repetição de valores referentes ao pagamento de contribuição previdenciária estadual a pensionistas e servidores inativos diante da determinação do STF de suspensão cautelar da norma estadual que estabelece seu pagamento.,"Processos destacados de ofício pelo relator.
O deferimento de medida cautelar em ação direta de inconstitucionalidade não suspende o julgamento de processos que envolvam a aplicação da lei ou do ato normativo.",PARANAPREVIDÊNCIA.,,1ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"DIREITO PROCESSUAL CIVIL E DO TRABALHO, Tutela Provisória",HAMILTON CARVALHIDO,TJPR,09/11/2010,,,,,,Único,200900157369,Sim,,,,,,,,,,,,FRANCISCO FALCÃO,,,
131,,"O termo inicial para a oposição dos Embargos à Execução Fiscal é a data da efetiva intimação da penhora, e não a da juntada aos autos do mandado cumprido.",REsp 1112416/MG,"Questão referente ao termo inicial do prazo para oferecimento dos embargos à execução fiscal, quando a garantia consiste na penhora de bens ou de direitos.",Processos destacados de ofício pelo relator.,,,1ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Intimação, DIREITO PROCESSUAL CIVIL E DO TRABALHO, Penhora / Depósito/ Avaliação",HERMAN BENJAMIN,TRF1,,,,,,,Único,200900456132,Sim,,,,,,,,,,,,HERMAN BENJAMIN,,,
132,,É legítima a incidência de ISS sobre os serviços bancários congêneres da lista anexa ao DL nº 406/1968 e à LC nº 56/1987.,REsp 1111234/PR,"Questão referente à possibilidade de utilização de interpretação extensiva dos serviços bancários constantes da Lista Anexa à LC nº 116/2003 e, para os fatos jurídicos que lhe são pretéritos, da Lista Anexa ao Decreto-Lei nº 406/68.","RRC de Origem (art. 543-C, §1º, do CPC/73).
É taxativa a Lista de Serviços anexa ao Decreto-Lei nº 406/68, para efeito de incidência de ISS, admitindo-se, aos já existentes apresentados com outra nomenclatura, o emprego da interpretação extensiva para serviços congêneres.",,Tema 296/STF - Caráter taxativo da lista de serviços sujeitos ao ISS a que se refere o art. 156,1ª Seção,Trânsito em Julgado,DIREITO TRIBUTÁRIO,"DIREITO TRIBUTÁRIO, ISS/ Imposto sobre Serviços",ELIANA CALMON,TJPR,,,424,,,,Único,200900158189,Sim,,,,,,,,,,,,ELIANA CALMON,,,
133,04/11/2009,"A autenticação de cópias do Agravo de Instrumento do art. 522, do CPC, resulta como diligência não prevista em lei, em face do acesso imediato aos autos principais, propiciado na instância local. A referida providência somente se impõe diante da impugnação específica da parte adversa.",REsp 1111001/SP,Questão referente à ausência de declaração de autenticidade das cópias pelo advogado.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
A autenticação de cópias dos documentos que instruem o agravo de instrumento de que trata o art. 522 do CPCC somente é exigível se houver impugnação específica da parte adversa.",,,Corte Especial,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,LUIZ FUX,TRF3,,,,,,,Único,200900162049,Sim,,Afetação para a Primeira Seção (tornada sem efeito por meio da decisão de 12/06/2009 que afetou o processo à Corte Especial). (20/04/2009). Afetação para a Corte Especial (12/06/2009),,,,,,,,,,LUIZ FUX,,,
134,10/06/2009,"Em execução fiscal, a prescrição ocorrida antes da propositura da ação pode ser decretada de ofício (art. 219, §5º, do CPC).",REsp 1100156/RJ,"Questão referente às providências indicadas no §4º do art. 40 da Lei nº 6.830/80 que somente se aplicam em caso de prescrição intercorrente, razão pela qual se revela possível a decretação de ofício da prescrição verificada antes do ajuizamento, com base no §5º do art. 219 do CPC.","Processos destacados de ofício pelo relator.
Em execução fiscal, a prescrição ocorrida antes da propositura da ação pode ser decretada de ofício, independentemente da prévia ouvida da Fazenda Pública.",,,1ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,TEORI BINO ZAVASCKI,TJRJ,,,409,,,,Único,200802343422,Não,,,,,,,,,,,,TEORI BINO ZAVASCKI,,,
135,09/12/2009,"É de cinco anos o prazo prescricional para o ajuizamento da execução fiscal de cobrança de multa de natureza administrativa, contado do momento em que se torna exigível o crédito, com o vencimento do prazo do seu pagamento.",REsp 1105442/RJ,Questão referente ao prazo prescricional aplicável quando o crédito fiscal for decorrente de multa administrativa.,Processos destacados de ofício pelo relator.,,,1ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,HAMILTON CARVALHIDO,TJRJ,,,,,,,Único,200802520438,Sim,,,,,,,,,,,,FRANCISCO FALCÃO,,ARE 658388 - Transitado em julgado,
136,04/11/2009,É cabível a interposição de agravo de instrumento contra decisão de magistrado de primeira instância que indefere ou concede liminar em mandado de segurança.,REsp 1101740/SP,Questiona-se se é cabível o agravo de instrumento contra decisão concessiva ou denegatória de liminar em sede de mandado de segurança.,"RRC de Origem (art. 543-C, §1º, do CPC/73).",,,Corte Especial,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"DIREITO PROCESSUAL CIVIL E DO TRABALHO, Recurso",LUIZ FUX,TJSP,,,,,,,Único,200802408913,Sim,,,,,,,,,,,,LUIZ FUX,,,
137,,"Para as ações ajuizadas a partir de 9.6. 2005, aplicase o art. 3º, da Lei Complementar nº 118/2005, contandose o prazo prescricional dos tributos sujeitos a lançamento por homologação em cinco anos a partir do pagamento antecipado de que trata o art. 150, §1º, do CTN.",REsp 1269570/MG,"Questão referente ao prazo prescricional para a repetição de Imposto de Renda incidente sobre verbas percebidas a título de ""férias-prêmio"" conta-se em 5 (cinco) anos.",Processos destacados de ofício pelo relator.,,Tema 4/STF - Termo a quo do prazo prescricional da ação de repetição de indébito relativa a tributos sujeitos a lançamento por homologação e pagos antecipadamente.,1ª Seção,Revisado,DIREITO TRIBUTÁRIO,"DIREITO TRIBUTÁRIO, Crédito Tributário, Extinção do Crédito Tributário, Prescrição, Lançamento",MAURO CAMPBELL MARQUES,TJMG,08/11/2013,,,,5/10/2011,,Único,201101256443,Não,"""Nos tributos sujeitos a lançamento por homologação, o prazo prescricional para a restituição do indébito é de cinco anos, a contar da data do pagamento, desde que este tenha sido efetuado após o início da vigência da LCP 118/2005."" (REsp 1.002.932/SP)""",,,,,,,,,,,MAURO CAMPBELL MARQUES,,,5/10/2011
137,,"Para as ações ajuizadas a partir de 9.6. 2005, aplicase o art. 3º, da Lei Complementar nº 118/2005, contandose o prazo prescricional dos tributos sujeitos a lançamento por homologação em cinco anos a partir do pagamento antecipado de que trata o art. 150, §1º, do CTN.",REsp 1002932/SP,"Questão referente ao prazo prescricional para a repetição de Imposto de Renda incidente sobre verbas percebidas a título de ""férias-prêmio"" conta-se em 5 (cinco) anos.",Processos destacados de ofício pelo relator.,,Tema 4/STF - Termo a quo do prazo prescricional da ação de repetição de indébito relativa a tributos sujeitos a lançamento por homologação e pagos antecipadamente.,1ª Seção,Revisado,DIREITO TRIBUTÁRIO,"DIREITO TRIBUTÁRIO, Crédito Tributário, Extinção do Crédito Tributário, Prescrição, Lançamento",LUIZ FUX,TRF3,,,,,8/5/2009,,Duplicado,200702600019,Não,"""Nos tributos sujeitos a lançamento por homologação, o prazo prescricional para a restituição do indébito é de cinco anos, a contar da data do pagamento, desde que este tenha sido efetuado após o início da vigência da LCP 118/2005."" (REsp 1.002.932/SP)""",,,,,,,,,,,LUIZ FUX,,,8/5/2009
138,,"Para as ações ajuizadas a partir de 9.6. 2005, aplicase o art. 3º, da Lei Complementar nº 118/2005, contandose o prazo prescricional dos tributos sujeitos a lançamento por homologação em cinco anos a partir do pagamento antecipado de que trata o art. 150, §1º, do CTN.",REsp 1269570/MG,"Questão referente ao prazo prescricional para a repetição de Imposto de Renda incidente sobre verbas percebidas a título de ""férias-prêmio"" a contar da data da retenção da verba na fonte (pagamento).",Processos destacados de ofício pelo relator.,,Tema 4/STF - Termo a quo do prazo prescricional da ação de repetição de indébito relativa a tributos sujeitos a lançamento por homologação e pagos antecipadamente.,1ª Seção,Revisado,DIREITO TRIBUTÁRIO,"DIREITO TRIBUTÁRIO, Crédito Tributário, Extinção do Crédito Tributário, Prescrição",MAURO CAMPBELL MARQUES,TJMG,08/11/2013,,,,5/10/2011,,Único,201101256443,Não,"""Em se tratando de pagamentos indevidos efetuados antes da entrada em vigor da LC nº 118/05 (09.06.2005), o prazo prescricional para o contribuinte pleitear a restituição do indébito, nos casos dos tributos sujeitos a lançamento por homologação, continua observando a cognominada tese dos cinco mais cinco, desde que, na data da vigência da novel lei complementar, sobejem, no máximo, cinco anos da contagem do lapso temporal."" (REsp 1.002.932/SP)",,,,,,,,,,,MAURO CAMPBELL MARQUES,,,5/10/2011
138,,"Para as ações ajuizadas a partir de 9.6. 2005, aplicase o art. 3º, da Lei Complementar nº 118/2005, contandose o prazo prescricional dos tributos sujeitos a lançamento por homologação em cinco anos a partir do pagamento antecipado de que trata o art. 150, §1º, do CTN.",REsp 1002932/SP,"Questão referente ao prazo prescricional para a repetição de Imposto de Renda incidente sobre verbas percebidas a título de ""férias-prêmio"" a contar da data da retenção da verba na fonte (pagamento).",Processos destacados de ofício pelo relator.,,Tema 4/STF - Termo a quo do prazo prescricional da ação de repetição de indébito relativa a tributos sujeitos a lançamento por homologação e pagos antecipadamente.,1ª Seção,Revisado,DIREITO TRIBUTÁRIO,"DIREITO TRIBUTÁRIO, Crédito Tributário, Extinção do Crédito Tributário, Prescrição",LUIZ FUX,TRF3,,,,,8/5/2009,,Duplicado,200702600019,Não,"""Em se tratando de pagamentos indevidos efetuados antes da entrada em vigor da LC nº 118/05 (09.06.2005), o prazo prescricional para o contribuinte pleitear a restituição do indébito, nos casos dos tributos sujeitos a lançamento por homologação, continua observando a cognominada tese dos cinco mais cinco, desde que, na data da vigência da novel lei complementar, sobejem, no máximo, cinco anos da contagem do lapso temporal."" (REsp 1.002.932/SP)",,,,,,,,,,,LUIZ FUX,,,8/5/2009
139,,"As verbas concedidas ao empregado por mera liberalidade do empregador, isto é, verba paga na ocasião da rescisão unilateral do contrato de trabalho sem obrigatoriedade expressa em lei, convenção ou acordo coletivo, implicam acréscimo patrimonial por não possuírem caráter indenizatório, sujeitandose, assim, à incidência do imposto de renda.",REsp 1102575/MG,"Questão referente à aplicação por analogia do enunciado da Súmula 215 do STJ para abarcar também as hipóteses de indenizações pagas por liberalidade ao empregado, já que estas não possuem natureza indenizatória.","RRC de Origem (art. 543-C, §1º, do CPC/73).
Incide imposto de renda sobre as verbas concedidas ao empregado por mera liberalidade do empregador, isto é, sem obrigatoriedade expressa em lei, convenção ou acordo coletivo, na ocasião da rescisão unilateral do contrato de trabalho.",,,1ª Seção,Trânsito em Julgado,DIREITO TRIBUTÁRIO,"DIREITO TRIBUTÁRIO, IRPF/Imposto de Renda de Pessoa Física, Crédito Tributário, Base de Cálculo",MAURO CAMPBELL MARQUES,TRF1,04/11/2009,,,,,,Único,200802661241,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
140,12/08/2009,É imprescindível para a validade da extinção do processo em que se discute complementação de correção monetária nas contas vinculadas de FGTS a juntada do termo de adesão devidamente assinado pelo titular da conta vinculada.,REsp 1107460/PE,"Questão referente à possibilidade de comprovação, por outros meios idôneos, da existência de acordo celebrado entre o FGTS, com intervenção da Caixa Econômica Federal - agente operador, e o titular de conta vinculada, para reaver expurgos inflacionários ocorridos entre dezembro de 1988 e fevereiro de 1989 (16,64%) e abril de 1990 (44,08%).","RRC de Origem (art. 543-C, §1º, do CPC/73).",,,1ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,ELIANA CALMON,TRF5,,,,,,,Único,200802661366,Sim,,,,,,,,,,,,ELIANA CALMON,,,1/6/2009
141,,O titular da conta vinculada ao FGTS tem o direito de sacar o saldo respectivo quando declarado nulo seu contrato de trabalho por ausência de prévia aprovação em concurso público.,REsp 1110848/RN,"Questão referente à movimentação de valores depositados em conta do FGTS e devolvidos ao Município pela CEF, em virtude de contrato de trabalho declarado nulo por ausência de concurso público.","RRC de Origem (art. 543-C, §1º, do CPC/73).",Liberação do saldo.,,1ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"FGTS/Fundo de Garantia por Tempo de Serviço, Liberação de Conta, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",LUIZ FUX,TRF5,04/09/2009,,466,,8/5/2009,,Único,200802744920,Sim,,,,,,,,,,,,LUIZ FUX,,,8/5/2009
142,12/05/2010,"O prazo de prescrição quinquenal para pleitear a repetição tributária, nos tributos sujeitos ao lançamento de ofício, é contado da data em que se considera extinto o crédito tributário, qual seja, a data do efetivo pagamento do tributo. A declaração de inconstitucionalidade da lei instituidora do tributo em controle concentrado, pelo STF, ou a Resolução do Senado (declaração de inconstitucionalidade em controle difuso) é despicienda para fins de contagem do prazo prescricional tanto em relação aos tributos sujeitos ao lançamento por homologação, quanto em relação aos tributos sujeitos ao lançamento de ofício.",REsp 1110578/SP,Questão referente ao termo inicial do prazo prescricional para ajuizamento de ação de repetição de tributo instituído por norma legal declarada inconstitucional pelo STF.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
O prazo de prescrição quinquenal para pleitear a repetição tributária, nos tributos sujeitos a lançamento de ofício, é contado da data em que se considera extinto o crédito tributário, qual seja, a data do efetivo pagamento, independentemente da declaração de inconstitucionalidade do tributo.",,,1ª Seção,Trânsito em Julgado,DIREITO TRIBUTÁRIO,"DIREITO TRIBUTÁRIO, Crédito Tributário, Extinção do Crédito Tributário, Prescrição, Lançamento, Repetição de indébito",LUIZ FUX,TJSP,05/11/2010,,,,,,Único,200900083134,Sim,,,,,,,,,,,,LUIZ FUX,,,2/4/2009
142,,"O prazo de prescrição quinquenal para pleitear a repetição tributária, nos tributos sujeitos ao lançamento de ofício, é contado da data em que se considera extinto o crédito tributário, qual seja, a data do efetivo pagamento do tributo. A declaração de inconstitucionalidade da lei instituidora do tributo em controle concentrado, pelo STF, ou a Resolução do Senado (declaração de inconstitucionalidade em controle difuso) é despicienda para fins de contagem do prazo prescricional tanto em relação aos tributos sujeitos ao lançamento por homologação, quanto em relação aos tributos sujeitos ao lançamento de ofício.",REsp 1144036/PE,Questão referente ao termo inicial do prazo prescricional para ajuizamento de ação de repetição de tributo instituído por norma legal declarada inconstitucional pelo STF.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
O prazo de prescrição quinquenal para pleitear a repetição tributária, nos tributos sujeitos a lançamento de ofício, é contado da data em que se considera extinto o crédito tributário, qual seja, a data do efetivo pagamento, independentemente da declaração de inconstitucionalidade do tributo.",,,1ª Seção,Trânsito em Julgado,DIREITO TRIBUTÁRIO,"DIREITO TRIBUTÁRIO, Crédito Tributário, Extinção do Crédito Tributário, Prescrição, Lançamento, Repetição de indébito",NAPOLEÃO NUNES MAIA FILHO,TJPE,,,,,,,Duplicado,200901102444,Não,,,,,,2/8/2012,,,,Afetação cancelada em razão de peculiaridades do caso concreto. (08/02/2012),,LUIZ FUX,,,
143,,"Em casos de extinção de execução fiscal em virtude de cancelamento de débito pela exequente, define a necessidade de se perquirir quem deu causa à demanda a fim de imputarlhe o ônus pelo pagamento dos honorários advocatícios.",REsp 1111002/SP,"Questão referente à contrariedade aos artigos 535, I e II, do CPC, por entender não ter sido apurada a culpa do insucesso da execução fiscal; art. 26, da Lei nº 6.830/80, que prevê a extinção da execução antes da decisão de primeira instância sem qualquer ônus para as partes; e art. 1º-D, da Lei nº 9.494/97, que considera indevidos os honorários advocatícios pela Fazenda Pública também nas execuções fiscais não embargadas. Considera inaplicável ao caso a Súmula nº 153, do STJ.","RRC de Origem (art. 543-C, §1º, do CPC/73).
Em casos de extinção de execução fiscal em virtude de cancelamento de débito pela exequente, é necessário perquirir quem deu causa à demanda a fim de imputar-lhe o ônus pelo pagamento dos honorários advocatícios, em atenção ao princípio da causalidade.",,,1ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,MAURO CAMPBELL MARQUES,TRF3,04/11/2009,,,,,,Único,200900161937,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
144,,Os descontos incondicionais nas operações mercantis não se incluem na base de cálculo do ICMS.,REsp 1111156/SP,Questão referente à incidência do ICMS sobre produtos dados em bonificação.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
O valor das mercadorias dadas a título de bonificação não integra a base de cálculo do ICMS.",,,1ª Seção,Trânsito em Julgado,DIREITO TRIBUTÁRIO,"DIREITO TRIBUTÁRIO, ICMS/ Imposto sobre Circulação de Mercadorias, Crédito Tributário, Base de Cálculo",HUMBERTO MARTINS,TJSP,10/06/2010,,457,,7/5/2009,Não se trata de incidência de IPI ou de mercadoria dada em bonificação no regime de substituição tributária. Restringese tãosomente à incidência do ICMS nas operações que envolvem mercadorias dadas em bonificação ou com descontos incondicionais.,Único,200900217734,Sim,,,,,,,,,,,,HUMBERTO MARTINS,,,7/5/2009
145,10/06/2009,"Aplicase a taxa SELIC, a partir de 1º. 1.1996, na atualização monetária do indébito tributário, não podendo ser cumulada, porém, com qualquer outro índice, seja de juros ou atualização monetária. Se os pagamentos foram efetuados após 1º. 1.1996, o termo inicial para a incidência do acréscimo será o do pagamento indevido; havendo pagamentos indevidos anteriores à data de vigência da Lei nº 9.250/95, a incidência da taxa SELIC terá como termo a quo a data de vigência do diploma legal em tela, ou seja, janeiro de 1996.",REsp 1111175/SP,Questão referente aos períodos de aplicação da Taxa Selic nos juros de mora incidentes sobre a repetição de indébito tributário.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
Nos pagamentos efetuados após 1º. 1.1996, o termo inicial para a incidência dos juros de mora será o do pagamento indevido; no entanto, havendo pagamentos indevidos anteriores à data de vigência da Lei nº 9.250/95, a incidência da taxa SELIC terá como termo a quo a data de vigência do diploma legal em tela, ou seja, janeiro de 1996.",,Tema 214/STF - a) Inclusão do ICMS em sua própria base de cálculo; b) Emprego da taxa SELIC para fins tributários; c) Natureza de multa moratória fixada em 20% do valor do tributo.,1ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DENISE ARRUDA,TRF3,02/09/2009,,,,4/5/2009,,Único,200900188256,Sim,,,,,,,,,,,,DENISE ARRUDA,,,6/5/2009
146,09/12/2009,"É de cinco anos o prazo para a cobrança da multa aplicada ante infração administrativa ao meio ambiente, nos termos do Decreto nº 20.910/32, o qual que deve ser aplicado por isonomia, à falta de regra específica para regular esse prazo prescricional.",REsp 1112577/SP,Cinge-se a controvérsia sobre o prazo prescricional para cobrança de multa por infração à legislação ambiental.,"Processos destacados de ofício pelo relator.
1. Multa decorrente do poder de polícia ambiental exercido por entidade vinculada ao Estado de São Paulo, em que não é pertinente a discussão sobre a Leis Federal 9.873/1999, com os acréscimos da Lei nº 11.941/2009. (REsp 1115078/RS, Rel. Ministro CASTRO MEIRA, PRIMEIRA SEÇÃO, julgado em 24/03/2010, DJe 06/04/2010)
2.""O prazo prescricional para a cobrança de multa administrativa continua sendo de cinco anos, até 27 de maio de 1999, por força do Decreto nº 20.910/32, e, a atualmente, de acordo com o art. 1º-A da Lei nº 9.873/1999 (com os acréscimos da Lei nº 11.941/2009)."" (REsp 1115078/RS, Rel. Ministro CASTRO MEIRA, PRIMEIRA SEÇÃO, julgado em 24/03/2010, DJe 06/04/2010)",,,1ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Infração Administrativa, Multas e demais Sanções, DIREITO AMBIENTAL, Atos Administrativos",CASTRO MEIRA,TJSP,,,,,,,Único,200900441413,Sim,,,,,,,,,,,,CASTRO MEIRA,,,
147,09/12/2009,"Em se tratando de multa administrativa, a prescrição da ação de cobrança somente tem início com o vencimento do crédito sem pagamento, quando se torna inadimplente o administrado infrator.",REsp 1112577/SP,Cinge-se a controvérsia sobre o prazo prescricional para cobrança de multa por infração à legislação ambiental.,"RRC de Origem (art. 543-C, §1º, do CPC/73). A prescrição de multa por infração à legislação do meio ambiente aplicada por entidade de fiscalização estadual é de cinco anos, contados do vencimento do crédito sem pagamento.",,,1ª Seção,Trânsito em Julgado,DIREITO ADMINISTRATIVO,"Infração Administrativa, Multas e demais Sanções, DIREITO AMBIENTAL, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Atos Administrativos",CASTRO MEIRA,TJSP,,,,,,,Único,200900441413,Sim,,,,,,,,,,,,CASTRO MEIRA,,,
148,,"O Plano de Benefícios da Previdência Social PBPS, dando cumprimento ao art. 202, caput, da Constituição Federal (redação original), definiu o valor mínimo do saláriodebenefício, nunca inferior ao salário mínimo, e seu limite máximo, nunca superior ao limite máximo do saláriodecontribuição.",REsp 1112574/MG,Questão referente à restrição do valor do benefício previdenciário de prestação continuada ao limite máximo do salário-de-benefício na data de início do benefício.,"RRC de Origem (art. 543-C, §1º, do CPC/73).",,,3ª Seção,Trânsito em Julgado,DIREITO PREVIDENCIÁRIO,"DIREITO PREVIDENCIÁRIO, RMI - Renda Mensal Inicial, Benefício mínimo a partir da CF/88 (art. 201, §2º CF/88)",FELIX FISCHER,TRF1,,,,,11/5/2009,,Único,200900409635,Sim,,,,,,,,,,,,FELIX FISCHER,,,
149,,"É cabível a fixação de multa de forma proporcional e razoável pelo descumprimento de obrigação de fazer (astreintes), nos termos do art. 461, §4º, do CPC, no caso de atraso injustificado no fornecimento em juízo dos extratos de contas vinculadas ao FGTS.",REsp 1112862/GO,"Questão referente à possibilidade de imposição de multa diária prevista no art. 461 do CPC, pelo não-cumprimento da obrigação de fazer, qual seja, correção de contas vinculadas do FGTS.","RRC de Origem (art. 543-C, §1º, do CPC/73).
É cabível a fixação de multa pelo descumprimento de obrigação de fazer (astreintes), nos termos do art. 461, §4º, do CPC, no caso de atraso ou recusa injustificados da Caixa Econômica Federal no fornecimento em juízo dos extratos de contas vinculadas ao FGTS, exceto se for materialmente impossível a apresentação desses extratos, hipótese em que pode o juiz determinar outros meios para se comprovar os valores de recolhimento do FGTS.",,,1ª Seção,Trânsito em Julgado,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Obrigação de Fazer / Não Fazer, Multa Cominatória / Astreintes, DIREITO PROCESSUAL CIVIL E DO TRABALHO, Liquidação / Cumprimento / Execução",HUMBERTO MARTINS,TRF1,06/06/2011,,,,12/5/2009,,Único,200900590176,Sim,,,,,,,,,,,,HUMBERTO MARTINS,,,12/5/2009
150,,"As verbas concedidas ao empregado, por mera liberalidade do empregador, quando da rescisão unilateral de seu contrato de trabalho Sujeitam-se à incidência do Imposto de Renda.",REsp 1112745/SP,"Discute que as verbas recebidas a título de ""compensação espontânea"" e ""gratificação não habitual"", independentemente no nome que possuem, são decorrentes de Programa de Demissão Voluntária - PDV, havendo que ser aplicado o enunciado da Súmula 215 do STJ, que reconhece a não incidência do imposto de renda nessas hipóteses.","RRC de Origem (art. 543-C, §1º, do CPC/73).
Situação em que a verba denominada ""gratificação não eventual"" foi paga por liberalidade do empregador.",,,1ª Seção,Trânsito em Julgado,DIREITO TRIBUTÁRIO,"DIREITO TRIBUTÁRIO, IRPF/Imposto de Renda de Pessoa Física, Crédito Tributário, Base de Cálculo",MAURO CAMPBELL MARQUES,TRF3,05/04/2010,,,,,,Único,200900555243,Sim,,,,,,,,,,,,MAURO CAMPBELL MARQUES,,,
