questao_TEC,tribunal,banca,ano,questao,gabarito,ramo,subramo
#1888035,TJMG,FGV,2022,"A respeito da competência no Processo Penal, considerando as disposições do Código de Processo Penal, da Constituição da República, das leis processuais penais
especiais e da jurisprudência atualizada do Superior Tribunal de Justiça, analise as afirmativas a seguir e assinale (V) para a verdadeira e (F) para a falsa.
(   ) Leônidas, policial militar lotado no Estado do Rio Grande do Sul, cometeu um crime militar no Estado de São Paulo. Desse modo, compete à Justiça Militar do
Estado de São Paulo julgá-lo.
(   ) Compete à Justiça Estadual julgar a conduta delituosa de divulgar pelo Facebook mensagens de cunho discriminatório contra o povo judeu.
(   ) Um índio que comete furto a um estabelecimento comercial deverá ser julgado pela Justiça Federal.
(   ) A competência para julgar crimes contra agência franqueada dos Correios é da Justiça Estadual.
As afirmativas são, na ordem apresentada, respectivamente,
a)  F  F  F  V.
b)  F  V  V  V.
c)  V  F  V  F.
d)  V  V  F  F.",A,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Competência
#1888041,TJMG,FGV,2022,"Direito Processual Penal - Jurisprudência dos Tribunais Superiores sobre Competência
Considerando os dispositivos legais e constitucionais que regem o processo penal e a jurisprudência atualizada dos Tribunais Superiores, as afirmativas a seguir
estão corretas, à exceção de uma. Assinale-a.
a)  Compete aos tribunais de justiça estaduais processar e julgar os delitos comuns, apenas os relacionados com o cargo, praticados por Promotores de Justiça.
b) É concorrente a legitimidade do ofendido, mediante queixa, e do Ministério Público, condicionada à representação do ofendido, para a ação penal por crime
contra a honra do servidor público em razão do exercício de suas funções.
c) Segundo o Código de Processo Penal, a lei processual penal admite interpretação extensiva e aplicação analógica, bem como o suplemento dos princípios gerais
do direito.
d)  Considere que um crime de estupro fora praticado a bordo de uma embarcação mercantil brasileira fundeada no porto Mudra, na Índia. Mesmo sendo o autor do
delito e a vítima de nacionalidade brasileira, não será aplicada a lei processual penal do Brasil por se considerar, no caso, que o delito fora cometido em solo
estrangeiro.",A,,
#3248248,TRF3,FGV,2025,"De acordo com a jurisprudência dos Tribunais Superiores, assinale a alternativa correta:
a)  A serendipidade é admitida no ordenamento jurídico brasileiro, sendo válidas as provas encontradas relativas à infração penal desconhecida, ainda que não
exista conexão ou continência com o crime originário, desde que não haja desvio de finalidade na execução das diligências.
b)  A serendipidade é admitida no ordenamento jurídico brasileiro, desde que não haja desvio de finalidade na execução das diligências, sendo inválida a prova
descoberta se não houver conexão ou continência entre o crime originário e aquele encontrado.
c)  Os elementos de informação trazidos pelo colaborador a respeito de crimes que não sejam conexos ao objeto da investigação primária não devem receber o
mesmo tratamento conferido ao encontro fortuito de provas que ocorre em interceptação telefônica e na busca e apreensão.
d)  A possibilidade de guarda municipal realizar prisão em flagrante e diligências investigativas é discussão realizada no STF e se refere à falta de treinamento
especializado e de previsão no CPP.
e)  Os procedimentos investigatórios criminais instaurados pelo Ministério Público Federal devem ser comunicados ao juiz competente e estão submetidos ao mesmo
prazo de 60 dias previsto para a conclusão de inquéritos policiais federais, havendo necessidade de autorização judicial para eventual prorrogação.",A,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Teoria Geral da Prova Penal
#2518838,TRF1,FGV,2023,"A teoria dos standards de prova foi desenvolvida visando definir quando uma hipótese fática pode ser considerada provada.
Considerando as disposições constitucionais e legais, bem como a jurisprudência dos Tribunais Superiores acerca do tema, é correto afirmar que:
a)  o Código de Processo Penal brasileiro expressamente adotou o standard para além da dúvida razoável como requisito para a condenação;
b)  a jurisprudência do Supremo Tribunal Federal e do Superior Tribunal de Justiça já utilizou expressamente a teoria dos standards de prova, mesmo sem previsão
expressa no ordenamento jurídico brasileiro;
c)  a jurisprudência do Supremo Tribunal Federal adota a Inferência para Melhor Explicação (IME) como standard para a condenação;
d)  o standard de prova para além da dúvida razoável deve ser aplicado em todas as fases do procedimento, inclusive no recebimento da denúncia e na pronúncia
no Tribunal do Júri;
e)  é pacífico na jurisprudência e na doutrina que nos crimes em que existe dificuldade probatória deve ser rebaixado o standard de prova.",B,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Teoria Geral da Prova Penal
#3358331,TJSE,FGV,2025,"A autoridade policial relatou inquérito indiciando Justiniano pela prática do crime de homicídio doloso e representou pela decretação de sua prisão preventiva. Os
autos do inquérito foram ao Ministério Público, o qual, contudo, ofereceu denúncia em face de Justiniano pelo crime de homicídio culposo e não requereu a sua prisão
preventiva, mas apenas seu comparecimento periódico a juízo para comprovar suas atividades.
Diante dessa hipótese, será lícito ao juiz:
a)  receber a denúncia oferecida pelo Ministério Público, não podendo decretar a prisão preventiva de Justiniano;
b)  rejeitar a denúncia oferecida pelo Ministério Público, podendo decretar a prisão temporária de Justiniano;
c)  receber a denúncia oferecida pelo Ministério Público, podendo decretar a prisão temporária de Justiniano;
d)  rejeitar a denúncia oferecida pelo Ministério Público, podendo decretar a prisão domiciliar de Justiniano;
e)  receber a denúncia oferecida pelo Ministério Público, não podendo decretar qualquer medida cautelar contra Justiniano.",A,direito processual penal,"Jurisprudência dos Tribunais Superiores sobre Prisão, Medidas Cautelares e Liberdade Provisória"
#3518805,TJCE,FGV,2025,"No curso de uma investigação que apura um complexo esquema de crimes que resultaram em prejuízo para a Fazenda Pública e lavagem de dinheiro
supostamente operado por Mévio, empresário individual, a autoridade policial representou pela decretação de medidas assecuratórias sobre diversos bens, incluindo um
imóvel de alto valor registrado em nome da pessoa jurídica Alfa Empreendimentos Ltda.
Embora a sociedade empresária Oivém não figure formalmente como investigada no inquérito policial, foram apresentados robustos indícios de que a pessoa jurídica foi
constituída e utilizada por Mévio especificamente para ocultar e dissimular a origem ilícita de valores provenientes de crimes antecedentes, sendo o imóvel adquirido com
tais recursos.
A defesa da sociedade Alfa Empreendimentos Ltda. opôs-se à medida, argumentando que
(i) a pessoa jurídica não é investigada;
(ii) não houve instauração de incidente de desconsideração da personalidade jurídica; e
(iii) a constrição sobre bens de pessoa jurídica estranha à investigação configuraria uma violação ao princípio da intranscendência da pena.
Sobre as medidas assecuratórias em crimes que resultam em prejuízo à Fazenda Pública e de lavagem de dinheiro, considerando a situação hipotética e a jurisprudência
consolidada do Superior Tribunal de Justiça (STJ), assinale a opção que apresenta a decisão judicial correta a ser tomada em relação ao pedido de constrição sobre o
imóvel registrado em nome da Alfa Empreendimentos Ltda.
a)  Indeferir o pedido de medida assecuratória sobre o imóvel, pois os bens de pessoa jurídica somente podem ser objeto de constrição se a própria empresa figurar
como investigada ou ré na ação penal, o que não ocorre no caso.
b)  Indeferir o pedido de medida assecuratória sobre o imóvel, pois a constrição de bens registrados em nome de pessoa jurídica exige a prévia instauração e
decisão favorável em incidente de desconsideração da personalidade jurídica, conforme o Código de Processo Civil, aplicado subsidiariamente.
c)  Deferir o pedido de medida assecuratória (sequestro/indisponibilidade) sobre o imóvel, pois, havendo indícios veementes de que a pessoa jurídica foi utilizada
como instrumento para a prática de crimes que resultam em prejuízo para a fazenda pública e ocultação de ativos ilícitos, a constrição pode recair sobre seu
patrimônio, independentemente da instauração de incidente de desconsideração da personalidade jurídica.
d)  Deferir o pedido de medida assecuratória sobre o imóvel, mas somente após o recebimento da denúncia contra Mévio, pois as medidas assecuratórias que
atingem bens de terceiros só podem ser decretadas na fase processual e não durante o inquérito policial.
e)  Deferir o pedido de medida assecuratória sobre o imóvel, condicionando, contudo, a sua manutenção à inclusão formal da pessoa jurídica Alfa Empreendimentos
Ltda. no polo passivo da investigação ou da futura ação penal no prazo de 60 (sessenta) dias.",C,direito processual penal,"Jurisprudência dos Tribunais Superiores sobre Prisão, Medidas Cautelares e Liberdade Provisória"
#2412558,TJMS,FGV,2023,"Técio teve sua medida cautelar prisional substituída por recolhimento obrigatório noturno e nos dias de folga, o que foi deferido no curso da ação penal em que foi
acusado de tráfico de drogas (Art. 33 da Lei nº 11.343/2006). A ação penal foi julgada procedente, e Técio, condenado a uma pena de sete anos de reclusão, em regime
inicial fechado.
Diante dessa hipótese, com fundamento na jurisprudência do Superior Tribunal de Justiça, é correto afirmar que o período de recolhimento obrigatório noturno e nos dias
de folga a que foi submetido Técio:
a)  não pode ser utilizado na detração da pena em razão do princípio da legalidade e ante a ausência de disposição sobre a detração em caso de cautelares pessoais
diversas da prisão;
b)  em homenagem aos princípios da proporcionalidade e do non bis in idem, pode ser utilizado na detração da pena, desde que haja monitoramento eletrônico
associado ao cumprimento da cautelar pessoal;
c)  deve ser reconhecido como período a ser detraído da pena privativa de liberdade e da medida de segurança por comprometer o status libertatis do acusado, bem
como pela expressa previsão legal;
d)  admite parcial detração da pena, ou seja, somente será possível a contagem dos períodos relativos aos dias de folga, não se computando o repouso noturno
para fins de detração, ante a ausência de grau significativo de privação da liberdade;
e)  pode ser utilizado na detração da pena, sendo que as horas de recolhimento domiciliar noturno e nos dias de folga devem ser convertidas em dias para
contagem da detração. Se no cômputo total remanescer período menor que vinte e quatro horas, essa fração de dia deverá ser desprezada.",E,direito processual penal,"Jurisprudência dos Tribunais Superiores sobre Prisão, Medidas Cautelares e Liberdade Provisória"
#126794,TJAM,FGV,2013,"O princípio da duração razoável do processo está previsto na carta magna, devendo o Juiz zelar no sentido de que a pretensão punitiva seja decidida dentro de um
prazo razoável.
Nesta linha, segundo a jurisprudência majoritária dos Tribunais Superiores, assinale a afirmativa incorreta.
a) O eventual excesso de prazo da prisão cautelar deve ser analisado de acordo com a razoabilidade, sendo permitido ao juízo, em hipóteses excepcionais, diante
das peculiariedades da causa, a extrapolação dos prazos previstos na lei processual penal, não podendo o excesso decorrer de mero cálculo aritmético.
b) O Superior Tribunal de Justiça tem entendimento firmado no sentido de que eventual excesso de prazo no julgamento do recurso de apelação deve ser aferido
em face da quantidade da pena imposta na sentença condenatória.
c) Encerrada a instrução criminal, fica superada a alegação de constrangimento ilegal por excesso de prazo da prisão cautelar.
d) Não constitui constrangimento ilegal o excesso de prazo na instrução provocado pela defesa.
e) Não é possível o reconhecimento do excesso de prazo e o constrangimento ilegal após o acusado ter sido pronunciado.",E,direito processual penal,"Jurisprudência dos Tribunais Superiores sobre Prisão, Medidas Cautelares e Liberdade Provisória"
#2412560,TJMS,FGV,2023,"Em sentença de pronúncia, o magistrado fundamenta a decisão, entre outros argumentos, com o seguinte trecho: pela dinâmica dos fatos, é possível verificar
que Aristobaldo, com ânimo homicida e por motivo fútil, matou Márcio.
Diante dessa hipótese, e com fundamento na jurisprudência do Superior Tribunal de Justiça, é correto afirmar que:
a)  a sentença é válida, uma vez que não houve excesso de linguagem ou juízo de valor sobre a conduta do réu;
b)  a sentença é inválida, uma vez que houve juízo de certeza sobre a acusação, podendo a decisão ser envelopada ou desentranhada para fins de saneamento
processual;
c)  o recurso adequado contra a sentença de pronúncia é a apelação, sendo também cabível habeas corpus contra o excesso de linguagem;
d)  a sentença é inválida, devendo ser anulada pelo Tribunal na análise da apelação contra a pronúncia, não sendo suficiente o envelopamento para fins de
saneamento processual;
e)  a sentença é inválida, bem como os atos consecutivos, em razão do juízo conclusivo sobre a conduta do réu, motivo pelo qual é necessária a prolatação de outra
sentença de pronúncia.",E,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Procedimento Comum Ordinário ou Sumário
#1865550,,FGV,2022,"FGV - JE TJAP/TJ AP/2022
Direito Processual Penal - Jurisprudência dos Tribunais Superiores sobre Procedimento Comum Ordinário ou Sumário
O Superior Tribunal de Justiça tem entendido, quanto ao ingresso forçado em domicílio, que não é suficiente apenas a ocorrência de crime permanente, sendo
necessárias fundadas razões de que um delito está sendo cometido, para assim justificar a entrada na residência do agente, ou, ainda, a autorização para que os policiais
entrem no domicílio.
Segundo a nova orientação jurisprudencial, a comprovação dessa autorização, com prova da voluntariedade do consentimento, constitui:
a)  interesse processual do acusado;
b)  interesse processual da acusação;
c)  faculdade da acusação;
d)  faculdade do acusado;
e)  ônus da acusação.",E,,
#1865560,TJAP,FGV,2022,"À luz do princípio da obrigatoriedade da ação penal pública, o Ministério Público tem o poder-dever de oferecer a denúncia, quando reunidos os requisitos e
condições que determinem autoria, coautoria ou participação e existência de uma infração penal. Essa obrigatoriedade persiste mesmo com o exercício da ação penal.
Assim, abre-se ao titular da ação penal pública um poder-dever de aditar a denúncia quando reunidos elementos de prova ou de informação que indiquem uma
divergência com a proposição inicial.
No que concerne ao aditamento da denúncia, é correto afirmar que:
a)  o recebimento do aditamento da denúncia, que traz modificação fática substancial, enseja a interrupção da prescrição;
b)  o recebimento do aditamento da denúncia, para inclusão de corréu, constitui causa interruptiva da prescrição para os demais imputados;
c)  o recebimento da denúncia, na sua versão original, pode ser considerado termo inicial para efeito de contagem prescricional relativamente aos imputados
incluídos posteriormente por aditamento;
d)  admite-se o aditamento da denúncia a qualquer tempo, enquanto não transitado em julgado o processo, desde que observados o contraditório e a ampla defesa;
e)  constitui requisito para o oferecimento de aditamento da denúncia a existência de novas provas, desde que até o final da instrução probatória.",A,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Procedimento Comum Ordinário ou Sumário
#1888066,TJMG,FGV,2022,"Acerca da pronúncia e do julgamento pelo Tribunal do Júri, considerando os dispositivos legais que regem a matéria e a jurisprudência atualizada dos Tribunais
Superiores, analise as afirmativas a seguir.
I. Em um julgamento pelo Tribunal do Júri, compareceram 13 (treze) jurados, realizando-se o sorteio dos 7 (sete) jurados aptos a julgar o caso. Ao final do
julgamento, o réu foi absolvido e o Ministério Público recorreu da sentença, pleiteando novo julgamento pelo fato de a decisão dos jurados estar manifestamente
contrária às provas dos autos. Nesse caso, o Tribunal pode reconhecer, de ofício, nulidade absoluta do julgamento com base no Art. 564, inciso III, alínea i, do
Código de Processo Penal, visto que não houve a presença mínima de 15 (quinze) jurados, determinando que seja realizado novo julgamento com a presença
mínima de jurados exigida por lei.
II. Segundo o Superior Tribunal de Justiça, as qualificadoras do crime de homicídio fundadas somente em depoimento indireto violam o Art. 155 do Código de
Processo Penal (o juiz formará sua convicção pela livre apreciação da prova produzida em contraditório judicial, não podendo fundamentar sua decisão
exclusivamente nos elementos informativos colhidos na investigação, ressalvadas as provas cautelares, não repetíveis e antecipadas), devendo, para a prolação da
decisão de pronúncia, existir prova produzida sob o crivo do contraditório.
III. A leitura em plenário, feita pelo Promotor de Justiça, de sentença condenatória de corréu, proferida em julgamento anterior, gera nulidade insanável de sessão
de julgamento pelo conselho de sentença.
Está correto o que se afirma em
a)  I, somente.
b)  II, somente.
c) III, somente.
d) II e III, somente.",B,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Procedimentos Especiais
#126788,TJAM,FGV,2013,"O Código de Processo Penal prevê nos Arts. 513/518 um procedimento especial para os crimes de responsabilidade praticados por funcionários públicos.
Com relação a esse procedimento é correto afirmar que
a) a primeira manifestação do acusado no processo é feita após o recebimento da denúncia ou queixa.
b) o procedimento especial será aplicável aos crimes praticados por funcionário público contra a Administração, desde que estes sejam inafiançáveis;
c) de acordo com entendimento sumulado pelo Superior Tribunal de Justiça, é desnecessária a resposta preliminar quando a ação penal for instruída por inquérito
policial.
d) se o crime praticado por funcionário público for de peculato doloso, o procedimento especial não será aplicável;
e) se não for conhecida a residência do acusado, ou este se achar fora da jurisdição do Juiz, ser-lhe-á nomeado defensor, a quem caberá acompanhar o processo,
mas não terá atribuição para apresentar resposta preliminar.",C,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Procedimentos Especiais
#3358341,,FGV,2025,"FGV - JE TJSE/TJ SE/2025
Direito Processual Penal - Jurisprudência dos Tribunais Superiores sobre Recursos em Espécie
Frederico foi condenado a uma pena de oito anos de reclusão em regime semiaberto em razão da prática do crime de roubo. O Ministério Público recorreu apenas
para modificar o regime de pena para fechado. Já a vítima do crime, Emiliano, mesmo não habilitada como assistente, interpôs recurso de apelação dez dias após
escoado o prazo do Ministério Público, visando ao aumento da pena do condenado. Por sua vez, Frederico não interpôs recurso em face da sentença que o condenou.
Diante desse cenário, o Tribunal:
a)  não poderá conhecer do recurso da vítima, pois intempestivo;
b)  poderá, conhecendo apenas do recurso do Ministério Público, aumentar a pena do condenado;
c)  poderá, conhecendo apenas do recurso da vítima, reduzir a pena de Frederico, apesar de este não ter recorrido;
d)  poderá, não conhecendo dos recursos interpostos, estabelecer o regime fechado;
e)  não poderá conhecer do recurso do Ministério Público, pois a este falta interesse recursal.",C,,
#2563682,TJES,FGV,2023,"Marcos, desafeto declarado de João, impetrou habeas corpus liberatório em favor deste, o qual não concordou com a impetração do habeas corpus em seu favor.
Os autos foram ao Ministério Público para se manifestar sobre a referida ação.
Nesse caso, segundo a jurisprudência dos Tribunais Superiores, será correto afirmar que o pedido na ação de habeas corpus:
a)  deverá ser conhecido, independentemente da autorização de João;
b)  não deverá ser conhecido sem que João o autorize;
c)  deverá ser conhecido se o Ministério Público opinar no sentido de seu conhecimento;
d)  não deverá ser conhecido, independentemente da autorização de João, se o Ministério Público opinar no sentido de seu não conhecimento;
e)  deverá ser conhecido, pois este pode ser impetrado por qualquer pessoa ou pelo Ministério Público.",B,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Recursos em Espécie
#1888071,TJMG,FGV,2022,"Considerando os dispositivos legais que regem os recursos criminais e as ações de impugnação e revisão criminais, analise as afirmativas a seguir e assinale (V)
para a verdadeira e (F) para a falsa.
(   ) Segundo entendimento do Superior Tribunal de Justiça, é cabível o ajuizamento da revisão criminal fundada no Art. 621, inciso I, do Código de Processo Penal,
para aplicação da minorante prevista no § 4º do Art. 33 da Lei nº 11.343/2006 (tráfico privilegiado) nos crimes previstos no Art. 273, § 1º-B, do Código Penal
(falsificar, corromper, adulterar ou alterar produto destinado a fins terapêuticos ou medicinais).
(  ) A decisão que impronuncia o réu é classificada como interlocutória mista e deve ser atacada por meio de recurso em sentido estrito.
(   ) Segundo entendimento do Superior Tribunal de Justiça, a mudança de entendimento jurisprudencial autoriza o ajuizamento de revisão criminal.
(   ) No rito sumaríssimo, a apelação deve ser interposta concomitantemente com as razões recursais no prazo de 10 (dez) dias.
As afirmativas são, na ordem apresentada, respectivamente,
a)  V  F  F  V.
b) F  F  V  F.
c)  F  V  F  V.
d) V  F  F  F.",A,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Recursos em Espécie
#3419820,TRF5,FGV,2025,"Luigi e Filippo, funcionários públicos, foram indiciados formalmente em inquérito policial pelos crimes de estelionato, corrupção e lavagem de dinheiro. O Ministério
Público, quando do oferecimento da denúncia, constatou que não havia bens no patrimônio de Luigi relativos ao produto ou proveito dos crimes, sendo que seus bens
foram localizados no exterior. Filippo, por sua vez, tinha patrimônio totalmente incompatível com seus ganhos lícitos, em valores superiores ao produto ou proveito dos
crimes.
Diante desse contexto, é correto afirmar que:
a)  O Ministério Público poderá requerer o sequestro alargado dos bens de Luigi.
b)  O juiz, quando da sentença condenatória, poderá decretar de ofício a perda alargada dos bens de Filippo.
c)  O Ministério Público poderá requerer o sequestro pelo equivalente dos bens de Filippo.
d)  O juiz, quando da sentença condenatória, poderá decretar de ofício a perda alargada dos bens de Luigi.
e)  O Ministério Público poderá requerer o sequestro pelo equivalente dos bens de Luigi.",E,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Assuntos Diversos ou Mesclados de Processo Penal
#2675952,TJPR,FGV,2023,"Felisberto é condenado, por sentença definitiva, a uma pena de 1 ano de reclusão, em regime inicialmente aberto, a qual é substituída por uma pena restritiva de
direitos de prestação de serviços à comunidade, pelo mesmo prazo. Decorridos 5 meses do início da execução da citada pena, sobrevém nova condenação definitiva, a
uma pena de 6 anos de reclusão, em regime inicialmente semiaberto.
Diante do caso narrado, o juiz da execução penal deverá:
a)  manter a pena restritiva de direitos, pois sua execução é compatível com o regime prisional fixado na nova condenação;
b)  converter a pena restritiva de direitos na pena de reclusão, desprezando o tempo de pena restritiva de direitos já cumprido e unificando as penas dos dois
crimes;
c)  converter a pena restritiva de direitos na pena de reclusão, deduzindo o tempo de pena restritiva de direitos já cumprido e unificando as penas dos dois crimes;
d)  converter a pena restritiva de direitos em prisão albergue domiciliar, deduzindo o tempo de pena restritiva de direitos já cumprido e deixando de unificar as
penas dos dois crimes;
e)  converter a pena restritiva de direitos na pena de reclusão, desprezando o tempo de pena restritiva de direitos já cumprido e deixando de unificar as penas dos
dois crimes.",C,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Assuntos Diversos ou Mesclados de Processo Penal
#2694950,TJGO,FGV,2023,"Homero, sócio-gerente de um pequeno restaurante, que atravessa grave crise financeira em decorrência da pandemia, pela redução expressiva de seu número de
clientes, deixa de recolher aos cofres públicos, no prazo legal, valores relativos ao Imposto sobre Circulação de Mercadorias e Serviços (ICMS), vindo a ser processado
criminalmente pelos fatos.
Diante do caso narrado e à luz da jurisprudência do STJ sobre o tema, é correto afirmar que:
a)  Homero não cometeu qualquer crime, pois os fatos constituem prática de elisão fiscal, devendo o juiz absolvê-lo;
b)  deve ser reconhecido, em favor de Homero, que praticou o fato quando não lhe era exigível conduta diversa, sendo cabível sua absolvição;
c)  Homero não cometeu qualquer crime, pois, em consideração às circunstâncias em que agiu, deve ser reconhecida a ausência de dolo em sua conduta, cabendo
ao juiz absolvê-lo;
d)  deve ser reconhecido, em favor de Homero, que praticou o fato sob estado de necessidade, com sua consequente absolvição;
e)  Homero cometeu o crime de apropriação indébita tributária, inexistindo qualquer excludente da ilicitude ou eximente da culpabilidade que possa beneficiá-lo,
devendo o juiz condená-lo.",B,direito processual penal,Jurisprudência dos Tribunais Superiores sobre Assuntos Diversos ou Mesclados de Processo Penal
#2782506,TJSC,FGV,2024,"Maria praticou crime de lesão corporal leve contra Aline, sendo o caso encaminhado de imediato ao Juizado Especial Criminal. Na audiência preliminar, que ocorreu
três meses após o fato, não houve composição civil dos danos, e a ofendida Aline não exerceu o direito de representação verbal.
Diante desse cenário, é correto afirmar que o juiz:
a)  deverá extinguir o feito sem exame do mérito em razão da decadência do direito de representação;
b)  deverá extinguir o feito sem exame do mérito em razão da caracterização do perdão tácito da ofendida;
c)  deverá extinguir o feito sem exame do mérito em razão da renúncia expressa ao direito de representação;
d)  não deverá extinguir o feito, devendo o Ministério Público oferecer acordo de não persecução penal a Maria;
e)  não deverá extinguir o feito, pois a representação poderá ser exercida dentro do prazo de seis meses da data em que Aline soube quem foi o autor do crime.",E,direito processual penal,Demais Tópicos Processuais Penais e Questões Variadas
#3177268,TJMT,FGV,2024,"Pedro Paulo cometeu crime de injúria contra Rivaldo. Na audiência preliminar no Juizado Especial Criminal, houve composição dos danos civis, sendo o acordo
homologado pelo juízo. Diante desse contexto, é correto afirmar que o acordo homologado:
a)  não acarreta a extinção do feito, sendo oportunizado a Rivaldo exercer o direito de representação;
b)  acarreta a renúncia ao direito de queixa, extinguindo-se a punibilidade;
c)  acarreta o perdão tácito, devendo o processo ser extinto;
d)  acarreta a renúncia ao direito de representação, devendo o processo ser extinto;
e)  não acarreta a extinção do feito, sendo oportunizado a Rivaldo exercer o direito de queixa.",B,direito processual penal,Demais Tópicos Processuais Penais e Questões Variadas
#2694963,TJGO,FGV,2023,"No que diz respeito ao ofendido e às suas prerrogativas no processo penal brasileiro, é correto afirmar que poderá:
a)  interpor recurso de apelação, ainda que não habilitado como assistente, quando o Ministério Público tiver recorrido de todo o conteúdo impugnável da sentença;
b)  o juiz determinar o segredo de justiça em relação a dados e depoimentos constantes dos autos a respeito do ofendido para evitar sua exposição aos meios de
comunicação;
c)  se habilitar como assistente de acusação, no curso da investigação criminal, com a anuência prévia do Ministério Público;
d)  requerer ao juiz a prisão temporária do investigado caso este ameace a sua integridade física durante a investigação criminal;
e)  requisitar a instauração de inquérito policial e a realização de diligências investigatórias que deverão ser realizadas pela autoridade policial.",B,direito processual penal,Demais Tópicos Processuais Penais e Questões Variadas
#2121905,TJSC,FGV,2022,"Quanto à atividade propulsora do juiz no processo penal, segundo a doutrina e a jurisprudência dominantes, poderá o juiz:
a)  decretar a prisão temporária de ofício, sem requerimento do Ministério Público ou representação da autoridade policial;
b)  decretar a infiltração de agentes de polícia em tarefas de investigação, mediante representação da autoridade policial, sem a oitiva prévia do Ministério Público;
c) de ofício voltar a decretar medida cautelar revogada, a qual contou com anterior requerimento do Ministério Público, se sobrevierem razões que a justifiquem;
d)  decidir acerca do requerimento de restituição de coisas apreendidas sem a oitiva prévia do Ministério Público;
e)  de ofício determinar o desarquivamento de peças de informação arquivadas e requisitar a instauração de inquérito policial.",C,direito processual penal,Demais Tópicos Processuais Penais e Questões Variadas
#2518902,TRF1,FGV,2023,"A Lei nº 11.445/2007 estabelece as diretrizes nacionais para o saneamento básico, compreendido como o conjunto de serviços públicos, infraestruturas e
instalações operacionais de abastecimento de água potável, esgotamento sanitário, limpeza urbana e manejo de resíduos sólidos, bem como drenagem e manejo das
águas pluviais urbanas.
Nesse contexto, de acordo com o citado diploma legal, com redação dada pelo chamado novo marco legal do saneamento básico, em matéria do exercício da titularidade
do serviço:
a)  a formalização de consórcios intermunicipais de saneamento básico, exclusivamente composto de Municípios que poderão prestar o serviço aos seus
consorciados diretamente, pela instituição de sociedade de economia mista intermunicipal, é permitida, mediante prévia autorização do Conama;
b)  o titular dos serviços públicos de saneamento básico deverá definir a entidade responsável pela regulação e fiscalização desses serviços, somente quando se
tratar de modalidade de sua prestação por pessoa jurídica de direito privado, mediante delegação do serviço;
c)  os chefes dos Poderes Executivos da União, dos Estados, do Distrito Federal e dos Municípios poderão formalizar a gestão associada para o exercício de funções
relativas aos serviços públicos de saneamento básico, ficando dispensada, em caso de convênio de cooperação, a necessidade de autorização legal;
d)  a adesão dos titulares dos serviços públicos de saneamento de interesse local às estruturas das formas de prestação regionalizada é obrigatória, quando houver
no Município em atividade vazadouros conhecidos como lixões não licenciados ambientalmente;
e)  no caso de prestação regionalizada dos serviços de saneamento, as responsabilidades administrativa, civil e penal não podem ser aplicadas aos titulares dos
serviços públicos de saneamento, devendo incidir sobre a nova pessoa jurídica de direito público formalizada.",C,direito sanitário e saúde,Lei nº 11.445/2007 e Decreto nº 7.217/2010 - Diretrizes Nacionais para o Saneamento Básico
#3358436,TJSE,FGV,2025,"A empresa XYZ S/A pretende iniciar a comercialização de sementes transgênicas no Brasil. Para isso, submeteu seu pedido de liberação comercial à Comissão
Técnica Nacional de Biossegurança (CTNBio), conforme as disposições da Lei nº 11.105/2005. Após a aprovação pela CTNBio, a empresa iniciou a comercialização das
sementes. Posteriormente, o Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama) e a Agência Nacional de Vigilância Sanitária (Anvisa)
questionaram a comercialização, alegando que não foram consultados no processo de liberação.
Considerando o caso apresentado e as disposições da Lei nº 11.105/2005, é correto afirmar que:
a)  a CTNBio possui competência exclusiva para autorizar a comercialização de organismos geneticamente modificados (OGMs), não sendo necessária a
manifestação de outros órgãos;
b)  após a aprovação da CTNBio, a comercialização de OGMs pode ser iniciada imediatamente, independentemente de consultas a outros órgãos;
c)  a comercialização de OGMs depende de parecer técnico conclusivo sobre a biossegurança pela CTNBio, sem excluir a competência do Ibama e da Anvisa, para
manifestação em matérias de suas competências;
d)  a comercialização de OGMs no Brasil não requer aprovação da CTNBio, apenas de órgãos como Ibama e Anvisa;
e)  a empresa XYZ S/A agiu corretamente ao iniciar a comercialização após a aprovação da CTNBio, pois esta é a única exigência legal para a comercialização de
OGMs.",C,direito sanitário e saúde,Lei nº 11.105/2005 - Lei de Biossegurança
