Tema da RG,Numero do processo,Relator,Data de julgamento,Ramo do direito,Resultado,Tese,Ementa,Legislação,Jurisprudência,Data de publicação,Órgão julgador
1011,RE 827996,GILMAR MENDES,6/29/2020,"DIREITO ECONÔMICO, DIREITO FINANCEIRO",Aguardando julgamento,,"Recurso extraordinário. Repercussão geral. 2. Sistema Financeiro da Habitação (SFH). Contratos celebrados em que o instrumento estiver vinculado ao Fundo de Compensação de Variação Salarial (FCVS) – Apólices públicas, ramo 66.3. Interesse jurídico da Caixa Econômica Federal (CEF) na condição de administradora do FCVS. 4. Competência para processar e julgar demandas desse jaez após a MP 513/2010: em caso de solicitação de participação da CEF (ou da União), por quaisquer das partes ou intervenientes, após oitiva daquela indicando seu interesse, o feito deve ser remetido para análise do foro competente: Justiça Federal (art. 45 c/c art. 64 do CPC), observado o § 4º do art. 1º-A da Lei 12.409/2011. Jurisprudência pacífica. 5. Questão intertemporal relativa aos processos em curso na entrada em vigor da MP 513/2010. Marco jurígeno. Sentença de mérito. Precedente. 6. Deslocamento para a Justiça Federal das demandas que não possuíam sentença de mérito prolatada na entrada em vigor da MP 513/2010 e desde que houvesse pedido espontâneo ou provocado de intervenção da CEF, nesta última situação após manifestação de seu interesse. 7. Manutenção da competência da Justiça Estadual para as demandas que possuam sentença de mérito proferida até a entrada em vigor da MP 513/2010.8. Intervenção da União e/ou da CEF (na defesa do FCVS) solicitada nessa última hipótese. Possibilidade, em qualquer tempo e grau de jurisdição, acolhendo o feito no estágio em que se encontra, na forma do parágrafo único do art. 5º da Lei 9.469/1997.","CPC - art. 64, Lei nº 12.409/2011 - art. 1º-A, Lei nº 9.469/1997 - art. 5º",,8/21/2020,Tribunal Pleno
244,RE 599316,MARCO AURÉLIO,6/29/2020,DIREITO TRIBUTÁRIO,Aguardando julgamento,,"PIS – COFINS – ATIVO IMOBILIZADO – CREDITAMENTO – LIMITAÇÃO – LEI Nº 10.865/2004. Surge inconstitucional, por ofensa aos princípios da não cumulatividade e da isonomia, o artigo 31, cabeça, da Lei nº 10.865/2004, no que vedou o creditamento do PIS e da COFINS, relativamente ao ativo imobilizado adquirido até 30 de abril de 2004.",Lei nº 10.865/2004 - art. 31,,10/6/2020,Tribunal Pleno
512,RE 662405,LUIZ FUX,6/29/2020,"DIREITO ADMINISTRATIVO, DIREITO CIVIL",Tese fixada,"O Estado responde subsidiariamente por danos materiais causados a candidatos em concurso público organizado por pessoa jurídica de direito privado (art. 37, § 6º, da CRFB/88), quando os exames são cancelados por indícios de fraude","RECURSO EXTRAORDINÁRIO. REPERCUSSÃO GERAL. RESPONSABILIDADE CIVIL DO ESTADO. ANULAÇÃO DO CONCURSO POR ATO DA PRÓPRIA ADMINISTRAÇÃO PÚBLICA, EM FACE DE INDÍCIOS DE FRAUDE NO CERTAME. DIREITO À INDENIZAÇÃO DE CANDIDATO PELOS DANOS MATERIAIS RELATIVOS ÀS DESPESAS DE INSCRIÇÃO E DESLOCAMENTO. APLICABILIDADE DO ART. 37, § 6º, DA CONSTITUIÇÃO FEDERAL. RESPONSABILIDADE DIRETA DA PESSOA JURÍDICA DE DIREITO PRIVADO ORGANIZADORA DO CERTAME. RESPONSABILIDADE SUBSIDIÁRIA DO ENTE PÚBLICO. RECURSO EXTRAORDINÁRIO PROVIDO. 1. A responsabilidade civil do Estado subsume-se à teoria do risco administrativo, tanto para as condutas estatais comissivas quanto paras as omissivas, na forma do artigo 37, § 6º, da Constituição Federal. 2. O Estado e as pessoas jurídicas de direito privado prestadoras de serviços públicos respondem pelos danos que seus agentes, nessa qualidade, causem a terceiros, quando comprovado o nexo de causalidade entre a conduta e o dano sofrido pelo particular. 3. A pessoa jurídica de direito privado prestadora de serviço público responde de forma primária e objetiva por danos causados a terceiros, visto possuir personalidade jurídica, patrimônio e capacidade próprios. 4. O cancelamento de provas de concurso público em virtude de indícios de fraude gera a responsabilidade direta da entidade privada organizadora do certame de restituir aos candidatos as despesas com taxa de inscrição e deslocamento para cidades diversas daquelas em que mantenham domicílio. Ao Estado, cabe somente a responsabilidade subsidiária, no caso de a instituição organizadora do certame se tornar insolvente. 5. Ex positis, voto no sentido de, no caso concreto, dar provimento ao recurso extraordinário interposto pela União Federal, para reformar o acórdão lavrado pela Turma Recursal da Seção Judiciária do Estado de Alagoas e assentar que a União Federal responde apenas subsidiariamente pelos danos materiais, relativos às despesas com taxa de inscrição e deslocamento, causados ao recorrido em razão do cancelamento de exames para o provimento de cargos na Polícia Rodoviária Federal (Edital 1/2007) por indícios de fraude. Quanto à tese da repercussão geral, voto pela sua consolidação nos seguintes termos: “O Estado responde subsidiariamente por danos materiais causados a candidatos em concurso público organizado por pessoa jurídica de direito privado (art. 37, § 6º, da CRFB/88), quando os exames são cancelados por indícios de fraude”.",CF/88 - art. 37; §6º,,8/13/2020,Tribunal Pleno
373,RE 608898,MARCO AURÉLIO,6/25/2020,DIREITO ECONÔMICO,Aguardando julgamento,,"ESTRANGEIRO – EXPULSÃO – FILHO BRASILEIRO – SOBERANIA NACIONAL VERSUS FAMÍLIA. O § 1º do artigo 75 da Lei nº 6.815/1980 não foi recepcionado pela Constituição Federal de 1988, sendo vedada a expulsão de estrangeiro cujo filho brasileiro foi reconhecido ou adotado posteriormente ao fato ensejador do ato expulsório, uma vez comprovado estar a criança sob a guarda do estrangeiro e deste depender economicamente.",Lei nº 6.815/1980 - art. 75,,10/7/2020,Tribunal Pleno
685,RE 727851,MARCO AURÉLIO,6/22/2020,DIREITO TRIBUTÁRIO,Aguardando julgamento,,"IPVA – ALIENAÇÃO FIDUCIÁRIA – ADQUIRENTE – PESSOA JURÍDICA DE DIREITO PÚBLICO. Incide a imunidade prevista no artigo 150, inciso VI, alínea “a”, da Constituição Federal, em se tratando de contrato de alienação fiduciária em que pessoa jurídica de direito público surge como devedora.",CF/88 - art. 150; inc. VI; a,,7/17/2020,Tribunal Pleno
1093,ARE 1237351,MARCO AURÉLIO,6/18/2020,"DIREITO CONSTITUCIONAL, DIREITO DO CONSUMIDOR, DIREITO TRIBUTÁRIO",Aguardando julgamento,,"ICMS - DIFERENCIAL DE ALÍQUOTA - EMENDA CONSTITUCIONAL Nº 87/2015 - ARTIGO 155, § 2º, INCISOS VII e VIII, DA CONSTITUIÇÃO FEDERAL - REGULAMENTAÇÃO - LEI COMPLEMENTAR - RECURSO EXTRAORDINÁRIO - ADEQUAÇÃO - REPERCUSSÃO GERAL CONFIGURADA. Possui repercussão geral controvérsia sobre a necessidade de edição de lei complementar, visando a cobrança da Diferença de Alíquotas do ICMS - DIFAL, nas operações interestaduais envolvendo consumidores finais não contribuintes.",CF/88 - art. 155; §2º; inc. I,,8/4/2020,Tribunal Pleno
1037,RE 1169289,MARCO AURÉLIO,6/16/2020,"DIREITO ADMINISTRATIVO, DIREITO CONSTITUCIONAL",Tese fixada,"O enunciado da Súmula Vinculante 17 não foi afetado pela superveniência da Emenda Constitucional 62/2009, de modo que não incidem juros de mora no período de que trata o § 5º do art. 100 da Constituição. Havendo o inadimplemento pelo ente público devedor, a fluência dos juros inicia-se após o","RECURSO EXTRAORDINÁRIO. REPERCUSSÃO GERAL. TEMA 1037. CONSTITUCIONAL. ADMINISTRATIVO. JUROS DE MORA. INCIDÊNCIA NO PERÍODO COMPREENDIDO ENTRE A DATA DA EXPEDIÇÃO DO PRECATÓRIO OU DA REQUISIÇÃO DE PEQUENO VALOR (RPV) E O EFETIVO PAGAMENTO. IMPOSSIBILIDADE. 1. Em 10/11/2009, a jurisprudência do SUPREMO TRIBUNAL FEDERAL no sentido de que, “durante o período previsto no parágrafo 1º do artigo 100 da Constituição, não incidem juros de mora sobre os precatórios que nele sejam pagos” atingiu o mais elevado grau de consolidação, consubstanciando o Enunciado 17 da Súmula Vinculante desta CORTE. 2. Pouco após, em 9/12/2009, foi promulgada a Emenda Constitucional 62, que promoveu ampla reformulação no art. 100 da Constituição, o qual versa sobre o regime de precatórios. 3. Não obstante a norma à qual se refere a SV 17 tenha sido deslocada do parágrafo 1º para o parágrafo 5º do art. 100, tal modificação não altera o sentido do enunciado sumular - que, aliás, não foi afetado por qualquer disposição da Emenda 62.4. O período previsto no art. 100, parágrafo 5º, da Constituição (precatórios apresentados até 1º de julho, devendo ser pagos até o final do exercício seguinte) costuma ser chamado de “período de graça constitucional”. 5. Nesse interregno, não cabe a imposição de juros de mora, pois o ente público não está inadimplente. 6. Caso não haja o pagamento integral dentro deste prazo, os juros de mora passam a correr apenas a partir do término do “período de graça”. 7. Recurso extraordinário a que se nega provimento. Tese de repercussão geral: ""O enunciado da Súmula Vinculante 17 não foi afetado pela superveniência da Emenda Constitucional 62/2009, de modo que não incidem juros de mora no período de que trata o § 5º do art. 100 da Constituição. Havendo o inadimplemento pelo ente público devedor, a fluência dos juros inicia-se após o ""período de graça"""". ",,"Tema 1037, Súmula Vinculante 17",7/1/2020,Tribunal Pleno
1094,RE 1221330,LUIZ FUX,6/16/2020,"DIREITO CONSTITUCIONAL, DIREITO TRIBUTÁRIO",Tese fixada,"I - Após a Emenda Constitucional 33/2001, é constitucional a incidência de ICMS sobre operações de importação efetuadas por pessoa, física ou jurídica, que não se dedica habitualmente ao comércio ou à prestação de serviços, devendo tal tributação estar prevista em lei complementar federal. II - As leis estaduais editadas após a EC 33/2001 e antes da entrada em vigor da Lei Complementar 114/2002, com o propósito de impor o ICMS sobre a referida operação, são válidas, mas produzem efeitos somente a partir da vigência da LC 114/2002","RECURSO EXTRAORDINÁRIO. TEMA 1094 DA REPERCUSSÃO GERAL. CONSTITUCIONAL E TRIBUTÁRIO. ICMS INCIDENTE NA IMPORTAÇÃO DE BENS E MERCADORIAS, POR PESSOA FÍSICA OU JURÍDICA, COM BASE EM LEI ESTADUAL EDITADA POSTERIORMENTE À PROMULGAÇÃO DA EC Nº 33/2001, PORÉM ANTES DA VIGÊNCIA DA LEI COMPLEMENTAR FEDERAL Nº 114/2002. POSSIBILIDADE. 1. A jurisprudência desta CORTE, no julgamento do RE 439.796-RG (Rel. Min. JOAQUIM BARBOSA, Tema 171), fixou a orientação de que, “após a Emenda Constitucional 33/2001, é constitucional a incidência de ICMS sobre operações de importação efetuadas por pessoa, física ou jurídica, que não se dedica habitualmente ao comércio ou à prestação de serviços”. 2. Tal imposição tributária depende da edição de lei complementar federal; publicada em 17/12/2002, a Lei Complementar 114 supriu esta exigência. 3. As leis ordinárias estaduais que previram o tributo após a Emenda 33/2001 e antes da entrada em vigor da LC 114/2002 são válidas, mas produzem efeitos apenas a contar da vigência da referida lei complementar. 4. No caso concreto, o tributo é constitucional e legalmente devido com base na Lei Estadual 11.001/2001, cuja eficácia teve início após a edição da LC 114/2002.5. Recurso Extraordinário a que se dá provimento, de modo a denegar a segurança, restabelecendo a sentença de primeiro grau. Atribuída repercussão geral a esta matéria constitucional e fixada a seguinte tese de julgamento: “I - Após a Emenda Constitucional 33/2001, é constitucional a incidência de ICMS sobre operações de importação efetuadas por pessoa, física ou jurídica, que não se dedica habitualmente ao comércio ou à prestação de serviços, devendo tal tributação estar prevista em lei complementar federal. II - As leis estaduais editadas após a EC 33/2001 e antes da entrada em vigor da Lei Complementar 114/2002, com o propósito de impor o ICMS sobre a referida operação, são válidas, mas produzem efeitos somente a partir da vigência da LC 114/2002""",,"Tema 1094, Tema 171",8/17/2020,Tribunal Pleno
543,RE 657989,MARCO AURÉLIO,6/16/2020,DIREITO CONSTITUCIONAL,Aguardando julgamento,,SALÁRIO-FAMÍLIA – EMENDA Nº 20/1998 – APLICAÇÃO NO TEMPO. A alteração de regência constitucional do salário-família não repercute nas relações jurídicas existentes na data em que promulgada a Emenda Constitucional nº 20/1998.,,,8/17/2020,Tribunal Pleno
700,RE 634764,GILMAR MENDES,6/8/2020,DIREITO TRIBUTÁRIO,Aguardando julgamento,,Recurso Extraordinário com repercussão geral. Tema 700.2. Tributário. Imposto Sobre Serviços de Qualquer Natureza. 3. Incidência sobre exploração de atividade de apostas. Possibilidade. 4. Base de cálculo. Valor a ser remunerado pela prestação do serviço. Inconstitucionalidade da tributação do valor total da aposta. 5. Recurso extraordinário parcialmente provido.,,Tema 700,7/1/2020,Tribunal Pleno
709,RE 791961,DIAS TOFFOLI,6/8/2020,"DIREITO ADMINISTRATIVO, DIREITO CONSTITUCIONAL, DIREITO DO TRABALHO, DIREITO FINANCEIRO, DIREITO PREVIDENCIÁRIO",Aguardando julgamento,,"Direito Previdenciário e Constitucional. Constitucionalidade do art. 57, § 8º, da Lei nº 8.213/91. Percepção do benefício de aposentadoria especial independentemente do afastamento do beneficiário das atividades laborais nocivas a sua saúde. Impossibilidade. Recurso extraordinário parcialmente provido. 1. O art. 57,§ 8º, da Lei nº 8.213/91 é constitucional, inexistindo qualquer tipo de conflito entre ele e os arts. 5º, inciso XIII; 7º, inciso XXXIII; e 201,§ 1º, da Lei Fundamental. A norma se presta, de forma razoável e proporcional, para homenagear o princípio da dignidade da pessoa humana, bem como os direitos à saúde, à vida, ao ambiente de trabalho equilibrado e à redução dos riscos inerentes ao trabalho. 2. É vedada a simultaneidade entre a percepção da aposentadoria especial e o exercício de atividade especial, seja essa última aquela que deu causa à aposentação precoce ou não. A concomitância entre a aposentadoria e o labor especial acarreta a suspensão do pagamento do benefício previdenciário. 3. O tema da data de início da aposentadoria especial é regulado pelo art. 57, § 2º, da Lei nº 8.213/91, que, por sua vez, remete ao art. 49 do mesmo diploma normativo. O art. 57,§ 8º, da Lei de Planos e Benefícios da Previdência Social cuida de assunto distinto e, inexistindo incompatibilidade absoluta entre esse dispositivo e aqueles anteriormente citados, os quais também não são inconstitucionais, não há que se falar em fixação da DIB na data de afastamento da atividade, sob pena de violência à vontade e à prerrogativa do legislador, bem como de afronta à separação de Poderes. 4. Foi fixada a seguinte tese de repercussão geral: “(i) [é] constitucional a vedação de continuidade da percepção de aposentadoria especial se o beneficiário permanece laborando em atividade especial ou a ela retorna, seja essa atividade especial aquela que ensejou a aposentação precoce ou não; (ii) nas hipóteses em que o segurado solicitar a aposentadoria e continuar a exercer o labor especial, a data de início do benefício será a data de entrada do requerimento, remontando a esse marco, inclusive, os efeitos financeiros; efetivada, contudo, seja na via administrativa, seja na judicial, a implantação do benefício, uma vez verificada a continuidade ou o retorno ao labor nocivo, cessará o benefício previdenciário em questão. 5. Recurso extraordinário a que se dá parcial provimento.","Lei nº 8.213/91 - art. 57; §8º, Lei nº 8.213/91 - art. 57; §2º",,8/19/2020,Tribunal Pleno
358,RE 601146,MARCO AURÉLIO,6/8/2020,"DIREITO ADMINISTRATIVO, DIREITO CIVIL, DIREITO CONSTITUCIONAL, DIREITO PENAL, DIREITO PREVIDENCIÁRIO",Tese fixada,"A competência constitucional do tribunal para decidir sobre a perda do posto e da patente dos oficiais e da graduação das praças é específica, nos termos do artigo 125, § 4º, não autorizando a concessão de reforma de policial militar julgado inapto a permanecer nas fileiras da corporação","RECURSO EXTRAORDINÁRIO. REPERCUSSÃO GERAL. TEMA 358. CONSTITUCIONAL. ADMINISTRATIVO. PROCESSO AUTÔNOMO DE PERDA DE POSTO E PATENTE DE MILITAR. COMPETÊNCIA DOS TRIBUNAIS DE JUSTIÇA DOS ESTADOS E DO DISTRITO FEDERAL PARA DECIDIR SOBRE QUESTÃO PREVIDENCIÁRIA. IMPOSSIBILIDADE DE CONCESSÃO DE REFORMA AO POLICIAL AFASTADO. 1. Cuida-se, na origem, de Representação apresentada perante Tribunal de Justiça, mediante a qual se requereu a perda da graduação da praça e a exclusão dos quadros da polícia militar de agente policial condenado pela prática dos crimes de concussão e prevaricação. 2. O Tribunal de origem julgou parcialmente procedente a Representação, no sentido de se decretar a reforma disciplinar do policial em questão, com proventos proporcionais ao tempo de serviço. O afastamento da corporação fundamentou-se no fato de que sua conduta ofendeu o decoro da classe e o pundonor policial militar. Por outro lado, considerando que, por mais de vinte anos de atividade na corporação, não registrava sanções disciplinares e constavam em seu favor inúmeros elogios e medalhas por serviços prestados, o Tribunal decidiu conceder-lhe o benefício previdenciário. 3. O art. 102 do Código Penal Militar (Decreto-Lei 1.001, de 21 de outubro de 1969) estabelece que a condenação da praça à pena privativa de liberdade, por tempo superior a 2 (dois) anos, importa sua exclusão das Forças Armadas. 4. O art. 125, § 4º, da Constituição de 1988 dispõe que “compete à Justiça Militar estadual processar e julgar os militares dos Estados, nos crimes militares definidos em lei e as ações judiciais contra atos disciplinares militares, ressalvada a competência do júri quando a vítima for civil, cabendo ao tribunal competente decidir sobre a perda do posto e da patente dos oficiais e da graduação das praças”. 5. O texto constitucional não recepcionou o art. 102 do Código Penal Militar em relação aos Policiais Militares, exigindo para esses, no campo judicial, a incidência do procedimento previsto pelo artigo 125, §4º da CF. A Constituição Federal de 1988 estabeleceu a possibilidade de perda de graduação dos praças das policias militares em virtude de decisão do Tribunal competente, mediante procedimento específico. 6. A previsão constitucional dessa específica competência para os Tribunais não afastou as tradicionais competências administrativas no âmbito da própria corporação, inclusive a possibilidade de sanção de perda da graduação, aplicada após procedimento administrativo, garantindo-se o contraditório e a ampla defesa. 7. Em relação à questão constitucional com repercussão geral reconhecida, a Constituição não conferiu aos Tribunais competência para dispor sobre outras penas arroladas no Código Penal Militar, ou sobre questões administrativas e previdenciárias, que seguem sendo afeitas ao âmbito da corporação. 8. A reforma do militar é questão estranha ao processo autônomo de perda de posto e patente de militar, e está fora do âmbito de competência atribuído pela Constituição Federal, no art. 125, § 4º, ao Poder Judiciário. Assim, neste caso concreto, o acórdão recorrido, ao decidir pela reforma compulsória do militar, ofendeu não apenas o art. 125, § 4º, da Constituição Federal, como também o princípio da separação de poderes, por interferir em decisão administrativa, própria da Corporação. 9. Recurso extraordinário a que se dá provimento, para excluir a reforma concedida pelo acórdão recorrido . Tese de repercussão geral: ""A competência constitucional do tribunal para decidir sobre a perda do posto e da patente dos oficiais e da graduação das praças é específica, nos termos do artigo 125, § 4º, não autorizando a concessão de reforma de policial militar julgado inapto a permanecer nas fileiras da corporação ”.","CP - art. 102, CF/88 - art. 125; §4º",Tema 358,10/21/2020,Tribunal Pleno
792,RE 729107,MARCO AURÉLIO,6/8/2020,,Aguardando julgamento,,"EXECUÇÃO – FAZENDA – LEI – APLICAÇÃO NO TEMPO. Lei disciplinadora da submissão de crédito ao sistema de execução via precatório possui natureza material e processual, sendo inaplicável a situação jurídica constituída em data que a anteceda.",,,9/15/2020,Tribunal Pleno
28,RE 1205530,MARCO AURÉLIO,6/8/2020,,Aguardando julgamento,,EXECUÇÃO – TÍTULO JUDICIAL – PARTE AUTÔNOMA PRECLUSÃO – POSSIBILIDADE. Possível é a execução parcial do título judicial no que revela parte autônoma transitada em julgado na via da recorribilidade.,,,7/1/2020,Tribunal Pleno
1092,RE 1265549,MINISTRO PRESIDENTE,6/4/2020,DIREITO ADMINISTRATIVO,Aguardando julgamento,,"Recurso extraordinário. Processual. Competência. Justiça comum estadual e Federal. Complementação de aposentadoria. Instituição por lei. Vínculo decorrente de regime de direito público. Existência de repercussão geral. Reafirmação da jurisprudência da Corte sobre o tema. Recurso extraordinário provido a fim de reconhecer a competência da Justiça comum estadual para processar e julgar a ação proposta pela parte ora recorrida. Tese de repercussão geral: Compete à Justiça comum processar e julgar causas sobre complementação de aposentadoria instituída por lei cujo pagamento seja, originariamente ou por sucessão, da responsabilidade da Administração Pública direta ou indireta, por derivar essa responsabilidade de relação jurídico-administrativa.",,,6/19/2020,Tribunal Pleno
1091,RE 1221630,MINISTRO PRESIDENTE,6/4/2020,"DIREITO CONSTITUCIONAL, DIREITO PREVIDENCIÁRIO",Aguardando julgamento,,"Recurso extraordinário. Direito Previdenciário. Benefício previdenciário. Fator Previdenciário. Constitucionalidade. Existência de repercussão geral. Reafirmação da jurisprudência do Supremo Tribunal Federal sobre o tema. Recurso extraordinário provido para cassar o acórdão recorrido e determinar de que a Corte de origem profira novo julgamento observando a orientação jurisprudencial emanada do Plenário do STF. Tese de repercussão geral: É constitucional o fator previdenciário previsto no art. 29, caput, incisos e parágrafos, da Lei nº 8.213/91, com a redação dada pelo art. 2º da Lei nº 9.876/99.","Lei nº 8.213/91 - art. 29; inc. I, Lei nº 9.876/99 - art. 2º",,6/19/2020,Tribunal Pleno
222,RE 597124,EDSON FACHIN,6/3/2020,DIREITO CONSTITUCIONAL,Aguardando julgamento,,"RECURSO EXTRAORDINÁRIO. TRABALHADOR PORTUÁRIO AVULSO. ADICIONAL DE RISCOS. ISONOMIA CONSTITUCIONAL EXPRESSA. ARTIGO 7°, XXXIV, CRFB. 1. A regulação da atividade portuária por meio de legislação específica ocorreu para garantir aos trabalhadores que prestam serviços nas instalações portuárias direitos inerentes ao exercício das atividades que lhe são notoriamente peculiares. 2. O fato de os trabalhadores portuários avulsos sujeitarem-se a um regime de exploração diferenciado daqueles trabalhadores portuários com vínculo permanente não autoriza tratamento diferenciado entre eles, pois há norma constitucional explícita e específica de igualdade de direitos, de modo que, uma vez implementadas as condições legais específicas, ao trabalhador portuário avulso também é devido o adicional de riscos, previsto no art. 14 da Lei 4.860/1965, por imposição constitucional expressa. 3. Sempre que for pago ao trabalhador com vínculo permanente, o adicional de riscos também é devido, nos mesmos termos, ao trabalhador portuário avulso, considerando o disposto no artigo 7°, XXXIV, da Constituição da República. 4. Recurso Extraordinário a que se nega provimento.",Lei nº 4.860/1965 - art. 14,,10/23/2020,Tribunal Pleno
958,RE 936790,MARCO AURÉLIO,5/29/2020,"DIREITO ADMINISTRATIVO, DIREITO CONSTITUCIONAL, DIREITO DO TRABALHO",Tese fixada,"É dever do Estado reconhecer e valorizar as atividades extraclasse, pois indispensáveis ao direito à educação, orientado ao pleno desenvolvimento da pessoa, seu preparo para o exercício da cidadania e sua qualificação para o trabalho, nos termos do art","RECURSO EXTRAORDINÁRIO. DIREITO ADMINISTRATIVO E CONSTITUCIONAL. PROFESSORES. JORNADA. NORMA GERAL FEDERAL. ART. 2º, PARÁGRAFO 4º, DA LEI N. º 11.738/2008. RESERVA DE FRAÇÃO MÍNIMA DA CARGA HORÁRIA DOS PROFESSORES DA EDUCAÇÃO BÁSICA PARA ATIVIDADES EXTRACLASSE. POSSIBILIDADE. 1. É dever do Estado reconhecer e valorizar as atividades extraclasse, pois indispensáveis ao direito à educação, orientado ao pleno desenvolvimento da pessoa, seu preparo para o exercício da cidadania e sua qualificação para o trabalho, nos termos do art. 205, CRFB. 2. A divisão da jornada de trabalho dos profissionais da educação escolar pública entre atividades de docência e de apoio à docência é pressuposto necessário para fixação da remuneração de tais profissionais. 3. A Constituição da República autoriza a norma geral federal a estabelecer o piso salarial profissional aos professores, nos termos do comando contido no inciso VIII do art. 206, CRFB. 4. Possibilidade de fixação da fração da jornada a ser dedicada às atividades extraclasse, pela norma geral federal, nos termos do § 4º do art. 2º da Lei 11.738/2008.5. Recurso extraordinário conhecido e desprovido.",Lei nº 11.738/2008 - art. 2º,,7/29/2020,Tribunal Pleno
300,RE 603136,GILMAR MENDES,5/29/2020,DIREITO TRIBUTÁRIO,Aguardando julgamento,,Recurso extraordinário com repercussão geral. Tema 300.2. Tributário. Imposto Sobre Serviços de Qualquer Natureza. 3. Incidência sobre contrato de franquia. Possibilidade. Natureza híbrida do contrato de franquia. Reafirmação de jurisprudência. 4. Recurso extraordinário improvido.,,Tema 300,6/16/2020,Tribunal Pleno
361,RE 631537,MARCO AURÉLIO,5/22/2020,,Aguardando julgamento,,PRECATÓRIO – CRÉDITO – CESSÃO – NATUREZA. A cessão de crédito não implica alteração da natureza.,,,6/3/2020,Tribunal Pleno
562,RE 685493,MARCO AURÉLIO,5/22/2020,,Aguardando julgamento,,"LIBERDADE DE EXPRESSÃO – AGENTE POLÍTICO – HONRA DE TERCEIRO. Ante conflito entre a liberdade de expressão de agente político, na defesa da coisa pública, e honra de terceiro, há de prevalecer o interesse coletivo, da sociedade, não cabendo potencializar o individual.",,,8/17/2020,Tribunal Pleno
207,RE 598468,MARCO AURÉLIO,5/22/2020,"DIREITO CONSTITUCIONAL, DIREITO FINANCEIRO, DIREITO TRIBUTÁRIO",Aguardando julgamento,,"RECURSO EXTRAORDINÁRIO COM REPERCUSSÃO GERAL. DIREITO TRIBUTÁRIO E CONSTITUCIONAL. IMUNIDADE INCIDENTE SOBRE RECEITAS DA EXPORTAÇÃO. EMPRESAS OPTANTES DO SIMPLES. APLICABILIDADE. RECURSO PROVIDO. 1. As imunidades ao poder de tributar devem ser interpretadas de acordo com sua finalidade, por isso o conteúdo do disposto no art. 149, § 2º, I, da CRFB autoriza reconhecer capacidade tributária ativa apenas sobre a “receita”, afastando a sua incidência em relação à folha de salários, ao lucro e às movimentações financeiras das empresas exportadoras. Não se deve estender a imunização das receitas à pessoa jurídica exportadora. Precedentes. 2. O sistema integrado de pagamento de impostos e contribuições das microempresas e empresas de pequeno porte (SIMPLES) atende à exigência de simplificação da cobrança de tributos, o que não implica atribuir à União capacidade para dispor sobre as situações jurídicas imunizadas, pois, embora tenha o legislador o dever de simplificar a cobrança, não detém competência para dispor sobre as imunidades. 3. A opção por um regime simplificado de cobrança não pode dar ensejo ao exercício de uma competência de que os entes políticos jamais dispuseram. 4. Recurso extraordinário a que se dá provimento, para, reformando o acórdão recorrido, conceder parcialmente a segurança pleiteada E reconhecer o direito à imunidade constitucional prevista no artigo 149, § 2º, e 153, § 3º, III, sobre as receitas decorrentes de exportação e sobre a receita oriunda de operações que destinem ao exterior produtos industrializados. 5. Tese fixada: As imunidades previstas nos artigos 149, § 2º, I, e 153, § 3º, III, da Constituição Federal são aplicáveis às receitas das empresas optantes pelo Simples Nacional.",CF/88 - art. 153; §3º; inc. III,,12/9/2020,Tribunal Pleno
679,RE 607447,MARCO AURÉLIO,5/22/2020,DIREITO DO TRABALHO,Aguardando julgamento,,"RECURSO EXTRAORDINÁRIO – DEPÓSITO – INCONSTITUCIONALIDADE. Surge incompatível com a Constituição Federal exigência de depósito prévio como condição de admissibilidade do recurso extraordinário, no que não recepcionada a previsão constante do § 1º do artigo 899 da Consolidação das Leis do Trabalho, sendo inconstitucional a contida na cabeça do artigo 40 da Lei nº 8.177 e, por arrastamento, no inciso II da Instrução Normativa nº 3/1993 do Tribunal Superior do Trabalho.",Lei nº 8.177 - art. 40,,6/3/2020,Tribunal Pleno
